,generic_name,reasoning,less_determination,binary_determination,descriptive_determination,initial_prompts,no_less_most_prompts,yes_no_prompts,descriptive_prompts,set_id,urls
0,68GA-DOTATATE,"1. The drug label does not mention any specific cardiotoxicity risks associated with NETSPOT itself.

2. The drug label does not indicate any cardiotoxicity reactions directly caused by NETSPOT.

Overall, based on the information provided in the drug label, NETSPOT does not appear to be associated with cardiotoxicity risks or reactions.",No,No,No,"Provide a summary of all the parts of the drug label that discuss cardiotoxicity risks and cardiotoxicity reactions for this drug.
    In your summary of each sentence, clearly state whether the drug itself was associated with or caused the cardiotoxicity risk.","Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No","Given the above information about a drug, answer 'was this drug was associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        In your definition of cardiotoxicity, consider (among other examples) the following to be Most Cardiotoxic:
        Heart damage that is fatal or life-threatening, death, need heart transplantation, (acute) myocardial infarction, heart attack, heart or cardiac failure, congestive heart failure (CHF), cardiomyopathy,
        myocarditis, coronary artery disease, myocardial ischemia, left ventricular dysfunction, cardiogenic shock, coronary, artery insufficiency, valvular heart disease, endocarditis, 
        Fatal or life-threatening arrhythmia, heart/cardiac arrest, cardiorespiratory arrest, torsade de pointes (TdP), AV block III, ventricular fibrillation, Brugada syndrome,
        Angina pectoris, increased angina, mitral valve regurgitation, heart valve thickening, cardio spasm, Ventricular tachycardia, long QT syndrome/QT interval
        prolongation, ventricular arrhythmias.  
         
        Consider the following (among other examples) to be less Cardiotoxic: Hypotension, hypertension, AV block I & II, atrial fibrillation, tachycardia, bradycardia, palptitations, and sinus node dysfunction 
        Now, answer with one word just: 'No', 'Less' or 'Most'",b2b3be70-17d8-4093-896c-f1c54a2cf242,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=b2b3be70-17d8-4093-896c-f1c54a2cf242&type=display
1,ABACAVIR,"1. The drug label warns about the risk of myocardial infarction associated with the use of abacavir. Several studies have reported an association between abacavir and the risk of myocardial infarction, although there is inconsistency in the data, and no established biological mechanism explains this potential risk.

2. The drug label advises considering the underlying risk of coronary heart disease when prescribing antiretroviral therapies, including abacavir. It recommends taking action to minimize modifiable risk factors such as hypertension, hyperlipidemia, diabetes mellitus, and smoking to reduce the risk of cardiotoxicity.

3. The drug label does not directly attribute the risk of myocardial infarction to abacavir but suggests that healthcare providers should be cautious and consider the potential risk of cardiotoxicity when prescribing the medication.",Less,Yes,Most,"Provide a summary of all the parts of the drug label that discuss cardiotoxicity risks and cardiotoxicity reactions for this drug.
    In your summary of each sentence, clearly state whether the drug itself was associated with or caused the cardiotoxicity risk.","Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No","Given the above information about a drug, answer 'was this drug was associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        In your definition of cardiotoxicity, consider (among other examples) the following to be Most Cardiotoxic:
        Heart damage that is fatal or life-threatening, death, need heart transplantation, (acute) myocardial infarction, heart attack, heart or cardiac failure, congestive heart failure (CHF), cardiomyopathy,
        myocarditis, coronary artery disease, myocardial ischemia, left ventricular dysfunction, cardiogenic shock, coronary, artery insufficiency, valvular heart disease, endocarditis, 
        Fatal or life-threatening arrhythmia, heart/cardiac arrest, cardiorespiratory arrest, torsade de pointes (TdP), AV block III, ventricular fibrillation, Brugada syndrome,
        Angina pectoris, increased angina, mitral valve regurgitation, heart valve thickening, cardio spasm, Ventricular tachycardia, long QT syndrome/QT interval
        prolongation, ventricular arrhythmias.  
         
        Consider the following (among other examples) to be less Cardiotoxic: Hypotension, hypertension, AV block I & II, atrial fibrillation, tachycardia, bradycardia, palptitations, and sinus node dysfunction 
        Now, answer with one word just: 'No', 'Less' or 'Most'",5409c8ed-17c3-454f-bb88-d597ba8f84ec,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=5409c8ed-17c3-454f-bb88-d597ba8f84ec&type=display
2,ABALOPARATIDE,"1. The drug TYMLOS (abaloparatide) is associated with an increase in heart rate, with a mean peak increase of 15 beats per minute (bpm) and 20 bpm at the first time point after dosing with 80 mcg and 240 mcg, respectively. However, there were no clinically meaningful effects of abaloparatide on QTcI (individually corrected QT intervals) or cardiac electrophysiology. (The drug itself was associated with an increase in heart rate but did not cause clinically meaningful effects on QTcI or cardiac electrophysiology.)

2. In a clinical study, an accidental overdose of TYMLOS was reported in a patient who received 400 mcg in one day (5 times the recommended clinical dose). The patient experienced asthenia, headache, nausea, and vertigo. The effects of overdose may include hypercalcemia, nausea, vomiting, dizziness, tachycardia, orthostatic hypotension, and headache. (The drug TYMLOS was associated with potential cardiotoxicity reactions in cases of overdose.)

3. A 4-way cross-over thorough QT/QTc study conducted in healthy subjects who received single doses of abaloparatide showed an increase in heart rate, with a mean peak increase of 15 beats per minute (bpm) and 20 bpm at the first time point after dosing with 80 mcg and 240 mcg, respectively. There were no clinically meaningful effects of abaloparatide on QTcI or cardiac electrophysiology. (The drug itself was associated with an increase in heart rate but did not cause clinically meaningful effects on QTcI or cardiac electrophysiology.)",Less,Yes,Less,"Provide a summary of all the parts of the drug label that discuss cardiotoxicity risks and cardiotoxicity reactions for this drug.
    In your summary of each sentence, clearly state whether the drug itself was associated with or caused the cardiotoxicity risk.","Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No","Given the above information about a drug, answer 'was this drug was associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        In your definition of cardiotoxicity, consider (among other examples) the following to be Most Cardiotoxic:
        Heart damage that is fatal or life-threatening, death, need heart transplantation, (acute) myocardial infarction, heart attack, heart or cardiac failure, congestive heart failure (CHF), cardiomyopathy,
        myocarditis, coronary artery disease, myocardial ischemia, left ventricular dysfunction, cardiogenic shock, coronary, artery insufficiency, valvular heart disease, endocarditis, 
        Fatal or life-threatening arrhythmia, heart/cardiac arrest, cardiorespiratory arrest, torsade de pointes (TdP), AV block III, ventricular fibrillation, Brugada syndrome,
        Angina pectoris, increased angina, mitral valve regurgitation, heart valve thickening, cardio spasm, Ventricular tachycardia, long QT syndrome/QT interval
        prolongation, ventricular arrhythmias.  
         
        Consider the following (among other examples) to be less Cardiotoxic: Hypotension, hypertension, AV block I & II, atrial fibrillation, tachycardia, bradycardia, palptitations, and sinus node dysfunction 
        Now, answer with one word just: 'No', 'Less' or 'Most'",712143d9-e21e-4013-bb3b-3426a21060a8,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=712143d9-e21e-4013-bb3b-3426a21060a8&type=display
3,ABEMACICLIB,"1. The drug label does not mention any specific cardiotoxicity risks or reactions associated with VERZENIO (abemaciclib) itself.

2. The adverse reactions discussed in the label primarily focus on gastrointestinal issues, hematologic abnormalities, lung-related concerns, hepatotoxicity, venous thromboembolism, and embryo-fetal toxicity. No direct mention of cardiotoxicity risks or reactions related to VERZENIO is provided in the drug label.",No,No,No,"Provide a summary of all the parts of the drug label that discuss cardiotoxicity risks and cardiotoxicity reactions for this drug.
    In your summary of each sentence, clearly state whether the drug itself was associated with or caused the cardiotoxicity risk.","Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No","Given the above information about a drug, answer 'was this drug was associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        In your definition of cardiotoxicity, consider (among other examples) the following to be Most Cardiotoxic:
        Heart damage that is fatal or life-threatening, death, need heart transplantation, (acute) myocardial infarction, heart attack, heart or cardiac failure, congestive heart failure (CHF), cardiomyopathy,
        myocarditis, coronary artery disease, myocardial ischemia, left ventricular dysfunction, cardiogenic shock, coronary, artery insufficiency, valvular heart disease, endocarditis, 
        Fatal or life-threatening arrhythmia, heart/cardiac arrest, cardiorespiratory arrest, torsade de pointes (TdP), AV block III, ventricular fibrillation, Brugada syndrome,
        Angina pectoris, increased angina, mitral valve regurgitation, heart valve thickening, cardio spasm, Ventricular tachycardia, long QT syndrome/QT interval
        prolongation, ventricular arrhythmias.  
         
        Consider the following (among other examples) to be less Cardiotoxic: Hypotension, hypertension, AV block I & II, atrial fibrillation, tachycardia, bradycardia, palptitations, and sinus node dysfunction 
        Now, answer with one word just: 'No', 'Less' or 'Most'",be4bc0de-0fdc-4d46-8d25-be43c79e6a06,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=be4bc0de-0fdc-4d46-8d25-be43c79e6a06&type=display
4,ABIRATERONE ACETATE,"1. YONSA may cause hypertension, hypokalemia, and fluid retention due to increased mineralocorticoid levels, potentially leading to cardiovascular adverse reactions. Monitor patients for these effects monthly. The drug itself is associated with the risk of mineralocorticoid excess, which can lead to cardiovascular issues.

2. Adrenal insufficiency occurred in patients taking abiraterone acetate, particularly when corticosteroids were interrupted or reduced, potentially masking symptoms. Monitor for signs of adrenocortical insufficiency and adjust corticosteroid dosage as needed. The drug itself is associated with the risk of adrenal insufficiency, which can have cardiovascular implications.

3. Hepatotoxicity, including severe liver toxicity, has been reported with abiraterone acetate, leading to fatalities. Monitor liver function tests regularly and interrupt or discontinue treatment as necessary. The drug itself is associated with the risk of severe hepatotoxicity, which can have cardiovascular consequences.

4. In combination with radium Ra 223 dichloride, abiraterone acetate has been linked to increased fractures and mortality, leading to recommendations against this combination. The drug itself is associated with the risk of increased fractures and mortality when used in combination with radium Ra 223 dichloride, which can impact cardiovascular health.

5. Cardiac failure occurred more frequently in patients treated with abiraterone acetate compared to placebo, with grade 3-4 cardiac failure leading to treatment discontinuations and deaths. The drug itself is associated with the risk of cardiac failure, which can be a serious cardiovascular adverse reaction.",Most,Yes,Most,"Provide a summary of all the parts of the drug label that discuss cardiotoxicity risks and cardiotoxicity reactions for this drug.
    In your summary of each sentence, clearly state whether the drug itself was associated with or caused the cardiotoxicity risk.","Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No","Given the above information about a drug, answer 'was this drug was associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        In your definition of cardiotoxicity, consider (among other examples) the following to be Most Cardiotoxic:
        Heart damage that is fatal or life-threatening, death, need heart transplantation, (acute) myocardial infarction, heart attack, heart or cardiac failure, congestive heart failure (CHF), cardiomyopathy,
        myocarditis, coronary artery disease, myocardial ischemia, left ventricular dysfunction, cardiogenic shock, coronary, artery insufficiency, valvular heart disease, endocarditis, 
        Fatal or life-threatening arrhythmia, heart/cardiac arrest, cardiorespiratory arrest, torsade de pointes (TdP), AV block III, ventricular fibrillation, Brugada syndrome,
        Angina pectoris, increased angina, mitral valve regurgitation, heart valve thickening, cardio spasm, Ventricular tachycardia, long QT syndrome/QT interval
        prolongation, ventricular arrhythmias.  
         
        Consider the following (among other examples) to be less Cardiotoxic: Hypotension, hypertension, AV block I & II, atrial fibrillation, tachycardia, bradycardia, palptitations, and sinus node dysfunction 
        Now, answer with one word just: 'No', 'Less' or 'Most'",b8967e10-f768-47ce-ac9e-2324c8390132,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=b8967e10-f768-47ce-ac9e-2324c8390132&type=display
5,ACALABRUTINIB,"1. The drug label mentions that Grade 3 atrial fibrillation or flutter occurred in 1.1% of patients treated with CALQUENCE, with all grades of atrial fibrillation or flutter reported in 4.1% of all patients. The label advises monitoring for symptoms of arrhythmia and managing them appropriately. (The drug itself was associated with the risk of atrial fibrillation or flutter.)

2. Additionally, the label states that serious and fatal hemorrhagic events have occurred in patients with hematologic malignancies treated with CALQUENCE. Major hemorrhage occurred in 3.0% of patients, with fatal hemorrhage in 0.1% of patients. The label recommends considering the risks and benefits of antithrombotic agents when co-administered with CALQUENCE and monitoring patients for signs of bleeding. (The drug itself was associated with the risk of hemorrhagic events.)

3. The label also mentions that CALQUENCE may cause fetal harm and dystocia when administered to pregnant women based on animal studies. It advises pregnant women of the potential risk to a fetus. (The drug itself was associated with the risk of fetal harm and dystocia in pregnant women based on animal studies.)

Overall, CALQUENCE is associated with cardiotoxicity risks such as atrial fibrillation, flutter, and hemorrhagic events, as well as potential risks to fetal development in pregnant women based on animal studies.",Most,Yes,Most,"Provide a summary of all the parts of the drug label that discuss cardiotoxicity risks and cardiotoxicity reactions for this drug.
    In your summary of each sentence, clearly state whether the drug itself was associated with or caused the cardiotoxicity risk.","Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No","Given the above information about a drug, answer 'was this drug was associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        In your definition of cardiotoxicity, consider (among other examples) the following to be Most Cardiotoxic:
        Heart damage that is fatal or life-threatening, death, need heart transplantation, (acute) myocardial infarction, heart attack, heart or cardiac failure, congestive heart failure (CHF), cardiomyopathy,
        myocarditis, coronary artery disease, myocardial ischemia, left ventricular dysfunction, cardiogenic shock, coronary, artery insufficiency, valvular heart disease, endocarditis, 
        Fatal or life-threatening arrhythmia, heart/cardiac arrest, cardiorespiratory arrest, torsade de pointes (TdP), AV block III, ventricular fibrillation, Brugada syndrome,
        Angina pectoris, increased angina, mitral valve regurgitation, heart valve thickening, cardio spasm, Ventricular tachycardia, long QT syndrome/QT interval
        prolongation, ventricular arrhythmias.  
         
        Consider the following (among other examples) to be less Cardiotoxic: Hypotension, hypertension, AV block I & II, atrial fibrillation, tachycardia, bradycardia, palptitations, and sinus node dysfunction 
        Now, answer with one word just: 'No', 'Less' or 'Most'",b1409184-3267-4d8c-8f17-4e01f69828b1,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=b1409184-3267-4d8c-8f17-4e01f69828b1&type=display
6,ACAMPROSATE CALCIUM,"1. The drug label does not mention any cardiotoxicity risks or cardiotoxicity reactions associated with the use of Campral (acamprosate calcium). 

Therefore, based on the information provided in the drug label, there are no indications that Campral is associated with cardiotoxicity risks or reactions.",No,No,No,"Provide a summary of all the parts of the drug label that discuss cardiotoxicity risks and cardiotoxicity reactions for this drug.
    In your summary of each sentence, clearly state whether the drug itself was associated with or caused the cardiotoxicity risk.","Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No","Given the above information about a drug, answer 'was this drug was associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        In your definition of cardiotoxicity, consider (among other examples) the following to be Most Cardiotoxic:
        Heart damage that is fatal or life-threatening, death, need heart transplantation, (acute) myocardial infarction, heart attack, heart or cardiac failure, congestive heart failure (CHF), cardiomyopathy,
        myocarditis, coronary artery disease, myocardial ischemia, left ventricular dysfunction, cardiogenic shock, coronary, artery insufficiency, valvular heart disease, endocarditis, 
        Fatal or life-threatening arrhythmia, heart/cardiac arrest, cardiorespiratory arrest, torsade de pointes (TdP), AV block III, ventricular fibrillation, Brugada syndrome,
        Angina pectoris, increased angina, mitral valve regurgitation, heart valve thickening, cardio spasm, Ventricular tachycardia, long QT syndrome/QT interval
        prolongation, ventricular arrhythmias.  
         
        Consider the following (among other examples) to be less Cardiotoxic: Hypotension, hypertension, AV block I & II, atrial fibrillation, tachycardia, bradycardia, palptitations, and sinus node dysfunction 
        Now, answer with one word just: 'No', 'Less' or 'Most'",fe6f754f-62b4-4c86-805d-221332409516,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=fe6f754f-62b4-4c86-805d-221332409516&type=display
7,ACARBOSE,"1. The drug label does not mention any direct association or causation of cardiotoxicity risks with the drug itself.
2. The drug label does not mention any direct association or causation of cardiotoxicity reactions with the drug itself.",No,No,No,"Provide a summary of all the parts of the drug label that discuss cardiotoxicity risks and cardiotoxicity reactions for this drug.
    In your summary of each sentence, clearly state whether the drug itself was associated with or caused the cardiotoxicity risk.","Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No","Given the above information about a drug, answer 'was this drug was associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        In your definition of cardiotoxicity, consider (among other examples) the following to be Most Cardiotoxic:
        Heart damage that is fatal or life-threatening, death, need heart transplantation, (acute) myocardial infarction, heart attack, heart or cardiac failure, congestive heart failure (CHF), cardiomyopathy,
        myocarditis, coronary artery disease, myocardial ischemia, left ventricular dysfunction, cardiogenic shock, coronary, artery insufficiency, valvular heart disease, endocarditis, 
        Fatal or life-threatening arrhythmia, heart/cardiac arrest, cardiorespiratory arrest, torsade de pointes (TdP), AV block III, ventricular fibrillation, Brugada syndrome,
        Angina pectoris, increased angina, mitral valve regurgitation, heart valve thickening, cardio spasm, Ventricular tachycardia, long QT syndrome/QT interval
        prolongation, ventricular arrhythmias.  
         
        Consider the following (among other examples) to be less Cardiotoxic: Hypotension, hypertension, AV block I & II, atrial fibrillation, tachycardia, bradycardia, palptitations, and sinus node dysfunction 
        Now, answer with one word just: 'No', 'Less' or 'Most'",c85bc02a-bf18-4690-84b8-2c256bce5f9f,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=c85bc02a-bf18-4690-84b8-2c256bce5f9f&type=display
8,ACEBUTOLOL HYDROCHLORIDE,"1. **Warnings - Cardiac Failure**: The drug itself is associated with the risk of exacerbating cardiac failure due to its inhibition of sympathetic stimulation, which may be essential for supporting circulation in individuals with diminished myocardial contractility. The label advises caution in patients with a history of heart failure controlled with digitalis and/or diuretics when using this drug.

2. **Warnings - In Patients Without a History of Cardiac Failure**: The drug itself is associated with the risk of potentially leading to cardiac failure in patients with aortic or mitral valve disease or compromised left ventricular function due to continued depression of the myocardium with beta-blocking agents over time.

3. **Warnings - Exacerbation of Ischemic Heart Disease Following Abrupt Withdrawal**: The drug itself is associated with the risk of exacerbating angina pectoris and myocardial infarction following abrupt cessation of therapy, particularly in patients with coronary artery disease. The label advises against interrupting therapy without medical advice and recommends gradual withdrawal over about two weeks.

4. **Warnings - Peripheral Vascular Disease**: The drug itself is associated with the risk of reducing cardiac output and potentially worsening arterial insufficiency symptoms in patients with peripheral or mesenteric vascular disease. Caution is advised in such patients to monitor for progression of arterial obstruction.

5. **Warnings - Bronchospastic Disease**: The drug itself is associated with the risk of potentially aggravating bronchospastic disease due to its beta-blocking effects. While low doses may be cautiously used in patients with bronchospastic disease, the label recommends close monitoring and availability of bronchodilators.

6. **Warnings - Anesthesia and Major Surgery**: The drug itself is associated with the risk of impairing the heart's ability to respond to adrenergically mediated reflex stimuli during anesthesia, potentially leading to excessive myocardial depression. Caution is advised when using anesthetic agents that depress the myocardium, and careful monitoring is recommended.

7. **Warnings - Diabetes and Hypoglycemia**: The drug itself is associated with the risk of potentiating insulin-induced hypoglycemia and masking some of its manifestations, such as tachycardia, in diabetic patients. Patients are advised to be aware of the possibility of masked hypoglycemia.

8. **Warnings - Thyrotoxicosis**: The drug itself is associated with the risk of masking clinical signs of hyperthyroidism, such as tachycardia. Abrupt withdrawal of beta-blockade may precipitate a thyroid storm, necessitating close monitoring in patients suspected of developing thyrotoxicosis when withdrawing the drug.",Less,Yes,Most,"Provide a summary of all the parts of the drug label that discuss cardiotoxicity risks and cardiotoxicity reactions for this drug.
    In your summary of each sentence, clearly state whether the drug itself was associated with or caused the cardiotoxicity risk.","Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No","Given the above information about a drug, answer 'was this drug was associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        In your definition of cardiotoxicity, consider (among other examples) the following to be Most Cardiotoxic:
        Heart damage that is fatal or life-threatening, death, need heart transplantation, (acute) myocardial infarction, heart attack, heart or cardiac failure, congestive heart failure (CHF), cardiomyopathy,
        myocarditis, coronary artery disease, myocardial ischemia, left ventricular dysfunction, cardiogenic shock, coronary, artery insufficiency, valvular heart disease, endocarditis, 
        Fatal or life-threatening arrhythmia, heart/cardiac arrest, cardiorespiratory arrest, torsade de pointes (TdP), AV block III, ventricular fibrillation, Brugada syndrome,
        Angina pectoris, increased angina, mitral valve regurgitation, heart valve thickening, cardio spasm, Ventricular tachycardia, long QT syndrome/QT interval
        prolongation, ventricular arrhythmias.  
         
        Consider the following (among other examples) to be less Cardiotoxic: Hypotension, hypertension, AV block I & II, atrial fibrillation, tachycardia, bradycardia, palptitations, and sinus node dysfunction 
        Now, answer with one word just: 'No', 'Less' or 'Most'",7eee95bf-0452-4d6e-9712-33403768695a,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=7eee95bf-0452-4d6e-9712-33403768695a&type=display
9,ACETAMINOPHEN,"1. The drug label does not mention any specific cardiotoxicity risks or reactions associated with the use of Acetaminophen Injection itself. 

2. However, it is important to note that acetaminophen has been associated with cases of acute liver failure, which can have indirect effects on the cardiovascular system due to the liver's role in metabolism and detoxification. 

3. Additionally, caution should be exercised when administering acetaminophen in patients with conditions such as severe hepatic impairment, active hepatic disease, alcoholism, chronic malnutrition, severe hypovolemia, or severe renal impairment, as these conditions may indirectly impact cardiovascular function. 

4. No direct cardiotoxicity risks or reactions related to the use of Acetaminophen Injection were explicitly mentioned in the drug label.",No,No,No,"Provide a summary of all the parts of the drug label that discuss cardiotoxicity risks and cardiotoxicity reactions for this drug.
    In your summary of each sentence, clearly state whether the drug itself was associated with or caused the cardiotoxicity risk.","Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No","Given the above information about a drug, answer 'was this drug was associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        In your definition of cardiotoxicity, consider (among other examples) the following to be Most Cardiotoxic:
        Heart damage that is fatal or life-threatening, death, need heart transplantation, (acute) myocardial infarction, heart attack, heart or cardiac failure, congestive heart failure (CHF), cardiomyopathy,
        myocarditis, coronary artery disease, myocardial ischemia, left ventricular dysfunction, cardiogenic shock, coronary, artery insufficiency, valvular heart disease, endocarditis, 
        Fatal or life-threatening arrhythmia, heart/cardiac arrest, cardiorespiratory arrest, torsade de pointes (TdP), AV block III, ventricular fibrillation, Brugada syndrome,
        Angina pectoris, increased angina, mitral valve regurgitation, heart valve thickening, cardio spasm, Ventricular tachycardia, long QT syndrome/QT interval
        prolongation, ventricular arrhythmias.  
         
        Consider the following (among other examples) to be less Cardiotoxic: Hypotension, hypertension, AV block I & II, atrial fibrillation, tachycardia, bradycardia, palptitations, and sinus node dysfunction 
        Now, answer with one word just: 'No', 'Less' or 'Most'",88c29438-3648-4b09-bd43-70ad7a35bcb5,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=88c29438-3648-4b09-bd43-70ad7a35bcb5&type=display
