,generic_name,trade_name,binary_determination,yes_no_prompts,set_id,short_answer,ground_truth
0,ABACAVIR,ABACAVIR,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",de109a2b-e36c-40d0-85fc-a67a9e7f1ae8,No,most
1,ABACAVIR,ABACAVIR,No,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",de109a2b-e36c-40d0-85fc-a67a9e7f1ae8,No,most
2,ABACAVIR,ABACAVIR,No,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",de109a2b-e36c-40d0-85fc-a67a9e7f1ae8,No,most
3,"ADENOSINE INJECTION, SOLUTION",ADENOSINE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",d28ff4f3-baf4-4640-ae00-f0eb065417be,Yes,most
4,"ADENOSINE INJECTION, SOLUTION",ADENOSINE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",d28ff4f3-baf4-4640-ae00-f0eb065417be,Yes,most
5,"ADENOSINE INJECTION, SOLUTION",ADENOSINE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",d28ff4f3-baf4-4640-ae00-f0eb065417be,Yes,most
6,ALBUTEROL,ALBUTEROL,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",230d66fc-f62c-42a6-adb3-0a0f879c8ad4,Yes,most
7,ALBUTEROL,ALBUTEROL,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",230d66fc-f62c-42a6-adb3-0a0f879c8ad4,Yes,most
8,ALBUTEROL,ALBUTEROL,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",230d66fc-f62c-42a6-adb3-0a0f879c8ad4,Yes,most
9,ALCOHOL,ALCOHOL,No,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",8d59f7c6-656a-46a8-8da1-f4844351b5d3,No,most
10,ALMOTRIPTAN,ALMOTRIPTAN,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",6fa380c4-c885-4743-85bf-88819ae68645,Yes,most
11,ALMOTRIPTAN,ALMOTRIPTAN,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",6fa380c4-c885-4743-85bf-88819ae68645,Yes,most
12,ALMOTRIPTAN,ALMOTRIPTAN,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",6fa380c4-c885-4743-85bf-88819ae68645,Yes,most
13,ALVIMOPAN,ALVIMOPAN,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",1cd584de-b704-4d26-8451-e3247ffb8d08,Yes,most
14,ALVIMOPAN,ALVIMOPAN,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",1cd584de-b704-4d26-8451-e3247ffb8d08,Yes,most
15,ALVIMOPAN,ALVIMOPAN,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",1cd584de-b704-4d26-8451-e3247ffb8d08,Yes,most
16,AMIFOSTINE,AMIFOSTINE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",973ed458-f46b-4f61-a329-816c4db79a2c,Yes,most
17,AMIFOSTINE,AMIFOSTINE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",973ed458-f46b-4f61-a329-816c4db79a2c,Yes,most
18,AMIFOSTINE,AMIFOSTINE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",973ed458-f46b-4f61-a329-816c4db79a2c,Yes,most
19,AMLODIPINE,AMLODIPINE,No,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",df673a4d-acb8-444c-a472-c87ab8cbd366,Yes,most
20,AMLODIPINE,AMLODIPINE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",df673a4d-acb8-444c-a472-c87ab8cbd366,Yes,most
21,AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,No,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",47f228e9-4a34-4d14-988d-b06af90124b9,No,most
22,AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",47f228e9-4a34-4d14-988d-b06af90124b9,No,most
23,AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",47f228e9-4a34-4d14-988d-b06af90124b9,No,most
24,AMPHETAMINE,AMPHETAMINE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",53d40847-e0d3-48ec-81a7-ec5478553565,Yes,most
25,AMPHETAMINE,AMPHETAMINE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",53d40847-e0d3-48ec-81a7-ec5478553565,Yes,most
26,AMPHETAMINE,AMPHETAMINE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",53d40847-e0d3-48ec-81a7-ec5478553565,Yes,most
27,AMPHETAMINE SULFATE,AMPHETAMINE SULFATE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",26dbad66-13c4-4906-88b3-ab7ee191466c,Yes,most
28,AMPHETAMINE SULFATE,AMPHETAMINE SULFATE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",26dbad66-13c4-4906-88b3-ab7ee191466c,Yes,most
29,AMPHETAMINE SULFATE,AMPHETAMINE SULFATE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",26dbad66-13c4-4906-88b3-ab7ee191466c,Yes,most
30,ANAGRELIDE HYDROCHLORIDE,ANAGRELIDE HYDROCHLORIDE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",cb960074-99c1-4a73-941f-f0644a7ec219,Yes,most
31,ANAGRELIDE HYDROCHLORIDE,ANAGRELIDE HYDROCHLORIDE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",cb960074-99c1-4a73-941f-f0644a7ec219,Yes,most
32,ANAGRELIDE HYDROCHLORIDE,ANAGRELIDE HYDROCHLORIDE,No,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",cb960074-99c1-4a73-941f-f0644a7ec219,Yes,most
33,APALUTAMIDE,APALUTAMIDE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",d1cda4f7-cb33-46ea-b9ac-431f6452b1a5,Yes,most
34,APALUTAMIDE,APALUTAMIDE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",d1cda4f7-cb33-46ea-b9ac-431f6452b1a5,Yes,most
35,APALUTAMIDE,APALUTAMIDE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",d1cda4f7-cb33-46ea-b9ac-431f6452b1a5,Yes,most
36,APOMORPHINE HYDROCHLORIDE,APOMORPHINE HYDROCHLORIDE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",3235535d-9ef9-4657-8b2a-176a807d091c,Yes,most
37,APOMORPHINE HYDROCHLORIDE,APOMORPHINE HYDROCHLORIDE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",3235535d-9ef9-4657-8b2a-176a807d091c,Yes,most
38,APOMORPHINE HYDROCHLORIDE,APOMORPHINE HYDROCHLORIDE,No,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",3235535d-9ef9-4657-8b2a-176a807d091c,Yes,most
39,ARSENIC TRIOXIDE,ARSENIC TRIOXIDE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",3b007d59-99ad-409f-a71e-7f4e7d6f6b12,Yes,most
40,ARSENIC TRIOXIDE,ARSENIC TRIOXIDE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",3b007d59-99ad-409f-a71e-7f4e7d6f6b12,Yes,most
41,ARSENIC TRIOXIDE,ARSENIC TRIOXIDE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",3b007d59-99ad-409f-a71e-7f4e7d6f6b12,Yes,most
42,ASCIMINIB,ASCIMINIB,No,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",e33001e7-3650-42b1-ae56-cddb5c43aa2b,No,most
43,ASCIMINIB,ASCIMINIB,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",e33001e7-3650-42b1-ae56-cddb5c43aa2b,No,most
44,ASCIMINIB,ASCIMINIB,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",e33001e7-3650-42b1-ae56-cddb5c43aa2b,No,most
45,ATAZANAVIR,ATAZANAVIR,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",a40c4633-1808-4a28-b4af-769fb36da6c5,No,most
46,ATAZANAVIR,ATAZANAVIR,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",a40c4633-1808-4a28-b4af-769fb36da6c5,No,most
47,ATAZANAVIR,ATAZANAVIR,No,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",a40c4633-1808-4a28-b4af-769fb36da6c5,No,most
48,ATENOLOL,ATENOLOL,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",c5112e01-5878-487f-aa09-bcea24a3244e,Yes,most
49,ATENOLOL,ATENOLOL,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",c5112e01-5878-487f-aa09-bcea24a3244e,Yes,most
50,ATENOLOL,ATENOLOL,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",c5112e01-5878-487f-aa09-bcea24a3244e,Yes,most
51,ATOMOXETINE HYDROCHLORIDE,ATOMOXETINE HYDROCHLORIDE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",6f14ced9-c16c-905a-e053-2a91aa0a031e,No,most
52,ATOMOXETINE HYDROCHLORIDE,ATOMOXETINE HYDROCHLORIDE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",6f14ced9-c16c-905a-e053-2a91aa0a031e,No,most
53,ATOMOXETINE HYDROCHLORIDE,ATOMOXETINE HYDROCHLORIDE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",6f14ced9-c16c-905a-e053-2a91aa0a031e,No,most
54,AXITINIB,AXITINIB,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",8a903e31-936e-4ed7-8a59-59f32374f338,No,most
55,AXITINIB,AXITINIB,No,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",8a903e31-936e-4ed7-8a59-59f32374f338,No,most
56,AXITINIB,AXITINIB,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",8a903e31-936e-4ed7-8a59-59f32374f338,No,most
57,AZITHROMYCIN,AZITHROMYCIN,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",333ffe63-aaeb-4dff-b595-1c11209189a6,Yes,most
58,AZITHROMYCIN,AZITHROMYCIN,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",333ffe63-aaeb-4dff-b595-1c11209189a6,Yes,most
59,AZITHROMYCIN,AZITHROMYCIN,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",333ffe63-aaeb-4dff-b595-1c11209189a6,Yes,most
60,AZITHROMYCIN,AZITHROMYCIN,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",333ffe63-aaeb-4dff-b595-1c11209189a6,Yes,most
61,AZITHROMYCIN,AZITHROMYCIN,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",333ffe63-aaeb-4dff-b595-1c11209189a6,Yes,most
62,AZITHROMYCIN,AZITHROMYCIN,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",333ffe63-aaeb-4dff-b595-1c11209189a6,Yes,most
63,AZITHROMYCIN,AZITHROMYCIN,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",333ffe63-aaeb-4dff-b595-1c11209189a6,Yes,most
64,AZITHROMYCIN,AZITHROMYCIN,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",333ffe63-aaeb-4dff-b595-1c11209189a6,Yes,most
65,AZITHROMYCIN,AZITHROMYCIN,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",333ffe63-aaeb-4dff-b595-1c11209189a6,Yes,most
66,BARICITINIB,BARICITINIB,No,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",866e9f35-9035-4581-a4b1-75a621ab55cf,No,most
67,BARICITINIB,BARICITINIB,No,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",866e9f35-9035-4581-a4b1-75a621ab55cf,No,most
68,BARICITINIB,BARICITINIB,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",866e9f35-9035-4581-a4b1-75a621ab55cf,No,most
69,BEDAQUILINE FUMARATE,BEDAQUILINE FUMARATE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",1534c9ae-4948-4cf4-9f66-222a99db6d0e,Yes,most
70,BEDAQUILINE FUMARATE,BEDAQUILINE FUMARATE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",1534c9ae-4948-4cf4-9f66-222a99db6d0e,Yes,most
71,BEDAQUILINE FUMARATE,BEDAQUILINE FUMARATE,No,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",1534c9ae-4948-4cf4-9f66-222a99db6d0e,Yes,most
72,BINIMETINIB,BINIMETINIB,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",6c3408ac-d401-4925-8a03-26591afbc240,Yes,most
73,BINIMETINIB,BINIMETINIB,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",6c3408ac-d401-4925-8a03-26591afbc240,Yes,most
74,BINIMETINIB,BINIMETINIB,No,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",6c3408ac-d401-4925-8a03-26591afbc240,Yes,most
75,BISOPROLOL FUMARATE,BISOPROLOL FUMARATE,No,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",6ebe6ec0-6223-425c-9f3b-8ab8dd8b3f5f,No,most
76,BISOPROLOL FUMARATE,BISOPROLOL FUMARATE,No,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",6ebe6ec0-6223-425c-9f3b-8ab8dd8b3f5f,No,most
77,BISOPROLOL FUMARATE,BISOPROLOL FUMARATE,No,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",6ebe6ec0-6223-425c-9f3b-8ab8dd8b3f5f,No,most
78,BORTEZOMIB,BORTEZOMIB,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",76c7c3a5-fd2f-403f-85fd-65a64538eee7,No,most
79,BORTEZOMIB,BORTEZOMIB,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",76c7c3a5-fd2f-403f-85fd-65a64538eee7,No,most
80,BORTEZOMIB,BORTEZOMIB,No,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",76c7c3a5-fd2f-403f-85fd-65a64538eee7,No,most
81,BOSUTINIB MONOHYDRATE,BOSUTINIB MONOHYDRATE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",adc84ad5-a04d-4fee-9ba8-91f7abd928e3,No,most
82,BOSUTINIB MONOHYDRATE,BOSUTINIB MONOHYDRATE,No,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",adc84ad5-a04d-4fee-9ba8-91f7abd928e3,No,most
83,BOSUTINIB MONOHYDRATE,BOSUTINIB MONOHYDRATE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",adc84ad5-a04d-4fee-9ba8-91f7abd928e3,No,most
84,BROMOCRIPTINE MESYLATE,BROMOCRIPTINE MESYLATE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",c680f258-4d0b-4430-be1d-46e8162fc233,Yes,most
85,BROMOCRIPTINE MESYLATE,BROMOCRIPTINE MESYLATE,No,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",c680f258-4d0b-4430-be1d-46e8162fc233,Yes,most
86,BROMOCRIPTINE MESYLATE,BROMOCRIPTINE MESYLATE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",c680f258-4d0b-4430-be1d-46e8162fc233,Yes,most
87,CABERGOLINE,CABERGOLINE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",bc44d11b-b3f0-4e3d-9da3-4f8852d11734,Yes,most
88,CABERGOLINE,CABERGOLINE,No,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",bc44d11b-b3f0-4e3d-9da3-4f8852d11734,Yes,most
89,CABERGOLINE,CABERGOLINE,No,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",bc44d11b-b3f0-4e3d-9da3-4f8852d11734,Yes,most
90,CAFFEINE CITRATE,CAFFEINE CITRATE,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",2bd238d4-4657-4341-9c28-1b468b8f3bf8,No,most
91,CAFFEINE CITRATE,CAFFEINE CITRATE,No,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",2bd238d4-4657-4341-9c28-1b468b8f3bf8,No,most
