,generic_name,binary_determination,confidence_determination,yes_no_prompts,confidence_prompts,urls
0,68GA-DOTATATE,No,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No","Are you confident in your answer?
        Now, answer with just one word: Yes or No",https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/b2b3be70-17d8-4093-896c-f1c54a2cf242/spl-doc
1,ABACAVIR,Yes,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No","Are you confident in your answer?
        Now, answer with just one word: Yes or No",https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/5409c8ed-17c3-454f-bb88-d597ba8f84ec/spl-doc
2,ABALOPARATIDE,Yes,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No","Are you confident in your answer?
        Now, answer with just one word: Yes or No",https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/712143d9-e21e-4013-bb3b-3426a21060a8/spl-doc
3,ABEMACICLIB,No,No,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No","Are you confident in your answer?
        Now, answer with just one word: Yes or No",https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/be4bc0de-0fdc-4d46-8d25-be43c79e6a06/spl-doc
4,ABIRATERONE ACETATE,Yes,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No","Are you confident in your answer?
        Now, answer with just one word: Yes or No",https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/b8967e10-f768-47ce-ac9e-2324c8390132/spl-doc
5,ACALABRUTINIB,Yes,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No","Are you confident in your answer?
        Now, answer with just one word: Yes or No",https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/b1409184-3267-4d8c-8f17-4e01f69828b1/spl-doc
6,ACAMPROSATE CALCIUM,No,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No","Are you confident in your answer?
        Now, answer with just one word: Yes or No",https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/fe6f754f-62b4-4c86-805d-221332409516/spl-doc
7,ACARBOSE,No,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No","Are you confident in your answer?
        Now, answer with just one word: Yes or No",https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/c85bc02a-bf18-4690-84b8-2c256bce5f9f/spl-doc
8,ACEBUTOLOL HYDROCHLORIDE,Yes,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No","Are you confident in your answer?
        Now, answer with just one word: Yes or No",https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/7eee95bf-0452-4d6e-9712-33403768695a/spl-doc
9,ACETAMINOPHEN,No,Yes,"Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No","Are you confident in your answer?
        Now, answer with just one word: Yes or No",https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/88c29438-3648-4b09-bd43-70ad7a35bcb5/spl-doc
