,generic_name,less_determination,binary_determination,no_less_most_prompts,yes_no_prompts,set_id,urls
0,68GA-DOTATATE,No,No,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",b2b3be70-17d8-4093-896c-f1c54a2cf242,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=b2b3be70-17d8-4093-896c-f1c54a2cf242&type=display
1,ABACAVIR,Less,Yes,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",5409c8ed-17c3-454f-bb88-d597ba8f84ec,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=5409c8ed-17c3-454f-bb88-d597ba8f84ec&type=display
2,ABALOPARATIDE,Less,No,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",712143d9-e21e-4013-bb3b-3426a21060a8,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=712143d9-e21e-4013-bb3b-3426a21060a8&type=display
3,ABEMACICLIB,No,No,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",be4bc0de-0fdc-4d46-8d25-be43c79e6a06,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=be4bc0de-0fdc-4d46-8d25-be43c79e6a06&type=display
4,ABIRATERONE ACETATE,Less,Yes,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",b8967e10-f768-47ce-ac9e-2324c8390132,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=b8967e10-f768-47ce-ac9e-2324c8390132&type=display
5,ACALABRUTINIB,Less,Yes,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",b1409184-3267-4d8c-8f17-4e01f69828b1,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=b1409184-3267-4d8c-8f17-4e01f69828b1&type=display
6,ACAMPROSATE CALCIUM,No,No,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",fe6f754f-62b4-4c86-805d-221332409516,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=fe6f754f-62b4-4c86-805d-221332409516&type=display
7,ACARBOSE,No,No,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",c85bc02a-bf18-4690-84b8-2c256bce5f9f,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=c85bc02a-bf18-4690-84b8-2c256bce5f9f&type=display
8,ACEBUTOLOL HYDROCHLORIDE,Less,No,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",7eee95bf-0452-4d6e-9712-33403768695a,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=7eee95bf-0452-4d6e-9712-33403768695a&type=display
9,ACETAMINOPHEN,No,No,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",88c29438-3648-4b09-bd43-70ad7a35bcb5,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=88c29438-3648-4b09-bd43-70ad7a35bcb5&type=display
10,ACETAZOLAMIDE,No,No,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",923031ec-8142-4570-b3a6-210441d97105,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=923031ec-8142-4570-b3a6-210441d97105&type=display
11,ACETOHYDROXAMIC ACID,No,No,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",6660b616-a82d-9109-19ce-2bdf9747acea,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=6660b616-a82d-9109-19ce-2bdf9747acea&type=display
12,ACETYLCHOLINE CHLORIDE,Less,No,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",e701ef07-9499-4b56-931f-f4eb3eedbe24,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=e701ef07-9499-4b56-931f-f4eb3eedbe24&type=display
13,ACETYLCYSTEINE,Less,No,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",472f158a-5ab9-4308-8e49-1116e6ea3d39,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=472f158a-5ab9-4308-8e49-1116e6ea3d39&type=display
14,ACETYLSALICYLIC ACID,No,No,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",4c2a1403-3862-1efd-0a91-444989222b37,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=4c2a1403-3862-1efd-0a91-444989222b37&type=display
15,ACITRETIN,Less,No,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",a5be620f-d721-40c1-a062-d21c70bfcbed,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=a5be620f-d721-40c1-a062-d21c70bfcbed&type=display
16,ACYCLOVIR,No,No,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",125dbe4e-94ba-45bd-a714-f9c4b8e8b5c2,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=125dbe4e-94ba-45bd-a714-f9c4b8e8b5c2&type=display
17,ADEFOVIR DIPIVOXIL,No,No,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",80595d45-2224-47d1-bd5c-4b11a824e5bd,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=80595d45-2224-47d1-bd5c-4b11a824e5bd&type=display
18,ADENOSINE,Less,Yes,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",1809fc7e-f5d8-18d8-e063-6394a90a7713,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=1809fc7e-f5d8-18d8-e063-6394a90a7713&type=display
19,AFATINIB,Less,Yes,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",fd638e5e-8032-e7ca-0179-95e96ab5d387,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=fd638e5e-8032-e7ca-0179-95e96ab5d387&type=display
20,ALBENDAZOLE,No,No,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",06b5eefc-0b95-4862-b9b6-770063f2adf0,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=06b5eefc-0b95-4862-b9b6-770063f2adf0&type=display
21,ALBUTEROL,Less,Yes,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",601a18ed-d66e-498f-a804-f1a3330827d4,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=601a18ed-d66e-498f-a804-f1a3330827d4&type=display
22,ALCOHOL,Most,Yes,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",314b1dab-8f4f-49ae-a105-f974842818b8,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=314b1dab-8f4f-49ae-a105-f974842818b8&type=display
23,ALECTINIB HYDROCHLORIDE,Less,Yes,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",42c49deb-713b-427a-9670-08af08adcffb,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=42c49deb-713b-427a-9670-08af08adcffb&type=display
24,ALENDRONATE SODIUM,No,No,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",14e931fd-2c5f-4d90-b7db-5980706f4a56,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=14e931fd-2c5f-4d90-b7db-5980706f4a56&type=display
25,ALFENTANIL HYDROCHLORIDE,Less,No,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",098af6c6-7400-4b2b-bae6-03d5913ad712,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=098af6c6-7400-4b2b-bae6-03d5913ad712&type=display
26,ALFUZOSIN HYDROCHLORIDE,Less,Yes,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",1c5502c7-7731-4d3e-b4fe-7fd44dd5908b,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=1c5502c7-7731-4d3e-b4fe-7fd44dd5908b&type=display
27,ALLOPURINOL,No,No,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",10cc918f-aa44-415b-932d-2404695ac449,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=10cc918f-aa44-415b-932d-2404695ac449&type=display
28,ALMOTRIPTAN,Less,Yes,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",6fa380c4-c885-4743-85bf-88819ae68645,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=6fa380c4-c885-4743-85bf-88819ae68645&type=display
29,ALOSETRON HYDROCHLORIDE,No,No,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",35cbb9d5-639b-207a-e054-00144ff88e88,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=35cbb9d5-639b-207a-e054-00144ff88e88&type=display
30,ALPELISIB,No,No,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",638069a4-aee0-46c9-9e21-54ad449c163c,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=638069a4-aee0-46c9-9e21-54ad449c163c&type=display
31,ALPRAZOLAM,No,No,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",aa58fff3-c297-49be-838b-599c32ad9835,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=aa58fff3-c297-49be-838b-599c32ad9835&type=display
32,ALPROSTADIL,Less,No,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",a295fc1e-d82c-4f44-bc2d-a552bf594c98,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=a295fc1e-d82c-4f44-bc2d-a552bf594c98&type=display
33,ALVIMOPAN,Most,Yes,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",77a67dc6-35d3-48ff-9d18-292d4d442f70,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=77a67dc6-35d3-48ff-9d18-292d4d442f70&type=display
34,AMANTADINE,Less,Yes,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",82ff865f-78f3-4c94-b6a9-727a54944b28,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=82ff865f-78f3-4c94-b6a9-727a54944b28&type=display
35,AMANTADINE HYDROCHLORIDE,Most,Yes,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",97d6bd4a-31ca-4b33-8353-a536835ef1e1,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=97d6bd4a-31ca-4b33-8353-a536835ef1e1&type=display
36,AMBRISENTAN,Less,No,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",725d4e73-6c83-477a-adc6-0ae4a133a844,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=725d4e73-6c83-477a-adc6-0ae4a133a844&type=display
37,AMIFAMPRIDINE PHOSPHATE,No,No,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",f015fe60-3128-4a43-8c31-19fc6b5def3f,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=f015fe60-3128-4a43-8c31-19fc6b5def3f&type=display
38,AMIFOSTINE,Less,Yes,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",973ed458-f46b-4f61-a329-816c4db79a2c,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=973ed458-f46b-4f61-a329-816c4db79a2c&type=display
39,AMIKACIN SULFATE,No,No,"Given the above information about a drug, answer 'was this drug associated with No Cardiotoxicity, Less Cardiotoxicity, or Most Cardiotoxicity?'
        Now answer with just one word: No, Less, or Most","Given the above information about a drug, answer 'was this drug associated with Cardiotoxicity?'
        Now, answer with just one word: Yes or No",0b56f6df-a05d-4520-8bf0-d7cefe20f6ad,https://dailymed.nlm.nih.gov/dailymed/fda/fdaDrugXsl.cfm?setid=0b56f6df-a05d-4520-8bf0-d7cefe20f6ad&type=display
