generic_name,reasoning,less_determination,binary_determination,less_determination_score,binary_determination_score,,
TOXICOLOGY SALIVA COLLECTION KIT,"The drug label for the Toxicology Saliva Collection Kit, which includes ibuprofen, discusses several dermatological and cutaneous risks and reactions associated with the drug. Here is a summary of those parts:
 

 1. **Skin Reactions (WARNINGS section)**:
  - **Serious Skin Adverse Events**: The label states that NSAIDs, including ibuprofen, can cause serious skin adverse events such as exfoliative dermatitis, Stevens-Johnson Syndrome (SJS), and toxic epidermal necrolysis (TEN), which can be fatal. This indicates that ibuprofen itself is associated with these serious skin reactions.
  - **Occurrence Without Warning**: These serious events may occur without warning, suggesting that patients should be vigilant for signs and symptoms of skin reactions while using ibuprofen.
 

 2. **Adverse Reactions (DERMATOLOGIC section)**:
  - **Common Reactions**: The label lists rash (including maculopapular type) and pruritus as reactions occurring in 3% to 9% of patients treated with ibuprofen. This indicates that ibuprofen itself is associated with these common dermatological reactions.
  - **Less Common Reactions**: Vesiculobullous eruptions, urticaria, erythema multiforme, Stevens-Johnson syndrome, and alopecia are listed as less common reactions with a probable causal relationship to ibuprofen. This suggests that ibuprofen itself is associated with these less frequent but serious dermatological reactions.
  - **Rare Reactions**: Toxic epidermal necrolysis and photoallergic skin reactions are mentioned as rare reactions with a probable causal relationship to ibuprofen. This indicates that ibuprofen itself is associated with these rare but severe skin reactions.
 

 3. **Information for Patients**:
  - **Serious Skin Side Effects**: Patients are informed that ibuprofen, like other NSAIDs, can cause serious skin side effects such as exfoliative dermatitis, SJS, and TEN, which may result in hospitalization and even death. This reinforces that ibuprofen itself is associated with these serious skin risks.
  - **Signs and Symptoms**: Patients are advised to be alert for signs and symptoms of skin rash and blisters, fever, or other signs of hypersensitivity such as itching, and to seek medical advice if these occur. This indicates that ibuprofen itself can cause these symptoms and that patients should discontinue use and contact their physician if they develop any type of rash.
 

 In summary, the drug label clearly associates ibuprofen with a range of dermatological and cutaneous risks, from common reactions like rash and pruritus to serious and potentially fatal conditions such as exfoliative dermatitis, Stevens-Johnson Syndrome, and toxic epidermal necrolysis.",Most,Yes,1,1,,
DAROLUTAMIDE,"### Summary of Dermatological and Cutaneous Risks and Reactions for NUBEQA (Darolutamide)
 

 1. **Adverse Reactions in Non-Metastatic Castration Resistant Prostate Cancer (nmCRPC)**
  - **Rash**: The drug NUBEQA was associated with rash, including various forms such as eczema, rash maculo-papular, dermatitis, erythema multiforme, rash macular, rash papular, rash pustular, and skin exfoliation. This was observed in 4% of patients receiving NUBEQA compared to 1.4% receiving placebo. (Section 6.1)
 

 2. **Adverse Reactions in Metastatic Hormone-Sensitive Prostate Cancer (mHSPC)**
  - **Rash**: The drug NUBEQA, when used in combination with docetaxel, was associated with rash, including various forms such as rash maculo-papular, palmar-plantar erythrodysesthesia syndrome, eczema, dermatitis, skin exfoliation, dermatitis acneiform, drug eruption, rash pruritic, rash erythematous, erythema multiforme, rash macular, dermatitis exfoliative generalized, penile rash, dyshidrotic eczema, rash papular, dermatitis bullous, rash follicular, rash pustular, rash vesicular, and toxic skin eruption. This was observed in 20% of patients receiving NUBEQA with docetaxel compared to 15% receiving placebo with docetaxel. (Section 6.1)
 

 3. **Permanent Discontinuation Due to Adverse Reactions**
  - **Rash**: The drug NUBEQA, when used in combination with docetaxel, led to permanent discontinuation in 1.1% of patients due to rash. (Section 6.1)
 

 4. **Dosage Interruptions Due to Adverse Reactions**
  - **Rash**: The drug NUBEQA, when used in combination with docetaxel, led to dosage interruptions in some patients due to rash, although specific percentages are not provided. (Section 6.1)
 

 5. **Patient Counseling Information**
  - **Rash**: Patients are informed that rash is a common side effect of NUBEQA, both in nmCRPC and mHSPC when used in combination with docetaxel. (Section 17)
 

 ### Conclusion
 NUBEQA (darolutamide) is associated with various dermatological and cutaneous reactions, including different types of rashes and dermatitis. These reactions have been observed in both non-metastatic castration-resistant prostate cancer (nmCRPC) and metastatic hormone-sensitive prostate cancer (mHSPC) patients, particularly when used in combination with docetaxel. The drug has also led to permanent discontinuation and dosage interruptions in some patients due to these dermatological reactions.",Most,Yes,1,1,,
ESTAZOLAM,"### Summary of Dermatological and Cutaneous Risks and Reactions for Estazolam
 

 1. **Severe Anaphylactic and Anaphylactoid Reactions:**
  - **Sentence:** ""Rare cases of angioedema involving the tongue, glottis or larynx have been reported in patients after taking the first or subsequent doses of sedative-hypnotics, including estazolam.""
  - **Summary:** Estazolam has been associated with rare cases of angioedema, which can involve the tongue, glottis, or larynx.
 

 2. **Other Adverse Events:**
  - **Sentence:** ""Skin and Appendages - Infrequent: rash, sweating, urticaria; Rare: acne, dry skin.""
  - **Summary:** Estazolam has been associated with infrequent occurrences of rash, sweating, and urticaria, and rare occurrences of acne and dry skin.
 

 3. **Postintroduction Reports:**
  - **Sentence:** ""Voluntary reports of non-U.S. postmarketing experience with estazolam have included rare occurrences of photosensitivity, Stevens-Johnson syndrome, and agranulocytosis.""
  - **Summary:** Estazolam has been associated with rare occurrences of photosensitivity, Stevens-Johnson syndrome, and agranulocytosis in postmarketing reports.
 

 ### Conclusion
 Estazolam has been associated with several dermatological and cutaneous risks, including rare cases of angioedema, photosensitivity, Stevens-Johnson syndrome, and agranulocytosis, as well as infrequent occurrences of rash, sweating, and urticaria, and rare occurrences of acne and dry skin.",Most,Yes,2,1,,rare occurences 
METFORMIN HYDROCHLORIDE,"The drug label for GLUMETZA (metformin hydrochloride) does not explicitly discuss dermatological and cutaneous risks or reactions in detail. However, here is a summary of the relevant sections that might indirectly relate to dermatological concerns:
 

 1. **Adverse Reactions (6.2 Postmarketing Experience)**:
  - **Cholestatic, hepatocellular, and mixed hepatocellular liver injury**: This section mentions liver injuries reported with postmarketing use of metformin. While liver injuries can sometimes manifest with dermatological symptoms such as jaundice (yellowing of the skin), the label does not explicitly state that the drug itself causes direct dermatological reactions.
 

 2. **Patient Information (17 Patient Counseling Information)**:
  - **Lactic Acidosis**: The patient information section advises patients to be aware of symptoms of lactic acidosis, which include feeling very weak and tired, unusual sleepiness, unusual muscle pain, feeling cold (especially in the arms and legs), trouble breathing, dizziness, lightheadedness, unexplained stomach or intestinal problems, and a slow or irregular heartbeat. While these symptoms are not directly dermatological, feeling cold in the extremities could be associated with skin changes. However, the drug itself is not stated to cause direct dermatological reactions.
 

 3. **General Information about the safe and effective use of GLUMETZA**:
  - This section advises patients to store the drug properly and keep it out of reach of children. It does not mention any specific dermatological risks or reactions caused by the drug itself.
 

 In summary, the drug label for GLUMETZA does not provide specific information about dermatological and cutaneous risks or reactions directly caused by the drug. The mentioned adverse reactions and patient information sections do not explicitly associate the drug with dermatological issues.",No,No,1,1,,
DECLOFENAC SODIUM,"The drug label for Diclofenac Sodium 75mg includes several sections that discuss dermatological and cutaneous risks and reactions. Here is a summary of those parts:
 

 1. **WARNINGS**:
  - **Serious Skin Reactions**: The label warns that Diclofenac Sodium can cause serious skin adverse events, including exfoliative dermatitis, Stevens-Johnson syndrome (SJS), and toxic epidermal necrolysis (TEN). These reactions can be fatal and may occur without warning. The drug itself is associated with these serious skin reactions.
 

 2. **PRECAUTIONS**:
  - **General**: Patients should be informed about the signs and symptoms of serious skin reactions, and the drug should be discontinued at the first appearance of skin rash or any other sign of hypersensitivity. The drug itself is associated with the need for these precautions due to the risk of serious skin reactions.
 

 3. **ADVERSE REACTIONS**:
  - **Dermatologic**: The label lists various dermatologic adverse reactions that have been reported with Diclofenac Sodium, including rash, pruritus, and urticaria. The drug itself is associated with these dermatologic adverse reactions.
 

 4. **MEDICATION GUIDE**:
  - **Serious Skin Reactions**: The medication guide advises patients to stop taking Diclofenac Sodium and seek immediate medical attention if they develop any type of skin rash or other signs of serious skin reactions. The drug itself is associated with the potential for serious skin reactions, necessitating this guidance.
 

 In summary, Diclofenac Sodium is associated with serious dermatological risks and reactions, including potentially fatal skin conditions and various dermatologic adverse reactions. The label emphasizes the importance of patient awareness and immediate discontinuation of the drug if any skin issues arise.",Most,Yes,1,1,,
NITROGLYCERIN TRANSDERMAL SYSTEM,"Here is a summary of the parts of the drug label that discuss dermatological and cutaneous risks and reactions for the Nitroglycerin Transdermal System:
 

 1. **Contraindications**:
  - **Allergy to adhesives**: The drug label states that allergy to the adhesives used in nitroglycerin patches has been reported, and it constitutes a contraindication to the use of this product. **(Adhesives associated with dermatological risk)**
 

 2. **Warnings**:
  - **Cardioverter/defibrillator use**: A cardioverter/defibrillator should not be discharged through a paddle electrode that overlies a nitroglycerin transdermal patch. The arcing seen in this situation may cause damage to the paddles and burns to the patient. **(Drug associated with dermatological risk)**
 

 3. **Adverse Reactions**:
  - **Contact dermatitis**: Allergic reactions to nitroglycerin are uncommon, but the majority of those reported have been cases of contact dermatitis or fixed drug eruptions in patients receiving nitroglycerin in ointments or patches. **(Drug associated with dermatological reaction)**
  - **Application-site irritation**: Application-site irritation may occur but is rarely severe. **(Drug associated with dermatological reaction)**
 

 4. **Patient Instructions for Application of System**:
  - **Skin preparation**: The area of skin where the patch is applied should be clean, dry, and hairless. Avoid areas with cuts or irritations. **(Drug associated with dermatological risk)**
  - **Skin irritation**: Skin irritation may occur. If it persists, consult your physician. **(Drug associated with dermatological reaction)**
 

 5. **Precautions**:
  - **Skin irritation**: Skin irritation may occur. If it persists, consult your physician. **(Drug associated with dermatological reaction)**
 

 In summary, the Nitroglycerin Transdermal System itself is associated with dermatological risks such as contact dermatitis, application-site irritation, and potential burns if used improperly with a cardioverter/defibrillator. Additionally, the adhesives used in the patches can cause allergic reactions. Proper skin preparation and monitoring for persistent irritation are advised.",Less,Yes,1,1,,
INSULIN ASPART; INSULIN ASPART INJECTION,"Here is a summary of the parts of the drug label that discuss dermatological and cutaneous risks and dermatological reactions for FIASP (insulin aspart):
 

 1. **Dosage and Administration (Section 2.2)**
  - ""Rotate injection sites within the same region to reduce the risk of lipodystrophy and localized cutaneous amyloidosis.""
  - **Summary**: The drug is associated with the risk of lipodystrophy and localized cutaneous amyloidosis if injection sites are not rotated.
 

 2. **Warnings and Precautions (Section 5.2)**
  - ""Repeated insulin injections into areas of lipodystrophy or localized cutaneous amyloidosis have been reported to result in hyperglycemia; and a sudden change in the injection site (to an unaffected area) has been reported to result in hypoglycemia.""
  - **Summary**: The drug is associated with hyperglycemia when injected into areas of lipodystrophy or localized cutaneous amyloidosis, and hypoglycemia when the injection site is suddenly changed to an unaffected area.
 

 3. **Adverse Reactions (Section 6.1)**
  - ""Adverse reactions observed with FIASP include: hypoglycemia, allergic reactions, hypersensitivity, injection/infusion site reactions, lipodystrophy, and weight gain.""
  - **Summary**: The drug is associated with injection/infusion site reactions and lipodystrophy.
  - ""Administration of insulin, including FIASP, has resulted in lipohypertrophy (enlargement or thickening of tissue) and lipoatrophy (depression in the skin).""
  - **Summary**: The drug has caused lipohypertrophy and lipoatrophy.
  - ""Injection site reactions occurred in 1.6% of adult patients treated with FIASP.""
  - **Summary**: The drug caused injection site reactions in 1.6% of adult patients.
  - ""In Study A, adult patients with type 1 diabetes mellitus treated with FIASP reported 2.2% injection site reactions.""
  - **Summary**: The drug caused injection site reactions in 2.2% of adult patients in Study A.
  - ""In Study D, infusion site reactions were reported in 10.2% of adult patients with type 1 diabetes mellitus treated with FIASP.""
  - **Summary**: The drug caused infusion site reactions in 10.2% of adult patients in Study D.
  - ""In Study E, injection site reactions were reported in 4.2% of pediatric patients with type 1 diabetes mellitus treated with FIASP.""
  - **Summary**: The drug caused injection site reactions in 4.2% of pediatric patients in Study E.
 

 4. **Postmarketing Experience (Section 6.2)**
  - ""Localized cutaneous amyloidosis at the injection site has occurred.""
  - **Summary**: The drug is associated with localized cutaneous amyloidosis at the injection site.
 

 5. **Patient Counseling Information (Section 17)**
  - ""Rotate injection sites within the area you choose with each dose to reduce your risk of getting pits in skin or thickened skin (lipodystrophy) and skin with lumps (localized cutaneous amyloidosis) at the injection sites.""
  - **Summary**: The drug is associated with the risk of lipodystrophy and localized cutaneous amyloidosis if injection sites are not rotated.
  - ""Do not inject where the skin has pits, is thickened, or has lumps.""
  - **Summary**: The drug should not be injected into areas with pits, thickened skin, or lumps to avoid exacerbating these conditions.
 

 6. **Instructions for Use (Various Sections)**
  - ""Change (rotate) your injection sites within the area you choose for each dose to reduce your risk of getting lipodystrophy (pits in skin or thickened skin) and localized cutaneous amyloidosis (skin with lumps) at the injection sites.""
  - **Summary**: The drug is associated with the risk of lipodystrophy and localized cutaneous amyloidosis if injection sites are not rotated.
  - ""Do not inject where the skin has pits, is thickened, or has lumps.""
  - **Summary**: The drug should not be injected into areas with pits, thickened skin, or lumps to avoid exacerbating these conditions.
 

 In summary, FIASP (insulin aspart) is associated with several dermatological risks and reactions, including lipodystrophy, localized cutaneous amyloidosis, lipohypertrophy, lipoatrophy, and injection/infusion site reactions. These risks can be mitigated by rotating injection sites and avoiding areas with existing skin issues.",Most,Yes,1,1,,
NECITUMUMAB,"### Summary of Dermatological and Cutaneous Risks and Reactions for PORTRAZZA (necitumumab)
 

 1. **Warnings and Precautions (Section 5.4)**
  - **Dermatologic Toxicities**: Dermatologic toxicities, including rash, dermatitis acneiform, acne, dry skin, pruritus, generalized rash, skin fissures, maculo-papular rash, and erythema, occurred in 79% of patients receiving PORTRAZZA in Study 1. **(The drug itself was associated with these dermatologic toxicities.)**
  - **Severity**: Skin toxicity was severe in 8% of patients. **(The drug itself caused severe dermatologic toxicity in some patients.)**
  - **Onset and Resolution**: Skin toxicity usually developed within the first 2 weeks of therapy and resolved within 17 weeks after onset. **(The drug itself was associated with the onset and resolution timeline of dermatologic toxicity.)**
  - **Dose Modification**: For Grade 3 skin reactions, modify the dose of PORTRAZZA. **(The drug itself requires dose modification in response to severe dermatologic reactions.)**
  - **Sun Exposure**: Limit sun exposure. **(The drug itself necessitates limiting sun exposure to manage dermatologic risks.)**
  - **Discontinuation**: Discontinue PORTRAZZA for severe (Grade 4) skin reactions or for Grade 3 skin induration/fibrosis. **(The drug itself requires discontinuation in cases of severe dermatologic reactions.)**
 

 2. **Dosage and Administration (Section 2.3)**
  - **Dermatologic Toxicity Management**: Withhold PORTRAZZA for Grade 3 rash or acneiform rash until symptoms resolve to Grade ≤2, then resume PORTRAZZA at a reduced dose of 400 mg for at least 1 treatment cycle. **(The drug itself requires withholding and dose adjustment in response to severe dermatologic reactions.)**
  - **Dose Increase**: If symptoms do not worsen, the dose may be increased to 600 mg and 800 mg in subsequent cycles. **(The drug itself allows for dose adjustment based on the severity of dermatologic reactions.)**
  - **Permanent Discontinuation**: Permanently discontinue PORTRAZZA if Grade 3 rash or acneiform rash does not resolve to Grade ≤2 within 6 weeks, reactions worsen or become intolerable at a dose of 400 mg, or if the patient experiences Grade 3 skin induration/fibrosis or Grade 4 dermatologic toxicity. **(The drug itself requires permanent discontinuation in specific severe dermatologic cases.)**
 

 3. **Adverse Reactions (Section 6.1)**
  - **Common Adverse Reactions**: The most common adverse reactions (all grades) observed in PORTRAZZA-treated patients at a rate of ≥30% and ≥2% higher than the gemcitabine and cisplatin alone arm were rash and hypomagnesemia. **(The drug itself was associated with a high incidence of rash.)**
  - **Clinical Trials Experience**: Dermatologic toxicities, including rash (44%), dermatitis acneiform (15%), acne (9%), pruritus (7%), dry skin (7%), and skin fissures (5%), were observed in patients receiving PORTRAZZA. **(The drug itself was associated with these specific dermatologic reactions.)**
  - **Severe Adverse Events**: The most common severe (Grade 3 or higher) adverse events that occurred at a ≥2% higher rate in PORTRAZZA-treated patients compared to patients treated with gemcitabine and cisplatin alone were rash (4%). **(The drug itself caused severe rash in some patients.)**
  - **Discontinuation Due to Adverse Reactions**: In Study 1, 12% of the patients on the PORTRAZZA arm discontinued study treatment due to an adverse reaction, with the most common PORTRAZZA-related toxicity leading to discontinuation being skin rash (1%). **(The drug itself led to discontinuation in some patients due to skin rash.)**
 

 4. **Patient Counseling Information (Section 17)**
  - **Skin Reactions**: Advise patients to minimize sun exposure with protective clothing and use of sunscreen while receiving PORTRAZZA. **(The drug itself necessitates patient counseling on minimizing sun exposure to manage dermatologic risks.)**
 

 ### Conclusion
 PORTRAZZA (necitumumab) is associated with a range of dermatologic and cutaneous risks, including rash, dermatitis acneiform, acne, dry skin, pruritus, generalized rash, skin fissures, maculo-papular rash, and erythema. These reactions can be severe and may require dose modification or discontinuation of the drug. Patients are advised to limit sun exposure to manage these risks.",Most,Yes,1,1,,
TOLTERODINE,"The drug label for tolterodine tartrate extended-release capsules mentions dermatological and cutaneous risks and reactions in the following sections:
 

 1. **Section 5.1 Angioedema**:
  - ""Anaphylaxis and angioedema requiring hospitalization and emergency medical treatment have occurred with the first or subsequent doses of tolterodine tartrate extended-release capsules.""
  - **Summary**: The drug itself was associated with causing anaphylaxis and angioedema.
 

 2. **Section 6.2 Post-marketing Experience**:
  - ""The following events have been reported in association with tolterodine use in worldwide post-marketing experience: General: anaphylaxis and angioedema;""
  - **Summary**: The drug itself was associated with causing anaphylaxis and angioedema in post-marketing reports.
 

 3. **Section 17 Patient Counseling Information**:
  - ""Tolterodine tartrate extended-release capsules may cause allergic reactions that may be serious. Symptoms of a serious allergic reaction may include swelling of the face, lips, throat, or tongue.""
  - **Summary**: The drug itself was associated with causing serious allergic reactions, including swelling of the face, lips, throat, or tongue.
 

 In summary, the drug label indicates that tolterodine tartrate extended-release capsules are associated with causing serious dermatological reactions such as anaphylaxis, angioedema, and swelling of the face, lips, throat, or tongue.",Most,Yes,1,1,,
TEZEPELUMAB-EKKO,"### Summary of Dermatological and Cutaneous Risks and Reactions for TEZSPIRE
 

 1. **Hypersensitivity Reactions (Section 5.1)**
  - **Summary:** Hypersensitivity reactions, including rash, were observed in clinical trials following the administration of TEZSPIRE. Postmarketing cases of anaphylaxis have also been reported.
  - **Association:** The drug itself was associated with these dermatological reactions.
 

 2. **Adverse Reactions (Section 6.1)**
  - **Summary:** Hypersensitivity reactions, including rash and allergic conjunctivitis, were observed in clinical trials following the administration of TEZSPIRE.
  - **Association:** The drug itself was associated with these dermatological reactions.
 

 3. **Patient Information (Section 17)**
  - **Summary:** Patients are informed that hypersensitivity reactions, including rash and allergic conjunctivitis, can occur following administration of TEZSPIRE. These reactions can occur within hours or days after administration.
  - **Association:** The drug itself was associated with these dermatological reactions.
 

 4. **Patient Information Leaflet (Section: What are the possible side effects of TEZSPIRE?)**
  - **Summary:** TEZSPIRE may cause serious allergic reactions, including rash, hives, and swelling of the face, mouth, and tongue.
  - **Association:** The drug itself was associated with these dermatological reactions.
 

 5. **Instructions for Use (Step 4 – Choose an injection site)**
  - **Summary:** Patients are advised not to inject TEZSPIRE into areas where the skin is tender, bruised, scaly, or hard, or into scars or damaged skin.
  - **Association:** This is a precautionary measure related to the administration of the drug, not a reaction caused by the drug itself.
 

 ### Conclusion
 TEZSPIRE is associated with several dermatological and cutaneous risks, primarily hypersensitivity reactions such as rash, hives, and swelling. These reactions have been observed in clinical trials and postmarketing reports. Additionally, patients are advised on proper injection site selection to avoid areas with pre-existing skin conditions.",Most,Yes,1,1,,
