generic_name,reasoning,less_determination,binary_determination,less_determination_score,binary_determination_score
NITROFURANTOIN (MACROCRYSTALS),"The drug label for Nitrofurantoin Capsules, USP (Macrocrystals) discusses infertility risks in the section titled ""Carcinogenesis, Mutagenesis, Impairment of Fertility."" Here is a summary of the relevant parts:
 

 1. **Temporary Spermatogenic Arrest in Rats:**
  - **Summary:** The administration of high doses of nitrofurantoin to rats causes temporary spermatogenic arrest.
  - **Association/Cause:** The drug itself was associated with this effect, as it was observed in rats administered high doses of nitrofurantoin.
 

 2. **Reversibility of Spermatogenic Arrest:**
  - **Summary:** This spermatogenic arrest is reversible on discontinuing the drug.
  - **Association/Cause:** The drug itself caused the spermatogenic arrest, but the effect was reversible upon stopping the drug.
 

 3. **Spermatogenic Arrest in Healthy Human Males:**
  - **Summary:** Doses of 10 mg/kg/day or greater in healthy human males may, in certain unpredictable instances, produce a slight to moderate spermatogenic arrest with a decrease in sperm count.
  - **Association/Cause:** The drug itself was associated with this risk, as it was observed in human males taking higher doses of nitrofurantoin.
 

 In summary, the drug label indicates that nitrofurantoin itself is associated with temporary spermatogenic arrest in both rats and humans, with the effect being reversible upon discontinuation of the drug.",Less,Yes,1,1
ENFORTUMAB VEDOTIN,"The drug label for PADCEV discusses infertility risks in several sections. Here is a summary of those parts, clearly stating whether the drug itself was associated with or caused the infertility risk:
 

 1. **Section 8.3 Females and Males of Reproductive Potential:**
  - **Infertility:**
  - **Females:** ""Based on findings in animal studies with MMAE-containing antibody-drug conjugates (ADCs), PADCEV may impair female fertility. The effect on fertility is reversible."" 
  - **Summary:** The drug itself (PADCEV) may impair female fertility based on animal studies, but this effect is reversible.
  - **Males:** ""Based on findings from animal studies, PADCEV may impair male fertility.""
  - **Summary:** The drug itself (PADCEV) may impair male fertility based on animal studies.
 

 2. **Section 13.1 Carcinogenesis, Mutagenesis, Impairment of Fertility:**
  - ""Fertility studies with enfortumab vedotin-ejfv or MMAE have not been conducted. However, results of repeat-dose toxicity studies indicate the potential for enfortumab vedotin-ejfv to impair female and male reproductive function and fertility.""
  - **Summary:** The drug itself (PADCEV) has the potential to impair both female and male reproductive function and fertility based on repeat-dose toxicity studies.
  - ""In repeat-dose toxicology studies conducted in rats for up to 13 weeks, doses ≥2 mg/kg enfortumab vedotin-ejfv (at exposures similar to the exposures at the recommended human dose) resulted in decreases in testes and epididymis weights, seminiferous tubule degeneration, spermatid/spermatocyte depletion in the testes and cell debris, sperm granuloma and hypospermia/abnormal spermatids in the epididymis. Findings in the testes and epididymis did not reverse by the end of the recovery period.""
  - **Summary:** The drug itself (PADCEV) caused decreases in testes and epididymis weights, seminiferous tubule degeneration, and other adverse effects on male reproductive organs in rats, and these effects did not reverse after the recovery period.
  - ""MMAE-containing ADCs have been associated with adverse ovarian effects when administered to sexually immature animals. Adverse effects included decrease in, or absence of, secondary and tertiary ovarian follicles after weekly administration to cynomolgus monkeys in studies of 4-week duration. These effects showed a trend towards recovery 6 weeks after the end of dosing; no changes were observed in primordial follicles.""
  - **Summary:** The drug itself (PADCEV), as part of MMAE-containing ADCs, was associated with adverse ovarian effects in sexually immature animals, but these effects showed a trend towards recovery after dosing ended.
 

 3. **Section 17 Patient Counseling Information:**
  - ""PADCEV may cause fertility problems in females and males, which may affect the ability to have children. Talk to your healthcare provider if you have concerns about fertility.""
  - **Summary:** The drug itself (PADCEV) may cause fertility problems in both females and males, potentially affecting their ability to have children.
 

 In summary, PADCEV itself is associated with or causes infertility risks in both females and males based on animal studies and repeat-dose toxicity studies. These effects include impairments in reproductive function and fertility, with some effects being potentially reversible.",Most,Yes,1,1
MOMETASONE,"The drug label for Mometasone Furoate Nasal Spray discusses infertility risks in the following sections:
 

 1. **Section 13.1 Carcinogenesis, Mutagenesis, Impairment of Fertility:**
  - **Sentence:** ""In reproductive studies in rats, impairment of fertility was not produced by subcutaneous doses up to 15 mcg/kg (less than the MRDID in adults on a mcg/m2 basis).""
  - **Summary:** The drug itself was not associated with or did not cause infertility at the tested doses in rats.
 

 This is the only part of the drug label that discusses infertility risks. The study mentioned indicates that Mometasone Furoate did not impair fertility in rats at the tested doses.",No,No,1,1
DELAFLOXACIN MEGLUMINE,"The drug label for BAXDELA (delafloxacin) includes the following information related to infertility risks:
 

 1. **Section 13.1 Carcinogenesis, Mutagenesis, Impairment of Fertility:**
  - ""Delafloxacin did not affect the fertility of male and female rats up to the highest intravenous dose tested (120 mg/kg/day); female rats were dosed 2 weeks prior to mating and through gestation day 7 and male rats were treated for 28 days prior to mating and beyond for a total of 58-59 days.""
  - **Summary:** The drug itself was not associated with or did not cause infertility in male and female rats at the highest dose tested.
 

 2. **Section 8.1 Pregnancy:**
  - ""When delafloxacin (as the N-methyl glucamine salt) was administered orally to rats during the period of organogenesis, no malformations or fetal death were observed at up to 7 times the estimated clinical exposure based on AUC.""
  - **Summary:** The drug itself was not associated with or did not cause infertility or fetal malformations in rats at high exposure levels.
 

 3. **Section 8.1 Pregnancy (continued):**
  - ""When rats were dosed intravenously in late pregnancy and through lactation, there were no adverse effects on offspring at exposures approximating the clinical intravenous (IV) exposure based on AUC.""
  - **Summary:** The drug itself was not associated with or did not cause adverse effects on offspring, implying no infertility risk.
 

 4. **Section 8.1 Pregnancy (continued):**
  - ""Effects on pups at that dose included increased mortality during lactation, small stature, and lower body weights, but no changes in learning and memory, sensory function, locomotor activity, developmental landmarks, or reproductive performance were reported.""
  - **Summary:** The drug itself was not associated with or did not cause changes in reproductive performance, indicating no infertility risk.
 

 In summary, the drug label indicates that BAXDELA (delafloxacin) was not associated with or did not cause infertility in the animal studies conducted.",No,No,1,1
TIVOZANIB,"The drug label for FOTIVDA (tivozanib) discusses infertility risks in several sections. Here is a summary of those parts, clearly stating whether the drug itself was associated with or caused the infertility risk:
 

 1. **Section 8.3 Females and Males of Reproductive Potential:**
  - **Infertility:** ""Based on findings in animal studies, FOTIVDA can impair fertility in females and males of reproductive potential.""
  - **Summary:** The drug itself (FOTIVDA) was associated with infertility risks based on animal studies.
 

 2. **Section 13.1 Carcinogenesis, Mutagenesis, Impairment of Fertility:**
  - ""In animal studies assessing mating and fertility parameters, oral doses ≥ 0.03 mg/kg/day (0.2 times the maximum recommended clinical dose on a mg/m2 basis) in rats were associated with increased epididymis and testis weights, and doses ≥ 0.3 mg/kg/day (2 times the maximum recommended clinical dose on a mg/m2 basis) reduced mating and produced infertility.""
  - **Summary:** The drug itself (FOTIVDA) caused infertility in animal studies at certain doses.
  - ""An increase in embryo lethality was noted at doses ≥ 0.1 mg/kg/day (0.7 times the maximum recommended clinical dose on a mg/m2 basis).""
  - **Summary:** The drug itself (FOTIVDA) was associated with increased embryo lethality, which is related to fertility issues, in animal studies at certain doses.
 

 3. **Section 17 Patient Counseling Information:**
  - ""Advise males and females of reproductive potential that FOTIVDA can impair fertility.""
  - **Summary:** The drug itself (FOTIVDA) was associated with infertility risks, and patients should be advised accordingly.
 

 4. **Patient Information Leaflet:**
  - ""FOTIVDA may cause fertility problems in males and females, which may affect your ability to have a child. Talk to your healthcare provider if this is a concern for you.""
  - **Summary:** The drug itself (FOTIVDA) was associated with fertility problems in both males and females.
 

 In summary, the drug label consistently indicates that FOTIVDA (tivozanib) itself is associated with or causes infertility risks based on findings from animal studies and advises patients of reproductive potential to be aware of these risks.",Most,Yes,1,1
NORTRIPTYLINE HYDROCHLORIDE,"The drug label for Pamelor (nortriptyline HCl) does not explicitly discuss infertility risks. The sections of the label cover a wide range of topics, including indications, contraindications, warnings, precautions, adverse reactions, and dosage information, but there is no mention of infertility risks associated with the drug itself.
 

 Here is a summary of the relevant sections that might indirectly relate to reproductive health, but none of these explicitly state that the drug causes or is associated with infertility:
 

 1. **Use in Pregnancy**:
  - ""Safe use of Pamelor during pregnancy and lactation has not been established; therefore, when the drug is administered to pregnant patients, nursing mothers, or women of childbearing potential, the potential benefits must be weighed against the possible hazards.""
  - **Summary**: This statement does not mention infertility but advises caution in pregnant or nursing women due to unknown safety.
 

 2. **Endocrine Effects**:
  - ""Gynecomastia in the male, breast enlargement and galactorrhea in the female; increased or decreased libido, impotence; testicular swelling; elevation or depression of blood sugar levels; syndrome of inappropriate ADH (antidiuretic hormone) secretion.""
  - **Summary**: This section lists various endocrine effects, including changes in libido and impotence, but does not directly link these effects to infertility.
 

 3. **Adverse Reactions**:
  - ""Gynecomastia in the male, breast enlargement and galactorrhea in the female; increased or decreased libido, impotence; testicular swelling.""
  - **Summary**: Similar to the endocrine effects, this section mentions changes in libido and impotence but does not explicitly state that these lead to infertility.
 

 4. **Precautions**:
  - ""Patients should be advised of the following issues and asked to alert their prescriber if these occur while taking nortriptyline hydrochloride.""
  - **Summary**: This general precaution does not mention infertility.
 

 In conclusion, the drug label for Pamelor does not provide any information indicating that the drug itself is associated with or causes infertility. The label advises caution in pregnant or nursing women and lists some endocrine effects, but none of these are explicitly linked to infertility.",Less,No,1,1
IODINATED I-125 ALBUMIN,"The drug label for JEANATOPE includes a section on ""Carcinogenesis, Mutagenesis, Impairment of Fertility,"" which discusses infertility risks. Here is a summary of the relevant parts:
 

 1. **Sentence:** ""No long-term animal studies have been performed to evaluate carcinogenic potential or whether iodinated I 125 albumin affects fertility in males or females.""
  - **Summary:** The drug itself has not been studied for its potential to cause infertility in males or females, as no long-term animal studies have been conducted.
 

 2. **Sentence:** ""There are no data on iodinated I 125 albumin use in pregnant women to evaluate for a drug-associated risk of major birth defects, miscarriage or other adverse maternal or fetal outcomes.""
  - **Summary:** The drug itself has not been associated with or shown to cause infertility risks in pregnant women, as there are no data available to evaluate such risks.
 

 In summary, the drug label indicates that there is no available data or studies to determine whether JEANATOPE (iodinated I 125 albumin) is associated with or causes infertility risks.",No,No,1,1
CLOPIDOGREL BISULPHATE,"The drug label for Clopidogrel does not explicitly discuss infertility risks. However, it does mention the following related to fertility:
 

 1. **Nonclinical Toxicology (Section 13.1 Carcinogenesis, Mutagenesis, Impairment of Fertility)**:
  - **Sentence**: ""Clopidogrel was found to have no effect on fertility of male and female rats treated prior to pairing and throughout gestation at oral doses up to 400 mg/kg per day (52 times the recommended human dose on a mg/m2 basis).""
  - **Summary**: Clopidogrel itself was not associated with or did not cause infertility in male and female rats at doses significantly higher than the recommended human dose.
 

 In summary, the drug label indicates that Clopidogrel was not associated with or did not cause infertility in animal studies. There is no mention of infertility risks in humans.",No,No,1,1
ALISKIREN,"The drug label for Aliskiren tablets includes the following information related to infertility risks:
 

 1. **Section 13.1 Carcinogenesis, Mutagenesis, Impairment of Fertility**:
  - **Sentence**: ""Fertility of male and female rats was unaffected at doses of up to 250 mg aliskiren/kg/day (8 times the MRHD of 300 mg aliskiren tablets/60 kg on a mg/m2 basis).""
  - **Summary**: The drug itself was not associated with or did not cause infertility risks in male and female rats at doses up to 250 mg/kg/day.
 

 In summary, the drug label indicates that Aliskiren did not affect fertility in animal studies at the tested doses. There is no evidence from the provided information that the drug itself is associated with or causes infertility risks.",No,No,1,1
CLOBETASOL PROPIONATE,"The drug label discusses infertility risks in the section titled ""13 NONCLINICAL TOXICOLOGY,"" specifically under ""13.1 Carcinogenesis, Mutagenesis, Impairment of Fertility."" Here is a summary of the relevant parts:
 

 1. **Impairment of Fertility in Rats**:
  - **Sentence**: ""Fertility studies in the rat following subcutaneous administration at dosage levels up to 50 µg/kg/day revealed that the females exhibited an increase in the number of resorbed embryos and a decrease in the number of living fetuses at the highest dose.""
  - **Summary**: The drug, clobetasol propionate, was associated with infertility risks in female rats, as it caused an increase in resorbed embryos and a decrease in the number of living fetuses at high doses.
 

 2. **Comparison to Human Dose**:
  - **Sentence**: ""This dose is approximately 10 times the recommended human ophthalmic dose of Clobetasol Propionate Ophthalmic Suspension 0.05% (0.83 μg/kg/day), estimated based on body surface area and assuming 100% systemic absorption.""
  - **Summary**: The infertility effects observed in rats were at doses approximately 10 times higher than the recommended human ophthalmic dose, suggesting that the drug itself caused the infertility risk at these higher doses.
 

 3. **Systemic Levels Following Topical Administration**:
  - **Sentence**: ""Note that systemic levels of clobetasol propionate following topical ocular administration are minimal.""
  - **Summary**: The drug itself is unlikely to cause infertility risks in humans when used as directed for topical ocular administration, as systemic absorption is minimal.
 

 In summary, the drug clobetasol propionate was associated with infertility risks in animal studies at high doses, but these effects are unlikely to occur in humans at the recommended ophthalmic dose due to minimal systemic absorption.",Less,Yes,1,1
