generic_name,reasoning,less_determination,binary_determination,less_determination_score,binary_determination_score
BIMATOPROST,"The drug label for DURYSTA (bimatoprost intracameral implant) does not specifically discuss dermatological or cutaneous risks and reactions. The label primarily focuses on ocular and systemic effects, including intraocular pressure reduction, corneal adverse reactions, intraocular inflammation, pigmentation changes, and other ocular complications. 
 

 Here is a summary of the relevant sections that might indirectly relate to dermatological concerns:
 

 1. **Hypersensitivity (Section 4.5)**:
  - **Summary**: DURYSTA is contraindicated in patients with hypersensitivity to bimatoprost or any other components of the product.
  - **Association**: The drug itself is associated with hypersensitivity reactions, which could potentially include dermatological manifestations, although not explicitly stated.
 

 2. **Warnings and Precautions (Section 5)**:
  - **Pigmentation (Section 5.5)**:
  - **Summary**: Ophthalmic bimatoprost, including DURYSTA, has been reported to cause changes to pigmented tissues, such as increased pigmentation of the iris, which is likely to be permanent.
  - **Association**: The drug itself is associated with pigmentation changes, but these are specifically ocular (iris pigmentation) and not cutaneous.
 

 3. **Adverse Reactions (Section 6)**:
  - **Summary**: The most common adverse reactions are ocular, including conjunctival hyperemia, foreign body sensation, eye pain, photophobia, conjunctival hemorrhage, dry eye, eye irritation, increased intraocular pressure, corneal endothelial cell loss, blurred vision, and iritis. The most common non-ocular adverse reaction was headache.
  - **Association**: The drug itself is associated with these adverse reactions, but none are dermatological or cutaneous.
 

 4. **Clinical Trials Experience (Section 6.1)**:
  - **Summary**: The clinical trials did not report any dermatological or cutaneous adverse reactions.
  - **Association**: The drug itself was not associated with dermatological or cutaneous reactions in clinical trials.
 

 5. **Patient Counseling Information (Section 17)**:
  - **Summary**: Patients are advised about potential risks for complications, including corneal adverse events, intraocular inflammation, endophthalmitis, and increased pigmentation of the iris.
  - **Association**: The drug itself is associated with these risks, but they are not dermatological or cutaneous.
 

 In conclusion, the drug label for DURYSTA does not specifically mention any dermatological or cutaneous risks or reactions directly associated with the drug. The primary focus is on ocular and systemic effects.",No,No,2,2
ALFUZOSIN HYDROCHLORIDE,"### Summary of Dermatological and Cutaneous Risks and Reactions for UROXATRAL (alfuzosin HCl)
 

 1. **Contraindications:**
  - **Known hypersensitivity (e.g., urticaria or angioedema) to alfuzosin or any of the ingredients**: UROXATRAL is contraindicated in patients with known hypersensitivity reactions such as urticaria (hives) or angioedema (swelling under the skin). 
  - **Association**: The drug itself is associated with these hypersensitivity reactions.
 

 2. **Warnings and Precautions:**
  - **Discontinue UROXATRAL if symptoms of angina pectoris appear or worsen**: This section does not directly relate to dermatological risks but is included in the broader context of precautions.
  - **Association**: Not applicable to dermatological risks.
 

 3. **Adverse Reactions:**
  - **Post-Marketing Experience**: The following adverse reactions have been identified during post-approval use of UROXATRAL:
  - **Skin and subcutaneous tissue disorders: rash, pruritis, urticaria, angioedema**: These reactions include rash, itching (pruritis), hives (urticaria), and swelling under the skin (angioedema).
  - **Association**: The drug itself is associated with these dermatological reactions.
 

 4. **Patient Counseling Information:**
  - **Hypotension/Syncope**: Patients should be told about the possible occurrence of symptoms related to postural hypotension, such as dizziness, when beginning UROXATRAL.
  - **Association**: Not directly related to dermatological risks.
 

 5. **Patient Information Leaflet:**
  - **Allergic Reactions**: Patients are advised not to take UROXATRAL if they are allergic to alfuzosin hydrochloride or any of the ingredients in UROXATRAL.
  - **Association**: The drug itself is associated with allergic reactions, which can include dermatological symptoms.
 

 ### Conclusion
 UROXATRAL (alfuzosin HCl) is associated with several dermatological and cutaneous risks, including hypersensitivity reactions such as urticaria and angioedema, as well as post-marketing reports of rash and pruritis. These reactions are directly linked to the drug itself.",Most,Yes,1,1
IMATINIB MESYLATE,"### Summary of Dermatological and Cutaneous Risks and Reactions for Gleevec (Imatinib Mesylate)
 

 1. **Warnings and Precautions (Section 5.8)**
  - **Bullous Dermatologic Reactions**: Gleevec has been associated with bullous dermatologic reactions, including erythema multiforme and Stevens-Johnson syndrome. In some cases, these reactions recurred upon rechallenge with Gleevec. Some patients tolerated reintroduction of Gleevec at a lower dose with concomitant corticosteroids or antihistamines.
 

 2. **Adverse Reactions (Section 6)**
  - **Clinical Trials Experience**:
  - **Chronic Myeloid Leukemia (CML)**: Rash and related terms were reported in 40.1% of newly diagnosed CML patients treated with Gleevec. Severe (Grade 3/4) rash occurred in 2.9% of these patients.
  - **Other CML Clinical Trials**: Skin rash was reported in 36% to 47% of patients across different phases of CML treated with Gleevec. Severe (Grade 3/4) skin rash occurred in 3% to 5% of these patients.
  - **Pediatric Population**: In pediatric patients treated with Gleevec, rash was less frequent compared to adults.
  - **Gastrointestinal Stromal Tumors (GIST)**: Rash/desquamation was reported in 38.1% of patients treated with 400 mg and 49.8% of patients treated with 800 mg of Gleevec. Severe (Grade 3/4) rash occurred in 7.6% and 8.9% of patients, respectively.
  - **Adjuvant Treatment of GIST**: Rash (exfoliative) was reported in 26.1% of patients treated with Gleevec, with severe (Grade 3/4) rash occurring in 2.7% of patients.
  - **Dermatofibrosarcoma Protuberans (DFSP)**: Rash was reported in 25% of patients treated with Gleevec.
  - **Postmarketing Experience**:
  - **Skin and Subcutaneous Tissue Disorders**: Gleevec has been associated with various dermatologic reactions, including dry skin, alopecia, face edema, erythema, photosensitivity reaction, nail disorder, purpura, exfoliative dermatitis, bullous eruption, psoriasis, rash pustular, contusion, sweating increased, urticaria, ecchymosis, increased tendency to bruise, hypotrichosis, skin hypopigmentation, skin hyperpigmentation, onychoclasis, folliculitis, petechiae, erythema multiforme, panniculitis (including erythema nodosum), vesicular rash, Stevens-Johnson syndrome, acute generalized exanthematous pustulosis, acute febrile neutrophilic dermatosis (Sweet’s syndrome), nail discoloration, angioneurotic edema, and leucocytoclastic vasculitis.
 

 ### Summary
 - **Gleevec is associated with**: bullous dermatologic reactions, erythema multiforme, Stevens-Johnson syndrome, rash, desquamation, dry skin, alopecia, face edema, erythema, photosensitivity reaction, nail disorder, purpura, exfoliative dermatitis, bullous eruption, psoriasis, rash pustular, contusion, sweating increased, urticaria, ecchymosis, increased tendency to bruise, hypotrichosis, skin hypopigmentation, skin hyperpigmentation, onychoclasis, folliculitis, petechiae, erythema multiforme, panniculitis (including erythema nodosum), vesicular rash, acute generalized exanthematous pustulosis, acute febrile neutrophilic dermatosis (Sweet’s syndrome), nail discoloration, angioneurotic edema, and leucocytoclastic vasculitis.
 - **Severe dermatologic reactions**: Severe (Grade 3/4) reactions include rash, desquamation, and exfoliative dermatitis.
 - **Rechallenge and management**: Some patients experienced recurrent reactions upon rechallenge with Gleevec but tolerated lower doses with corticosteroids or antihistamines.",Most,Yes,1,1
IFOSFAMIDE,"Here is a summary of the parts of the drug label that discuss dermatological and cutaneous risks and reactions for Ifosfamide for Injection:
 

 1. **Warnings and Precautions (5.11) - Impairment of Wound Healing:**
  - **Summary:** Ifosfamide may interfere with normal wound healing.
  - **Association:** The drug itself is associated with this risk.
 

 2. **Adverse Reactions (6.1) - Skin and Subcutaneous Tissues Disorders:**
  - **Alopecia:** 
  - **Summary:** Alopecia was reported in 89.6% of patients.
  - **Association:** The drug itself caused this reaction.
  - **Dermatitis:** 
  - **Summary:** Dermatitis was reported in 0.08% of patients.
  - **Association:** The drug itself caused this reaction.
  - **Papular Rash:** 
  - **Summary:** Papular rash was reported in 0.08% of patients.
  - **Association:** The drug itself caused this reaction.
 

 3. **Postmarketing Experience (6.2):**
  - **Toxic Epidermal Necrolysis:** 
  - **Summary:** Toxic epidermal necrolysis has been identified during post-approval use.
  - **Association:** The drug itself is associated with this reaction.
  - **Stevens-Johnson Syndrome:** 
  - **Summary:** Stevens-Johnson syndrome has been identified during post-approval use.
  - **Association:** The drug itself is associated with this reaction.
  - **Palmar-Plantar Erythrodysesthesia Syndrome:** 
  - **Summary:** Palmar-plantar erythrodysesthesia syndrome has been identified during post-approval use.
  - **Association:** The drug itself is associated with this reaction.
  - **Radiation Recall Dermatitis:** 
  - **Summary:** Radiation recall dermatitis has been identified during post-approval use.
  - **Association:** The drug itself is associated with this reaction.
  - **Skin Necrosis:** 
  - **Summary:** Skin necrosis has been identified during post-approval use.
  - **Association:** The drug itself is associated with this reaction.
  - **Facial Swelling:** 
  - **Summary:** Facial swelling has been identified during post-approval use.
  - **Association:** The drug itself is associated with this reaction.
  - **Petechiae:** 
  - **Summary:** Petechiae has been identified during post-approval use.
  - **Association:** The drug itself is associated with this reaction.
  - **Macular Rash:** 
  - **Summary:** Macular rash has been identified during post-approval use.
  - **Association:** The drug itself is associated with this reaction.
  - **Rash:** 
  - **Summary:** Rash has been identified during post-approval use.
  - **Association:** The drug itself is associated with this reaction.
  - **Pruritus:** 
  - **Summary:** Pruritus has been identified during post-approval use.
  - **Association:** The drug itself is associated with this reaction.
  - **Erythema:** 
  - **Summary:** Erythema has been identified during post-approval use.
  - **Association:** The drug itself is associated with this reaction.
  - **Skin Hyperpigmentation:** 
  - **Summary:** Skin hyperpigmentation has been identified during post-approval use.
  - **Association:** The drug itself is associated with this reaction.
  - **Hyperhidrosis:** 
  - **Summary:** Hyperhidrosis has been identified during post-approval use.
  - **Association:** The drug itself is associated with this reaction.
  - **Nail Disorder:** 
  - **Summary:** Nail disorder has been identified during post-approval use.
  - **Association:** The drug itself is associated with this reaction.
 

 4. **Patient Counseling Information (17):**
  - **Skin and Subcutaneous Tissue Disorders:**
  - **Summary:** Advise patients on the risk of alopecia, wound healing, and other serious skin and subcutaneous tissue disorders.
  - **Association:** The drug itself is associated with these risks.
 

 In summary, Ifosfamide for Injection is associated with several dermatological and cutaneous risks and reactions, including alopecia, dermatitis, papular rash, toxic epidermal necrolysis, Stevens-Johnson syndrome, palmar-plantar erythrodysesthesia syndrome, radiation recall dermatitis, skin necrosis, facial swelling, petechiae, macular rash, rash, pruritus, erythema, skin hyperpigmentation, hyperhidrosis, and nail disorder. Additionally, it may interfere with normal wound healing.",Most,Yes,1,1
HYDROXYZINE HCL,"### Summary of Dermatological and Cutaneous Risks and Reactions for Hydroxyzine HCL 50mg Tablet
 

 1. **Indications and Usage:**
  - **Pruritus Management:** Hydroxyzine is useful in managing pruritus due to allergic conditions such as chronic urticaria and atopic and contact dermatoses, and in histamine-mediated pruritus.
  - **Association:** The drug is used to manage these dermatological conditions.
 

 2. **Precautions:**
  - **Acute Generalized Exanthematous Pustulosis (AGEP):** Hydroxyzine may rarely cause AGEP, a serious skin reaction characterized by fever and numerous small, superficial, non-follicular, sterile pustules, arising within large areas of edematous erythema.
  - **Association:** The drug itself may cause AGEP.
  - **Hypersensitivity Reactions:** Inform patients about the signs of AGEP, and discontinue hydroxyzine at the first appearance of a skin rash, worsening of pre-existing skin reactions, or any other sign of hypersensitivity.
  - **Association:** The drug itself may cause skin rash and hypersensitivity reactions.
  - **Cross-Sensitivity:** Avoid cetirizine or levocetirizine in patients who have experienced AGEP or other hypersensitivity reactions with hydroxyzine, due to the risk of cross-sensitivity.
  - **Association:** The drug itself may cause cross-sensitivity reactions with cetirizine or levocetirizine.
 

 3. **Adverse Reactions:**
  - **Skin and Appendages:** Oral hydroxyzine is associated with AGEP and fixed drug eruptions in postmarketing reports; pruritus, rash, urticaria.
  - **Association:** The drug itself is associated with AGEP, fixed drug eruptions, pruritus, rash, and urticaria.
 

 4. **Overdosage:**
  - **Hypersensitivity Reactions:** Signs and symptoms of overdosage include hypersensitivity reactions such as skin rash.
  - **Association:** The drug itself may cause skin rash in cases of overdosage.
 

 ### Conclusion
 Hydroxyzine HCL 50mg Tablet is associated with several dermatological and cutaneous risks and reactions, including the management of pruritus, potential to cause AGEP, skin rash, hypersensitivity reactions, and cross-sensitivity with cetirizine or levocetirizine. These risks are directly linked to the drug itself.",Most,Yes,1,1
FOLIC ACID,"The drug label for Folic Acid Tablets, USP, mentions dermatological and cutaneous risks and reactions in the following sections:
 

 1. **Adverse Reactions:**
  - ""Allergic sensitization has been reported following both oral and parenteral administration of folic acid.""
  - **Summary:** The drug itself (folic acid) has been associated with allergic sensitization.
  - ""Rare instances of allergic responses to folic acid preparations have been reported and have included erythema, skin rash, itching, general malaise, and respiratory difficulty due to bronchospasm.""
  - **Summary:** The drug itself (folic acid) has caused rare allergic responses, including erythema, skin rash, and itching.
 

 These are the specific mentions of dermatological and cutaneous risks and reactions associated with folic acid in the drug label.",Less,Yes,1,1
FLUOCINOLONE ACETONIDE OIL,"### Summary of Dermatological and Cutaneous Risks and Reactions
 

 1. **General Precautions:**
  - **Systemic Absorption:** Systemic absorption of topical corticosteroids, including fluocinolone acetonide oil 0.01%, can produce reversible hypothalamic-pituitary-adrenal (HPA) axis suppression, which may lead to glucocorticosteroid insufficiency after withdrawal of treatment. This is a potential risk associated with the drug.
  - **Cushing's Syndrome, Hyperglycemia, and Glucosuria:** These conditions can also be produced in some patients due to systemic absorption of the drug.
 

 2. **Allergic Contact Dermatitis:**
  - **Diagnosis:** Allergic contact dermatitis to any component of topical corticosteroids, including fluocinolone acetonide oil 0.01%, is usually diagnosed by a failure to heal rather than noting a clinical exacerbation. This is a potential risk associated with the drug.
  - **Peanut-Sensitive Child:** One peanut-sensitive child experienced a flare of atopic dermatitis after 5 days of twice-daily treatment with fluocinolone acetonide topical oil 0.01%. This reaction was associated with the drug.
 

 3. **Hypersensitivity Reactions:**
  - **Wheal and Flare Reactions:** If wheal and flare type reactions or other manifestations of hypersensitivity develop, fluocinolone acetonide topical oil 0.01% should be discontinued immediately. This is a potential risk associated with the drug.
 

 4. **Concomitant Skin Infections:**
  - **Infections:** If concomitant skin infections are present or develop, an appropriate antifungal or antibacterial agent should be used. If a favorable response does not occur promptly, use of fluocinolone acetonide topical oil 0.01% should be discontinued until the infection has been adequately controlled. This is a precaution related to the drug.
 

 5. **Pediatric Use:**
  - **HPA Axis Suppression and Cushing’s Syndrome:** Children are at a greater risk of HPA-axis suppression and Cushing's syndrome when treated with topical corticosteroids, including fluocinolone acetonide oil 0.01%. This is a potential risk associated with the drug.
  - **Adverse Effects:** Adverse effects such as striae have been reported with inappropriate use of topical corticosteroids in infants and children. This is a potential risk associated with the drug.
 

 6. **Adverse Reactions:**
  - **Local Adverse Reactions:** The following local adverse reactions have been reported infrequently with topical corticosteroids, including fluocinolone acetonide oil 0.01%: burning, itching, irritation, dryness, folliculitis, acneiform eruptions, hypopigmentation, perioral dermatitis, allergic contact dermatitis, secondary infection, skin atrophy, striae, and miliaria. These reactions are associated with the drug.
  - **Peanut-Sensitive Child:** One peanut-sensitive child experienced a flare of atopic dermatitis after 5 days of twice-daily treatment with fluocinolone acetonide topical oil 0.01%. This reaction was associated with the drug.
 

 ### Conclusion
 The drug label for fluocinolone acetonide oil 0.01% (Ear Drops) indicates several dermatological and cutaneous risks and reactions associated with the drug, including systemic absorption leading to HPA axis suppression, Cushing's syndrome, allergic contact dermatitis, hypersensitivity reactions, and various local adverse reactions. Special caution is advised for pediatric use and for individuals with peanut sensitivity.",Most,Yes,1,1
TRIMETHOBENZAMIDE,"The drug label for Trimethobenzamide includes the following information related to dermatological and cutaneous risks and reactions:
 

 1. **Hypersensitivity Reactions**:
  - **Sentence**: ""There have been reports of hypersensitivity reactions and Parkinson-like symptoms.""
  - **Summary**: The drug itself has been associated with hypersensitivity reactions.
 

 2. **Allergic-type Skin Reactions**:
  - **Sentence**: ""Allergic-type skin reactions have been observed; therefore, the drug should be discontinued at the first sign of sensitization.""
  - **Summary**: The drug itself has caused allergic-type skin reactions, and it is advised to discontinue use at the first sign of sensitization.
 

 In summary, the drug label indicates that Trimethobenzamide has been associated with hypersensitivity reactions and has caused allergic-type skin reactions.",Less,Yes,1,1
LENVATINIB,"### Summary of Dermatological and Cutaneous Risks and Reactions for Lenvima
 

 1. **Palmar-Plantar Erythrodysesthesia Syndrome (PPE)**
  - **Incidence in DTC**: The drug Lenvima was associated with palmar-plantar erythrodysesthesia syndrome in 32% of patients, with 3% experiencing Grade 3 severity.
  - **Incidence in RCC (with Pembrolizumab)**: The drug Lenvima, in combination with pembrolizumab, was associated with palmar-plantar erythrodysesthesia syndrome in 29% of patients, with 4% experiencing Grade 3 severity.
  - **Incidence in RCC (with Everolimus)**: The drug Lenvima, in combination with everolimus, was associated with palmar-plantar erythrodysesthesia syndrome in 27% of patients, with 3% experiencing Grade 3 severity.
  - **Incidence in HCC**: The drug Lenvima was associated with palmar-plantar erythrodysesthesia syndrome in 27% of patients, with 3% experiencing Grade 3 severity.
  - **Incidence in EC (with Pembrolizumab)**: The drug Lenvima, in combination with pembrolizumab, was associated with palmar-plantar erythrodysesthesia syndrome in 23% of patients, with 2.9% experiencing Grade 3 severity.
 

 2. **Rash**
  - **Incidence in DTC**: The drug Lenvima was associated with rash in 21% of patients, with 0.4% experiencing Grade 3 severity.
  - **Incidence in RCC (with Pembrolizumab)**: The drug Lenvima, in combination with pembrolizumab, was associated with rash in 37% of patients, with 5% experiencing Grade 3 severity.
  - **Incidence in RCC (with Everolimus)**: The drug Lenvima, in combination with everolimus, was associated with rash in 35% of patients, with no Grade 3 or 4 severity reported.
  - **Incidence in HCC**: The drug Lenvima was associated with rash in 14% of patients, with no Grade 3 or 4 severity reported.
  - **Incidence in EC (with Pembrolizumab)**: The drug Lenvima, in combination with pembrolizumab, was associated with rash in 20% of patients, with 2.3% experiencing Grade 3 severity.
 

 3. **Alopecia**
  - **Incidence in DTC**: The drug Lenvima was associated with alopecia in 12% of patients, with no Grade 3 or 4 severity reported.
 

 4. **Hyperkeratosis**
  - **Incidence in DTC**: The drug Lenvima was associated with hyperkeratosis in 7% of patients, with no Grade 3 or 4 severity reported.
 

 5. **Osteonecrosis of the Jaw (ONJ)**
  - **General Risk**: The drug Lenvima has been associated with osteonecrosis of the jaw (ONJ). Concomitant exposure to other risk factors, such as bisphosphonates, denosumab, dental disease, or invasive dental procedures, may increase the risk of ONJ.
  - **Preventive Measures**: Patients are advised to have preventive dentistry performed prior to treatment with Lenvima and to avoid invasive dental procedures if possible. If ONJ develops, Lenvima should be withheld and restarted based on clinical judgment of adequate resolution.
 

 6. **General Dermatological Reactions**
  - **Incidence in DTC**: The drug Lenvima was associated with dermatological reactions such as rash, redness, itching, or peeling of the skin on the hands and feet.
  - **Incidence in RCC (with Everolimus)**: The drug Lenvima, in combination with everolimus, was associated with dermatological reactions such as rash, redness, itching, or peeling of the skin on the hands and feet.
  - **Incidence in HCC**: The drug Lenvima was associated with dermatological reactions such as rash, redness, itching, or peeling of the skin on the hands and feet.
  - **Incidence in EC (with Pembrolizumab)**: The drug Lenvima, in combination with pembrolizumab, was associated with dermatological reactions such as rash, redness, itching, or peeling of the skin on the hands and feet.
 

 ### Conclusion
 Lenvima is associated with several dermatological and cutaneous risks and reactions, including palmar-plantar erythrodysesthesia syndrome, rash, alopecia, hyperkeratosis, and osteonecrosis of the jaw. These reactions vary in incidence and severity across different types of cancer treatments and combinations with other drugs.",Most,Yes,1,1
GLYCOPYRROLATE ORALLY DISINTEGRATING TABLETS,"The drug label for DARTISLA ODT (glycopyrrolate) does not explicitly mention any dermatological or cutaneous risks or reactions directly associated with the drug. However, there are some related points that could indirectly affect the skin:
 

 1. **Heat Prostration at High Environmental Temperatures**:
  - **Summary**: The drug can reduce sweating, leading to the possibility of heat exhaustion or heat stroke, especially in geriatric patients.
  - **Association**: The drug itself is associated with this risk due to its anticholinergic properties that decrease sweating.
 

 2. **Adverse Reactions**:
  - **Summary**: The drug label lists decreased sweating as an adverse reaction.
  - **Association**: The drug itself is associated with this dermatological reaction.
 

 3. **Patient Counseling Information**:
  - **Summary**: Patients are advised that the drug can reduce sweating, leading to the possibility of heat exhaustion or heat stroke, and they should avoid exposure to hot or very warm environmental temperatures.
  - **Association**: The drug itself is associated with this risk due to its effect on sweating.
 

 In summary, the primary dermatological risk associated with DARTISLA ODT is related to its potential to reduce sweating, which can lead to heat prostration, heat exhaustion, or heat stroke. This is a direct effect of the drug's anticholinergic properties.",Less,Yes,1,1
