generic_name,reasoning,less_determination,binary_determination,less_determination_score,binary_determination_score,
TETRADECYL HYDROGEN SULFATE (ESTER),"The drug label for Sotradecol (sodium tetradecyl sulfate injection) discusses infertility risks in the following sections:
 

 1. **Carcinogenesis, Mutagenesis, Impairment of Fertility Section:**
  - **Sentence:** ""When tested in the L5178YTK +/- mouse lymphoma assay, sodium tetradecyl sulfate did not induce a dose-related increase in the frequency of thymidine kinase-deficient mutants and, therefore, was judged to be nonmutagenic in this system.""
  - **Summary:** The drug itself was not associated with causing mutations in this specific test system.
  - **Sentence:** ""However, no long-term animal carcinogenicity studies with sodium tetradecyl sulfate have been performed.""
  - **Summary:** The drug itself has not been studied long-term for cancer-causing potential, which could indirectly relate to fertility risks.
  - **Sentence:** ""It is also not known whether Sotradecol can cause fetal harm when administered to a pregnant woman or can affect reproduction capacity.""
  - **Summary:** It is unknown whether the drug itself can cause fetal harm or affect reproductive capacity.
 

 2. **Pregnancy Section:**
  - **Sentence:** ""Animal reproduction studies have not been conducted with Sotradecol.""
  - **Summary:** The drug itself has not been studied in animals for reproductive effects.
  - **Sentence:** ""It is also not known whether Sotradecol can cause fetal harm when administered to a pregnant woman or can affect reproduction capacity.""
  - **Summary:** It is unknown whether the drug itself can cause fetal harm or affect reproductive capacity.
 

 In summary, the drug label indicates that there is no definitive evidence that Sotradecol itself causes infertility, but it also highlights that the necessary studies to determine this risk have not been conducted. Therefore, the potential impact on fertility remains unknown.",Less,No,1,1,
NATAMYCIN,"The drug label for NATACYN® (natamycin ophthalmic suspension) 5% includes a section on ""Carcinogenesis, Mutagenesis, Impairment of Fertility,"" which discusses infertility risks. Here is a summary of the relevant parts:
 

 1. **""There have been no long term studies done using natamycin in animals to evaluate carcinogenesis, mutagenesis, or impairment of fertility.""**
  - **Summary:** No long-term studies have been conducted to evaluate whether natamycin itself is associated with or causes infertility risks.
 

 2. **""Animal reproduction studies have not been conducted with natamycin.""**
  - **Summary:** No animal reproduction studies have been conducted to determine if natamycin itself is associated with or causes infertility risks.
 

 3. **""It is also not known whether natamycin can cause fetal harm when administered to a pregnant woman or can affect reproduction capacity.""**
  - **Summary:** It is unknown whether natamycin itself can cause fetal harm or affect reproductive capacity, indicating that the drug's association with or causation of infertility risks is not established.
 

 In summary, the drug label indicates that there is no available data from long-term studies or animal reproduction studies to determine whether natamycin itself is associated with or causes infertility risks.",No,No,1,1,
MIRTAZAPINE,"The drug label for REMERON/REMERONSolTab (mirtazapine) includes a section on nonclinical toxicology that discusses the potential impact of the drug on fertility. Here is a summary of the relevant parts:
 

 1. **Impairment of Fertility**:
  - **Sentence**: ""In a fertility study in rats, mirtazapine was given at doses up to 100 mg/kg [20 times the maximum recommended human dose (MRHD), based on body surface area (mg/m2)].""
  - **Summary**: The study involved administering mirtazapine to rats at doses significantly higher than the maximum recommended human dose.
  - **Drug Association**: The drug itself was used in the study.
 

  - **Sentence**: ""Mating and conception were not affected by the drug, but estrous cycling was disrupted at doses that were 3 or more times the MRHD, and pre-implantation losses occurred at 20 times the MRHD.""
  - **Summary**: Mirtazapine did not affect mating and conception but did disrupt estrous cycling and caused pre-implantation losses at high doses.
  - **Drug Association**: The drug itself caused the disruption in estrous cycling and pre-implantation losses.
 

 In summary, the drug label indicates that mirtazapine, at doses significantly higher than those recommended for humans, did not affect mating and conception in rats but did disrupt estrous cycling and caused pre-implantation losses. This suggests a potential risk for infertility at high doses of the drug.",Less,Yes,1,1,
NISOLDIPINE,"The drug label for SULAR (nisoldipine) includes a section on ""Carcinogenesis, Mutagenesis, Impairment of Fertility,"" which discusses the potential effects of the drug on fertility. Here is a summary of the relevant parts:
 

 1. **""When administered to male and female rats at doses of up to 30 mg/kg/day (about 5 times the MRHD on a mg/m2 basis) nisoldipine had no effect on fertility.""**
  - **Summary:** The drug itself was not associated with or did not cause infertility in male and female rats at doses up to 30 mg/kg/day.
 

 This is the only part of the drug label that discusses infertility risks, and it indicates that nisoldipine did not affect fertility in animal studies.",No,No,1,1,
CASIMERSEN,"The drug label for AMONDYS 45 (casimersen) includes the following information regarding infertility risks:
 

 1. **Section 13.1 Carcinogenesis, Mutagenesis, Impairment of Fertility:**
  - **Fertility studies in animals were not conducted with casimersen.** 
  - **Summary:** The drug itself was not studied for fertility effects in animals.
  - **No effects of casimersen were observed on the male reproductive system following weekly administration to male mice at subcutaneous doses up to 960 mg/kg for 26 weeks or to male monkeys at intravenous doses up to 640 mg/kg for 39 weeks.**
  - **Summary:** The drug itself was not associated with infertility risks in male mice and monkeys.
  - **Plasma exposures at the highest doses tested in mouse and monkey were approximately 9 and 35 times, respectively, that in humans at the recommended human dose of 30 mg/kg/week.**
  - **Summary:** The drug itself, even at high doses, did not cause infertility in animal studies.
 

 In summary, the drug label indicates that casimersen was not associated with or did not cause infertility risks in the animal studies that were conducted.",No,No,1,1,
LEVALBUTEROL TARTRATE,"The drug label for XOPENEX HFA (levalbuterol tartrate) includes a section on nonclinical toxicology that discusses the potential risks related to carcinogenesis, mutagenesis, and impairment of fertility. Here is a summary of the relevant parts:
 

 1. **Carcinogenesis, Mutagenesis, and Impairment of Fertility (Section 13.1)**:
  - **Fertility Studies**: 
  - ""No fertility studies have been conducted with levalbuterol tartrate.""
  - **Summary**: The drug itself has not been studied for its effects on fertility.
  - ""Reproduction studies in rats using racemic albuterol sulfate demonstrated no evidence of impaired fertility at oral doses up to 50 mg/kg/day (approximately 750 times the MRHDID of levalbuterol tartrate for adults on a mg/m² basis).""
  - **Summary**: The drug (racemic albuterol sulfate, which includes levalbuterol) did not cause infertility in animal studies at high doses.
 

 In summary, the drug label indicates that no specific fertility studies have been conducted with levalbuterol tartrate itself. However, related studies using racemic albuterol sulfate (which includes levalbuterol) in rats showed no evidence of impaired fertility at high doses. Therefore, the drug itself was not associated with or did not cause infertility in the animal studies mentioned.",No,No,1,1,Understudied rather than no fertility side effect
ANIDULAFUNGIN,"The drug label for ERAXIS (anidulafungin) includes the following information related to infertility risks:
 

 1. **Section 13.1 Carcinogenesis, Mutagenesis, Impairment of Fertility:**
  - ""Anidulafungin produced no adverse effects on fertility in male or female rats at intravenous doses of 20 mg/kg/day (equivalent to 2 times the proposed therapeutic maintenance dose of 100 mg/day on the basis of relative body surface area).""
  - **Summary:** The drug itself was not associated with or did not cause infertility risks in animal studies.
 

 This is the only section in the drug label that discusses infertility risks, and it indicates that anidulafungin did not produce adverse effects on fertility in the animal studies conducted.",No,No,1,1,
REZAFUNGIN,"The drug label for REZZAYO discusses infertility risks in the following sections:
 

 ### Section 8.3 Females and Males of Reproductive Potential
 **Infertility**
 - **Males**: ""Based on rat studies, rezafungin could lead to decreased sperm motility, decreased sperm numbers, and increased incidence of sperm with abnormal morphology. The effect of REZZAYO on human fertility is unknown.""
  - **Summary**: In rat studies, the drug itself (rezafungin) was associated with decreased sperm motility, decreased sperm numbers, and increased incidence of sperm with abnormal morphology. The effect on human fertility is not known.
 

 ### Section 13.1 Carcinogenesis, Mutagenesis, Impairment of Fertility
 **Impairment of Fertility**
 - ""Rezafungin did not affect mating or fertility in male and female rats following IV administration once every 3 days at doses up to 45 mg/kg (6 times the clinical exposure, based on AUC determined in a separate rat study).""
  - **Summary**: The drug itself (rezafungin) did not affect mating or fertility in male and female rats at certain doses.
 - ""Decreased sperm motility was noted at ≥30 mg/kg and most males at 45 mg/kg showed mild/moderate hypospermia and had no detectable motile sperm.""
  - **Summary**: The drug itself (rezafungin) was associated with decreased sperm motility and mild/moderate hypospermia at higher doses in rats.
 - ""At rezafungin doses ≥30 mg/kg there was an increased incidence of sperm with abnormal morphology as well as mild to moderate degeneration of the seminiferous tubules.""
  - **Summary**: The drug itself (rezafungin) was associated with increased incidence of sperm with abnormal morphology and degeneration of the seminiferous tubules at higher doses in rats.
 - ""In a 3-month study of every 3 day IV rezafungin in rats, males dosed at 45 mg/kg showed minimal tubular degeneration/atrophy in the testes and cellular debris in the epididymides at the end of 3 months. The incidence of this finding reduced by the end of a 4-week reversibility period.""
  - **Summary**: The drug itself (rezafungin) was associated with minimal tubular degeneration/atrophy in the testes and cellular debris in the epididymides in rats, but these effects reduced after a 4-week reversibility period.
 - ""In contrast, sperm concentration, production rate, morphology and motility were unaffected in adult monkeys dosed weekly with rezafungin, up to 30 mg/kg (about 6 times the clinical dose based on AUC comparisons) for 11 or 22 weeks or after a 52-week recovery period.""
  - **Summary**: The drug itself (rezafungin) did not affect sperm concentration, production rate, morphology, and motility in adult monkeys at certain doses.
 

 In summary, the drug label indicates that rezafungin was associated with infertility risks in animal studies, particularly in rats, where it caused decreased sperm motility, decreased sperm numbers, increased abnormal sperm morphology, and degeneration of the seminiferous tubules at higher doses. However, these effects were not observed in monkeys at certain doses, and the impact on human fertility is unknown.",Most,Yes,1,1,
DOXEPIN HYDROCHLORIDE; DOXEPN HYDROCHLORIDE,"The provided drug label for Doxepin Hydrochloride Capsules does not contain any specific sections or sentences that discuss infertility risks associated with the drug. The label includes detailed information on various aspects such as indications, usage, contraindications, warnings, precautions, adverse reactions, and overdose management, but it does not mention infertility risks.
 

 To summarize:
 - **No mention of infertility risks**: The drug label does not discuss or associate Doxepin Hydrochloride with infertility risks. There are no sentences or sections that indicate the drug itself causes or is associated with infertility.
 

 If you have any concerns about infertility or other specific side effects, it is advisable to consult a healthcare provider for personalized medical advice.",No,No,1,1,
DIATRIZOATE MEGLUMINE,"The drug label for Cystografin Dilute does not explicitly discuss infertility risks. However, it does mention pregnancy and reproductive effects in the ""PRECAUTIONS"" section. Here is a summary of the relevant parts:
 

 1. **Pregnancy–Teratogenic Effects:**
  - **Sentence:** ""Animal reproduction studies have not been conducted with diatrizoate meglumine injection.""
  - **Summary:** The drug itself has not been studied for reproductive effects in animals, so no direct association with infertility risk is established.
  - **Sentence:** ""It is also not known whether diatrizoate meglumine injection can cause fetal harm when administered to a pregnant woman or can affect reproduction capacity.""
  - **Summary:** It is unknown whether the drug itself can cause fetal harm or affect reproductive capacity, indicating no confirmed association with infertility risk.
  - **Sentence:** ""Cystografin Dilute should be administered to a pregnant woman only if clearly needed.""
  - **Summary:** The drug itself should be used with caution during pregnancy, but no direct causation of infertility is mentioned.
 

 In summary, the drug label does not provide specific information linking Cystografin Dilute to infertility risks. It only indicates a lack of data on reproductive effects and advises caution when administering the drug to pregnant women.",Less,No,2,2,lack of data rather than no/less toxicity
