generic_name,reasoning,less_determination,binary_determination,less_determination_score,binary_determination_score,issue_with_summaries,
50% DEXTROSE,"The drug label for 50% Dextrose Injection, USP does not explicitly mention pulmonary toxicity risks or pulmonary reactions directly associated with the drug itself. However, there are some warnings and precautions that could indirectly relate to pulmonary issues:

1. **Warnings Section:**
   - ""The intravenous administration of this solution can cause fluid and/or solute overloading resulting in dilution of serum electrolyte concentrations, overhydration, congested states or pulmonary edema.""
     - **Summary:** The drug itself can cause fluid overload, which may lead to pulmonary edema.

2. **Precautions Section:**
   - ""Electrolyte deficits, particularly in serum potassium and phosphate, may occur during prolonged use of concentrated dextrose solutions. Blood electrolyte monitoring is essential and fluid and electrolyte imbalances should be corrected.""
     - **Summary:** The drug itself can cause electrolyte imbalances, which may indirectly affect pulmonary function if not monitored and corrected.

3. **Adverse Reactions Section:**
   - ""Reactions which may occur because of the solution or the technique of administration include febrile response, infection at the site of injection, venous thrombosis or phlebitis extending from the site of injection, extravasation and hypervolemia.""
     - **Summary:** The drug itself can cause hypervolemia, which may indirectly lead to pulmonary complications.

4. **Overdosage Section:**
   - ""In the event of overhydration or solute overload during therapy, re-evaluate the patient and institute appropriate corrective measures.""
     - **Summary:** The drug itself can cause overhydration, which may lead to pulmonary edema if not managed properly.

In summary, while the drug label does not directly associate 50% Dextrose Injection, USP with pulmonary toxicity, it does indicate that improper administration or overdosage can lead to conditions such as fluid overload and hypervolemia, which may result in pulmonary edema.",Less,No,1,1,,
ADEFOVIR DIPIVOXIL,"The provided drug label for HEPSERA (adefovir dipivoxil) does not mention any pulmonary toxicity risks or pulmonary reactions. The label primarily focuses on the following key areas:

1. **Severe Acute Exacerbations of Hepatitis**: The drug may cause severe acute exacerbations of hepatitis upon discontinuation.
2. **Nephrotoxicity**: Chronic use may result in nephrotoxicity, especially in patients with pre-existing renal dysfunction.
3. **HIV Resistance**: The drug may lead to HIV resistance in patients with unrecognized or untreated HIV infection.
4. **Lactic Acidosis and Severe Hepatomegaly with Steatosis**: These conditions, including fatal cases, have been reported with the use of nucleoside analogues.

Since there is no mention of pulmonary toxicity or pulmonary reactions in the drug label, it can be concluded that HEPSERA is not associated with or does not cause any pulmonary risks based on the provided information.",No,No,1,1,,
ALDESLEUKIN,"### Summary of Pulmonary Toxicity Risks and Pulmonary Reactions for Proleukin (Aldesleukin)

1. **Capillary Leak Syndrome (CLS) and Pulmonary Toxicity:**
   - **Sentence:** ""Severe and life-threatening capillary leak syndrome (CLS) characterized by hypotension, dyspnea, edema, and hypoalbuminemia can occur with Proleukin, and can result in end organ toxicity including cardiac, respiratory, renal, hepatic toxicity, or death.""
   - **Summary:** Proleukin is associated with severe and life-threatening CLS, which can result in respiratory toxicity.

2. **Monitoring for CLS:**
   - **Sentence:** ""Monitor for signs and symptoms of CLS including assessments of vital signs, weight, fluid intake, albumin levels and urine output.""
   - **Summary:** Proleukin requires monitoring for CLS, which includes respiratory symptoms.

3. **Withholding or Discontinuing Proleukin for CLS:**
   - **Sentence:** ""Withhold or discontinue Proleukin for failure to maintain organ perfusion as demonstrated by altered mental status, reduced urine output, oxygen saturation <90%, a fall in the systolic blood pressure below 90 mm Hg, or onset of cardiac arrhythmias.""
   - **Summary:** Proleukin should be withheld or discontinued if respiratory symptoms like reduced oxygen saturation occur.

4. **Neurologic Toxicity and Respiratory Symptoms:**
   - **Sentence:** ""Proleukin can cause neurologic toxicities including mental status changes, speech difficulties, cortical blindness, limb or gait ataxia, hallucinations, agitation, obtundation, demyelinating polyneuropathy, and coma.""
   - **Summary:** Proleukin is associated with neurologic toxicities, which can indirectly affect respiratory function.

5. **Serious Infections Including Sepsis:**
   - **Sentence:** ""Proleukin can cause impaired neutrophil function (reduced chemotaxis) and an increased risk of disseminated infection, including sepsis and bacterial endocarditis.""
   - **Summary:** Proleukin is associated with an increased risk of serious infections, which can include respiratory infections.

6. **Renal Toxicity and Respiratory Symptoms:**
   - **Sentence:** ""Serious renal toxicity, including oliguria and renal failure can occur with Proleukin.""
   - **Summary:** Proleukin is associated with renal toxicity, which can indirectly affect respiratory function.

7. **Immune-mediated Adverse Reactions:**
   - **Sentence:** ""Exacerbation of pre-existing autoimmune disease or initial presentation of autoimmune and inflammatory disorders has been reported following treatment with Proleukin.""
   - **Summary:** Proleukin is associated with immune-mediated adverse reactions, which can include respiratory symptoms.

8. **Serious Manifestations of Eosinophilia:**
   - **Sentence:** ""Serious manifestations of eosinophilia involving eosinophilic infiltration of cardiac and pulmonary tissues can occur following Proleukin.""
   - **Summary:** Proleukin is associated with serious manifestations of eosinophilia, which can involve pulmonary tissues.

9. **Delayed Adverse Reactions to Iodinated Contrast Media:**
   - **Sentence:** ""A review of the literature revealed that 12.6% (range 11-28%) of 501 patients treated with various interleukin-2-containing regimens who were subsequently administered radiographic iodinated contrast media experienced acute, atypical adverse reactions.""
   - **Summary:** Proleukin is associated with delayed adverse reactions to iodinated contrast media, which can include respiratory symptoms.

10. **Infusion-Related Reactions:**
    - **Sentence:** ""Proleukin can cause fevers, chills, or rigors.""
    - **Summary:** Proleukin is associated with infusion-related reactions, which can include respiratory symptoms.

11. **Adverse Reactions in Clinical Trials:**
    - **Sentence:** ""The most common (≥30%) adverse reactions were hypotension, hyperbilirubinemia, dyspnea, rash, diarrhea, oliguria, chills, vomiting, thrombocytopenia, nausea, confusional state, and increased creatinine.""
    - **Summary:** Proleukin is associated with dyspnea as a common adverse reaction.

12. **Specific Adverse Reactions:**
    - **Sentence:** ""Respiratory, thoracic, and mediastinal disorders: Dyspnea (43%), Lung disorder (24%), Respiratory disorder (11%), Apnea (<10%), Cough (11%), Rhinitis (10%).""
    - **Summary:** Proleukin is associated with various respiratory disorders, including dyspnea, lung disorders, respiratory disorders, apnea, cough, and rhinitis.

13. **Postmarketing Experience:**
    - **Sentence:** ""The following adverse reactions have been identified during post-approval use of Proleukin: pneumonia (bacterial, fungal, viral).""
    - **Summary:** Proleukin is associated with pneumonia as an adverse reaction identified post-approval.

### Conclusion
Proleukin (Aldesleukin) is associated with several pulmonary toxicity risks and reactions, including dyspnea, lung disorders, respiratory disorders, apnea, cough, rhinitis, and pneumonia. These risks necessitate careful monitoring and potential dose modifications or discontinuation of the drug based on the severity of the respiratory symptoms.",Most,Yes,1,1,,
BEDAQUILINE FUMARATE,"The drug label for SIRTURO (bedaquiline) includes several sections that discuss pulmonary toxicity risks and pulmonary reactions. Here is a summary of those parts:

1. **Indications and Usage**:
   - SIRTURO is indicated for the treatment of pulmonary multi-drug resistant tuberculosis (MDR-TB) in combination with other drugs. This section does not directly associate the drug with pulmonary toxicity risks but indicates its use in treating a pulmonary condition.

2. **Adverse Reactions**:
   - **Clinical Studies Experience in Adults**:
     - Hemoptysis (coughing up blood) was reported in 18% of patients treated with SIRTURO compared to 11% in the placebo group. This indicates that the drug itself was associated with an increased incidence of hemoptysis.
   - **Clinical Studies Experience in Pediatric Patients**:
     - No specific pulmonary adverse reactions were highlighted in pediatric patients.

3. **Warnings and Precautions**:
   - **Increased Mortality**:
     - The increased risk of death in the SIRTURO treatment group compared to the placebo group was noted, but no direct link to pulmonary toxicity was established. The imbalance in deaths was unexplained, and no discernible pattern related to pulmonary reactions was observed.
   - **QT Prolongation**:
     - This section discusses the risk of QT prolongation and its potential to cause serious heart rhythm problems, which could indirectly affect pulmonary function due to cardiac-pulmonary interactions. However, the drug itself was not directly associated with pulmonary toxicity in this context.

4. **Clinical Studies**:
   - **Study 1**:
     - The study showed that SIRTURO treatment resulted in a decreased time to culture conversion and improved culture conversion rates in patients with pulmonary MDR-TB. This indicates a positive pulmonary outcome associated with the drug.
   - **Study 3**:
     - Similar to Study 1, this study showed treatment responses to SIRTURO in patients with pulmonary MDR-TB, indicating positive pulmonary outcomes.

5. **Patient Counseling Information**:
   - Patients are advised to report any serious side effects, including those related to the lungs, such as hemoptysis. This implies that the drug itself may be associated with pulmonary reactions like hemoptysis.

In summary, the drug label indicates that SIRTURO is associated with an increased incidence of hemoptysis in adults, which is a pulmonary reaction. However, no direct pulmonary toxicity risks are highlighted, and the increased mortality observed in clinical studies was not directly linked to pulmonary toxicity. The drug is used to treat pulmonary MDR-TB, and positive pulmonary outcomes were noted in clinical studies.",Less,No,1,1,,
BELUMOSUDIL,"The drug label for REZUROCK (belumosudil) does not explicitly mention pulmonary toxicity risks or pulmonary reactions as a primary concern. However, it does list some pulmonary-related adverse reactions observed during clinical trials. Here is a summary of the relevant parts:

1. **Adverse Reactions (Section 6.1)**:
   - **Dyspnea**: The label mentions that dyspnea (shortness of breath) was observed in 33% of patients, with 5% experiencing Grade 3–4 severity. This indicates that dyspnea was associated with the drug.
   - **Cough**: Cough was reported in 30% of patients, but none were of Grade 3–4 severity. This indicates that cough was associated with the drug.
   - **Infections**: The label lists infections as a common adverse reaction, which can include respiratory infections. This indicates that respiratory infections were associated with the drug.

2. **Patient Information**:
   - **Shortness of Breath**: The patient information section lists shortness of breath as one of the most common side effects. This indicates that shortness of breath was associated with the drug.
   - **Cough**: Cough is also listed as a common side effect in the patient information section. This indicates that cough was associated with the drug.

In summary, the drug label indicates that REZUROCK is associated with pulmonary-related adverse reactions such as dyspnea and cough, as well as respiratory infections. However, it does not explicitly state that the drug causes pulmonary toxicity.",Less,No,1,1,,
BEXAROTENE,"The provided drug label for TARGRETIN (bexarotene) does not explicitly mention pulmonary toxicity risks or pulmonary reactions. The label primarily focuses on other serious adverse reactions and precautions, such as birth defects, hyperlipidemia, pancreatitis, hepatotoxicity, hypothyroidism, neutropenia, cataracts, and photosensitivity. 

Since there is no specific mention of pulmonary toxicity or pulmonary reactions in the provided text, it can be concluded that the drug label does not associate TARGRETIN with pulmonary risks or reactions.",No,No,1,1,,
BOSENTAN,"### Summary of Pulmonary Toxicity Risks and Pulmonary Reactions for TRACLEER (Bosentan)

1. **Pulmonary Veno-Occlusive Disease (PVOD)**
   - **Sentence:** ""If signs of pulmonary edema occur, consider the possibility of associated pulmonary veno-occlusive disease and consider whether TRACLEER should be discontinued.""
   - **Summary:** The drug itself is associated with the risk of pulmonary edema, which may indicate PVOD. Discontinuation of TRACLEER should be considered if PVOD is suspected.

2. **Fluid Retention**
   - **Sentence:** ""Peripheral edema is a known clinical consequence of PAH and worsening PAH and is also a known effect of TRACLEER and other endothelin receptor antagonists.""
   - **Summary:** The drug itself is associated with fluid retention, which can lead to peripheral edema.

   - **Sentence:** ""In PAH clinical trials with TRACLEER, combined adverse events of fluid retention or edema were reported in 1.7% (placebo-corrected) of patients.""
   - **Summary:** The drug itself caused fluid retention or edema in 1.7% of patients in clinical trials.

   - **Sentence:** ""In addition, there have been numerous postmarketing reports of fluid retention in patients with pulmonary hypertension occurring within weeks after starting TRACLEER.""
   - **Summary:** The drug itself is associated with postmarketing reports of fluid retention in patients with pulmonary hypertension.

   - **Sentence:** ""Patients required intervention with a diuretic, fluid management, or hospitalization for decompensating heart failure.""
   - **Summary:** The drug itself caused fluid retention severe enough to require medical intervention, including diuretics, fluid management, or hospitalization.

   - **Sentence:** ""If clinically significant fluid retention develops, with or without associated weight gain, further evaluation should be undertaken to determine the cause, such as TRACLEER or underlying heart failure, and the possible need for treatment or discontinuation of TRACLEER.""
   - **Summary:** The drug itself is associated with clinically significant fluid retention, necessitating evaluation to determine if TRACLEER should be discontinued.

3. **Pulmonary Arterial Hypertension (PAH)**
   - **Sentence:** ""TRACLEER is an endothelin receptor antagonist indicated for the treatment of pulmonary arterial hypertension (PAH) (WHO Group 1).""
   - **Summary:** The drug itself is used to treat PAH, which is a condition involving high blood pressure in the lungs.

4. **Adverse Reactions**
   - **Sentence:** ""Common adverse reactions (≥3% more than placebo) for the film-coated tablet are respiratory tract infection and anemia.""
   - **Summary:** The drug itself is associated with an increased risk of respiratory tract infections.

   - **Sentence:** ""Common adverse reactions (≥15%) for the dispersible tablet are upper respiratory tract infections and pyrexia.""
   - **Summary:** The drug itself is associated with a high incidence of upper respiratory tract infections.

5. **Clinical Trials Experience**
   - **Sentence:** ""The adverse drug events that occurred in ≥3% of the TRACLEER-treated patients and were more common on TRACLEER in placebo-controlled trials in PAH at doses of 125 or 250 mg twice daily are shown in Table 3.""
   - **Summary:** The drug itself caused adverse events, including respiratory tract infections, in more than 3% of patients in clinical trials.

   - **Sentence:** ""Respiratory Tract Infection combines the terms 'Nasopharyngitis', 'Upper Respiratory Tract Infection' and 'Respiratory Tract Infection'.""
   - **Summary:** The drug itself is associated with various types of respiratory tract infections.

6. **Postmarketing Experience**
   - **Sentence:** ""The following additional adverse reactions have been reported during the postapproval use of TRACLEER. Because these adverse reactions are reported from a population of uncertain size, it is not always possible to reliably estimate their frequency or establish a causal relationship to TRACLEER exposure: Nasal congestion.""
   - **Summary:** The drug itself is associated with postmarketing reports of nasal congestion, although a direct causal relationship is not definitively established.

### Conclusion
TRACLEER (Bosentan) is associated with several pulmonary risks and reactions, including pulmonary edema indicative of PVOD, fluid retention leading to peripheral edema, and various respiratory tract infections. These risks necessitate careful monitoring and potential discontinuation of the drug in severe cases.",Most,Yes,2,2,,"* i wouldnt really call pulmonary infections and edema lung toxicity. I could be wrong, but pulm toxicity is like acute or chronic lung injury with usually some fibrosis "
BROMOCRIPTINE MESYLATE,"### Summary of Pulmonary Toxicity Risks and Pulmonary Reactions for Parlodel (Bromocriptine Mesylate)

1. **Warnings Section:**
   - **Pleural and Pulmonary Fibrosis:** 
     - **Sentence:** ""Among patients on Parlodel, particularly on long-term and high-dose treatment, pleural and pericardial effusions, as well as pleural and pulmonary fibrosis and constrictive pericarditis, have been reported.""
     - **Summary:** Parlodel itself has been associated with pleural and pulmonary fibrosis, particularly in patients on long-term and high-dose treatment.

   - **Unexplained Pleuropulmonary Disorders:**
     - **Sentence:** ""Patients with unexplained pleuropulmonary disorders should be examined thoroughly and discontinuation of Parlodel therapy should be considered.""
     - **Summary:** Parlodel itself is associated with pleuropulmonary disorders, and discontinuation should be considered if these disorders are unexplained.

   - **Reversion of Changes:**
     - **Sentence:** ""In those instances in which Parlodel treatment was terminated, the changes slowly reverted towards normal.""
     - **Summary:** Pulmonary changes associated with Parlodel itself may revert towards normal upon discontinuation of the drug.

2. **Adverse Reactions from Postmarketing Experience:**
   - **Pleural Effusion and Pulmonary Fibrosis:**
     - **Sentence:** ""Pleural effusion, pleural fibrosis, pleurisy, pulmonary fibrosis, dyspnoea.""
     - **Summary:** Parlodel itself has been associated with pleural effusion, pleural fibrosis, pleurisy, pulmonary fibrosis, and dyspnoea.

3. **General Precautions:**
   - **Pulmonary Reactions:**
     - **Sentence:** ""Among patients on Parlodel, particularly on long-term and high-dose treatment, pleural and pericardial effusions, as well as pleural and pulmonary fibrosis and constrictive pericarditis, have been reported.""
     - **Summary:** Parlodel itself has been associated with pleural and pulmonary fibrosis, particularly in patients on long-term and high-dose treatment.

### Conclusion
Parlodel (bromocriptine mesylate) has been associated with several pulmonary risks, including pleural effusion, pleural fibrosis, pleurisy, pulmonary fibrosis, and dyspnoea. These risks are particularly noted in patients undergoing long-term and high-dose treatment. Discontinuation of the drug may lead to a reversion of these pulmonary changes.",Most,Yes,,,,
CALFACTANT,"### Summary of Pulmonary Toxicity Risks and Pulmonary Reactions for Infasurf

1. **Warnings Section:**
   - **Rapid Improvement in Oxygenation and Lung Compliance:**
     - **Summary:** The administration of Infasurf often rapidly improves oxygenation and lung compliance.
     - **Association:** This is a positive effect of the drug itself.
   - **Transient Episodes During Dosing:**
     - **Summary:** Transient episodes of reflux of Infasurf into the endotracheal tube, cyanosis, bradycardia, or airway obstruction have occurred during dosing procedures.
     - **Association:** These events are directly associated with the administration of the drug.

2. **Precautions Section:**
   - **Transient Episodes Observed More Frequently:**
     - **Summary:** When repeat dosing was given at fixed 12-hour intervals, transient episodes of cyanosis, bradycardia, reflux of surfactant into the endotracheal tube, and airway obstruction were observed more frequently among Infasurf-treated infants.
     - **Association:** These adverse events are directly associated with the drug itself.
   - **Increased Proportion of IVH and PVL:**
     - **Summary:** An increased proportion of patients with both intraventricular hemorrhage (IVH) and periventricular leukomalacia (PVL) was observed in Infasurf-treated infants.
     - **Association:** These observations are associated with the drug itself, although they were not linked to increased mortality.

3. **Adverse Reactions Section:**
   - **Common Adverse Reactions:**
     - **Summary:** The most common adverse reactions associated with Infasurf dosing procedures include cyanosis (65%), airway obstruction (39%), bradycardia (34%), reflux of surfactant into the endotracheal tube (21%), requirement for manual ventilation (16%), and reintubation (3%).
     - **Association:** These adverse reactions are directly associated with the drug itself.
   - **Pulmonary Air Leaks and Pulmonary Interstitial Emphysema:**
     - **Summary:** The incidence of pulmonary air leaks and pulmonary interstitial emphysema was higher in the Exosurf Neonatal® group compared to the Infasurf group.
     - **Association:** This indicates that Infasurf may have a lower risk of these specific pulmonary complications compared to Exosurf Neonatal®.

4. **Dosing Precautions Section:**
   - **Adverse Events During Administration:**
     - **Summary:** During administration, infants often experience bradycardia, reflux of Infasurf into the endotracheal tube, airway obstruction, cyanosis, dislodgement of the endotracheal tube, or hypoventilation.
     - **Association:** These events are directly associated with the administration of the drug.

### Conclusion
The drug label for Infasurf indicates several pulmonary risks and reactions directly associated with the drug itself, including transient episodes of cyanosis, bradycardia, airway obstruction, and reflux of the surfactant into the endotracheal tube. Additionally, there is an increased proportion of IVH and PVL observed in Infasurf-treated infants, although these were not linked to increased mortality. The drug also shows a lower incidence of pulmonary air leaks and pulmonary interstitial emphysema compared to Exosurf Neonatal®.",Less,Yes,3,1,,"*i think the conditions listed are frequent and severe, warranting a most"
CEFDITOREN PIVOXIL,"The drug label for Cefditoren Pivoxil does not explicitly mention pulmonary toxicity risks or pulmonary reactions directly associated with the drug itself. However, it does include general warnings and precautions that could be relevant to pulmonary health. Here is a summary of the relevant sections:

1. **Warnings**:
   - **Pseudomembranous colitis**: This condition has been reported with nearly all antibacterial agents, including cefditoren pivoxil. It is important to consider this diagnosis in patients who present with diarrhea subsequent to the administration of antibacterial agents. This is not directly related to pulmonary toxicity but is a general warning about the drug's potential side effects.

2. **Adverse Events**:
   - **Clinical Trials**: The label lists various adverse events observed in clinical trials, but none are specifically related to pulmonary toxicity or reactions.
   - **Cephalosporin Class Adverse Reactions**: This section mentions several adverse reactions associated with cephalosporin class antibiotics, including allergic reactions, anaphylaxis, and serum sickness-like reactions, which could potentially involve pulmonary symptoms. However, these are general class effects and not specifically attributed to cefditoren pivoxil.

3. **Postmarketing Experience**:
   - **Pneumonia Interstitial and Eosinophilic Pneumonia Acute**: These conditions have been reported during postmarketing experience with cefditoren pivoxil. This indicates that the drug has been associated with these specific pulmonary conditions in some cases.

In summary, while the drug label does not provide extensive details on pulmonary toxicity risks directly caused by cefditoren pivoxil, it does mention that interstitial pneumonia and acute eosinophilic pneumonia have been reported during postmarketing experience, suggesting a potential association with these pulmonary conditions.",Less,Yes,1,1,,
