generic_name,reasoning,less_determination,binary_determination,less_determination_score,binary_determination_score,issue_with_summaries,My score
FONDAPARINUX SODIUM,"Here is a summary of the parts of the drug label that discuss dermatological and cutaneous risks and reactions for ARIXTRA (fondaparinux sodium):
 

 1. **Warnings and Precautions (5.7 Latex)**
  - The packaging (needle guard) of the prefilled syringe of ARIXTRA contains dry natural latex rubber that may cause allergic reactions in latex-sensitive individuals.
  - **Summary**: The packaging, not the drug itself, is associated with dermatological risks for latex-sensitive individuals.
 

 2. **Adverse Reactions (6.2 Local Reactions)**
  - Local irritation (injection site bleeding, rash, and pruritus) may occur following subcutaneous injection of ARIXTRA.
  - **Summary**: The drug itself is associated with causing local dermatological reactions such as rash and pruritus.
 

 3. **Adverse Reactions (6.4 Other Adverse Reactions)**
  - Other adverse reactions that occurred during treatment with ARIXTRA in clinical trials with patients undergoing hip fracture, hip replacement, or knee replacement surgery include:
  - Purpura: 3.5% in ARIXTRA group vs. 3.5% in enoxaparin sodium group.
  - **Summary**: The drug itself is associated with causing purpura.
  - Bullous eruption: 3.1% in ARIXTRA group vs. 2.6% in enoxaparin sodium group.
  - **Summary**: The drug itself is associated with causing bullous eruptions.
  - Hematoma: 2.8% in ARIXTRA group vs. 2.8% in enoxaparin sodium group.
  - **Summary**: The drug itself is associated with causing hematomas.
 

 4. **Patient Information (What are the possible side effects of ARIXTRA?)**
  - The most common side effects of ARIXTRA include:
  - Bleeding, rash, and itching at the injection site (injection site reactions).
  - **Summary**: The drug itself is associated with causing rash and itching at the injection site.
  - Purplish spots on skin (purpura).
  - **Summary**: The drug itself is associated with causing purpura.
  - Fluid-filled blisters (bullous eruption).
  - **Summary**: The drug itself is associated with causing bullous eruptions.
  - Blood clots (hematoma).
  - **Summary**: The drug itself is associated with causing hematomas.
 

 In summary, ARIXTRA is associated with causing several dermatological reactions, including rash, pruritus, purpura, bullous eruptions, and hematomas. Additionally, the packaging of the drug contains latex, which may cause allergic reactions in latex-sensitive individuals.",Most,Yes,2,2,Most side effects are due to injection and not the drug itself.,
VIBEGRON,"The drug label for GEMTESA (vibegron) includes the following information regarding dermatological and cutaneous risks and reactions:
 

 1. **Section 6.2 Postmarketing Experience**:
  - **Sentence**: ""The following adverse reactions have been identified during post-approval use of vibegron.""
  - **Summary**: This sentence introduces the adverse reactions identified after the drug was approved.
  - **Sentence**: ""Skin and subcutaneous tissue disorders: pruritus, rash, drug eruption, eczema.""
  - **Summary**: The drug itself has been associated with dermatological reactions such as pruritus (itching), rash, drug eruption, and eczema.
 

 In summary, the drug GEMTESA (vibegron) has been associated with dermatological reactions including pruritus, rash, drug eruption, and eczema as identified during post-approval use.",Less,Yes,1,1,,
FOSPHENYTOIN SODIUM,"### Summary of Dermatological and Cutaneous Risks and Reactions for CEREBYX
 

 1. **Serious Dermatologic Reactions**:
  - **CEREBYX can cause severe cutaneous adverse reactions (SCARs)**, which may be fatal. Reported reactions in phenytoin (the active metabolite of CEREBYX)-treated patients have included toxic epidermal necrolysis (TEN), Stevens-Johnson syndrome (SJS), acute generalized exanthematous pustulosis (AGEP), and Drug Reaction with Eosinophilia and Systemic Symptoms (DRESS). The onset of symptoms is usually within 28 days but can occur later. **CEREBYX should be discontinued at the first sign of a rash**, unless the rash is clearly not drug-related. If signs or symptoms suggest a severe cutaneous adverse reaction, use of this drug should not be resumed and alternative therapy should be considered. If a rash occurs, the patient should be evaluated for signs and symptoms of SCARs.
 

 2. **HLA-B*1502 and CYP2C9*3 Variants**:
  - Studies in patients of Chinese ancestry have found a strong association between the risk of developing SJS/TEN and the presence of HLA-B*1502, an inherited allelic variant of the HLA B gene, in patients using carbamazepine. Limited evidence suggests that **HLA-B*1502 may be a risk factor for the development of SJS/TEN in patients of Asian ancestry taking other antiepileptic drugs, including phenytoin**. In addition, retrospective, case-control, genome-wide association studies in patients of southeast Asian ancestry have also identified an increased risk of SCARs in carriers of the decreased function CYP2C9*3 variant, which has also been associated with decreased clearance of phenytoin. Consider avoiding CEREBYX as an alternative to carbamazepine in patients who are positive for HLA-B*1502 or in CYP2C9*3 carriers. Should CEREBYX be utilized for CYP2C9*3 carriers, consider starting at the lower end of the dosage range.
 

 3. **Drug Reaction with Eosinophilia and Systemic Symptoms (DRESS)/Multiorgan Hypersensitivity**:
  - **Drug Reaction with Eosinophilia and Systemic Symptoms (DRESS), also known as Multiorgan hypersensitivity, has been reported in patients taking antiepileptic drugs, including phenytoin and CEREBYX**. Some of these events have been fatal or life-threatening. DRESS typically, although not exclusively, presents with fever, rash, lymphadenopathy, and/or facial swelling, in association with other organ system involvement, such as hepatitis, nephritis, hematological abnormalities, myocarditis, or myositis sometimes resembling an acute viral infection. Eosinophilia is often present. Because this disorder is variable in its expression, other organ systems not noted here may be involved. It is important to note that early manifestations of hypersensitivity, such as fever or lymphadenopathy, may be present even though rash is not evident. If such signs or symptoms are present, the patient should be evaluated immediately. **CEREBYX should be discontinued if an alternative etiology for the signs or symptoms cannot be established**.
 

 4. **Hypersensitivity**:
  - **CEREBYX and other hydantoins are contraindicated in patients who have experienced phenytoin hypersensitivity**. Additionally, consider alternatives to structurally similar drugs such as carboxamides (e.g., carbamazepine), barbiturates, succinimides, and oxazolidinediones (e.g., trimethadione) in these same patients. Similarly, if there is a history of hypersensitivity reactions to these structurally similar drugs in the patient or immediate family members, consider alternatives to CEREBYX.
 

 5. **Angioedema**:
  - **Angioedema has been reported in patients treated with phenytoin and CEREBYX in the postmarketing setting**. **CEREBYX should be discontinued immediately if symptoms of angioedema, such as facial, perioral, or upper airway swelling occur**. **CEREBYX should be discontinued permanently if a clear alternative etiology for the reaction cannot be established**.
 

 6. **Clinical Trials Experience**:
  - The adverse reactions most commonly observed with the use of CEREBYX in clinical trials were nystagmus, dizziness, pruritus, somnolence, and ataxia. With one exception, these reactions are commonly associated with the administration of IV phenytoin. **Pruritus, however, was seen much more often following CEREBYX administration and occurred more often with IV CEREBYX administration than with IM CEREBYX administration**. These reactions were dose and rate related; most alert patients (41 of 64; 64%) administered doses of ≥15 mg PE/kg at 150 mg PE/min experienced discomfort of some degree. These sensations, generally described as itching, burning, or tingling, were usually not at the infusion site. The location of the discomfort varied with the groin mentioned most frequently as a site of involvement. The paresthesia and pruritus were transient events that occurred within several minutes of the start of infusion and generally resolved within 10 minutes after completion of CEREBYX infusion. Some patients experienced symptoms for hours. These reactions did not increase in severity with repeated administration. Concurrent adverse events or clinical laboratory change suggesting an allergic process were not seen.
 

 7. **Postmarketing Experience**:
  - The following adverse reactions have been identified during post-approval use of phenytoin or fosphenytoin. Because these reactions are reported voluntarily from a population of uncertain size, it is not always possible to reliably estimate their frequency or establish a causal relationship to drug exposure. **Body as a Whole: Anaphylaxis, angioedema**.
 

 8. **Patient Counseling Information**:
  - **Serious Dermatologic Reactions**: Advise patients of the early signs and symptoms of severe cutaneous adverse reactions and to report any occurrence immediately to a physician.",Most,Yes,1,1,,
ALENDRONATE SODIUM,"Here is a summary of the parts of the drug label that discuss dermatological and cutaneous risks and reactions for FOSAMAX (alendronate sodium):
 

 1. **Warnings and Precautions (Section 5.3)**
  - **Severe Skin Reactions**: The label mentions that severe skin reactions, including Stevens-Johnson syndrome and toxic epidermal necrolysis, have been reported. **(The drug itself was associated with these severe skin reactions.)**
 

 2. **Adverse Reactions (Section 6.2)**
  - **Rash**: Rash has been reported as an adverse reaction. **(The drug itself was associated with causing rash.)**
  - **Photosensitivity**: Rash occasionally with photosensitivity has been reported. **(The drug itself was associated with causing photosensitivity.)**
  - **Pruritus**: Pruritus (itching) has been reported. **(The drug itself was associated with causing pruritus.)**
  - **Alopecia**: Alopecia (hair loss) has been reported. **(The drug itself was associated with causing alopecia.)**
  - **Severe Skin Reactions**: Severe skin reactions, including Stevens-Johnson syndrome and toxic epidermal necrolysis, have been reported. **(The drug itself was associated with these severe skin reactions.)**
 

 3. **Medication Guide**
  - **Allergic Reactions**: The guide mentions that allergic reactions, such as hives or swelling of the face, lips, tongue, or throat, may occur. **(The drug itself was associated with causing these allergic reactions.)**
 

 In summary, FOSAMAX has been associated with several dermatological and cutaneous risks and reactions, including severe skin reactions (Stevens-Johnson syndrome and toxic epidermal necrolysis), rash, photosensitivity, pruritus, alopecia, and allergic reactions such as hives and swelling.",Most,Yes,1,1,,
BUPROPION HCL ER,"Here is a summary of the parts of the drug label that discuss dermatological and cutaneous risks and reactions for Bupropion HCL ER (XL):
 

 1. **Hypersensitivity Reactions**:
  - **Anaphylactoid/anaphylactic reactions**: The drug itself was associated with these reactions, characterized by pruritus (itching), urticaria (hives), angioedema (swelling), and dyspnea (difficulty breathing).
  - **Stevens-Johnson Syndrome**: The drug itself was associated with rare, spontaneous postmarketing reports of this severe skin reaction.
  - **Erythema multiforme**: The drug itself was associated with rare, spontaneous postmarketing reports of this skin condition.
  - **Serum sickness-like reactions**: The drug itself was associated with reports of arthralgia (joint pain), myalgia (muscle pain), fever with rash, and other symptoms suggestive of delayed hypersensitivity.
 

 2. **Commonly Observed Adverse Reactions in Clinical Trials**:
  - **Rash**: The drug itself was associated with rash in at least 5% of patients treated with 300 mg/day of bupropion HCl sustained-release.
  - **Sweating**: The drug itself was associated with sweating in at least 5% of patients treated with 300 mg/day of bupropion HCl sustained-release.
  - **Tinnitus**: The drug itself was associated with tinnitus in at least 5% of patients treated with 300 mg/day of bupropion HCl sustained-release.
 

 3. **Adverse Reactions Leading to Discontinuation**:
  - **Rash**: The drug itself was associated with rash leading to discontinuation in 2.4% of patients treated with 300 mg/day of bupropion HCl sustained-release.
 

 4. **Adverse Reactions in Placebo-Controlled Trials in MDD**:
  - **Rash**: The drug itself was associated with rash in 5% of patients treated with 300 mg/day of bupropion HCl sustained-release.
  - **Sweating**: The drug itself was associated with sweating in 6% of patients treated with 300 mg/day of bupropion HCl sustained-release.
  - **Pruritus**: The drug itself was associated with pruritus in 2% of patients treated with 300 mg/day of bupropion HCl sustained-release.
  - **Urticaria**: The drug itself was associated with urticaria in 2% of patients treated with 300 mg/day of bupropion HCl sustained-release.
 

 5. **Adverse Reactions in Placebo-Controlled Trials in SAD**:
  - **Rash**: The drug itself was associated with rash in 3% of patients treated with bupropion HCl extended-release.
  - **Sweating**: The drug itself was associated with sweating in 5% of patients treated with bupropion HCl extended-release.
 

 6. **Postmarketing Experience**:
  - **Maculopapular rash**: The drug itself was associated with postmarketing reports of this type of rash.
  - **Alopecia**: The drug itself was associated with postmarketing reports of hair loss.
  - **Angioedema**: The drug itself was associated with postmarketing reports of swelling.
  - **Exfoliative dermatitis**: The drug itself was associated with postmarketing reports of this severe skin condition.
  - **Hirsutism**: The drug itself was associated with postmarketing reports of excessive hair growth.
 

 In summary, Bupropion HCL ER (XL) has been associated with various dermatological and cutaneous risks and reactions, including rash, pruritus, urticaria, Stevens-Johnson Syndrome, erythema multiforme, serum sickness-like reactions, sweating, tinnitus, alopecia, angioedema, exfoliative dermatitis, and hirsutism. These reactions have been observed in clinical trials, led to discontinuation in some cases, and have been reported postmarketing.",Most,Yes,1,1,,
NORTRIPTYLINE HCL,"The drug label for Nortriptyline Hydrochloride includes several mentions of dermatological and cutaneous risks and reactions. Here is a summary of those parts:
 

 1. **Allergic Reactions**:
  - **Skin rash**: The drug itself is associated with causing skin rashes.
  - **Petechiae**: The drug itself is associated with causing petechiae (small red or purple spots caused by bleeding into the skin).
  - **Urticaria**: The drug itself is associated with causing urticaria (hives).
  - **Itching**: The drug itself is associated with causing itching.
  - **Photosensitization**: The drug itself is associated with causing photosensitization, which means increased sensitivity to sunlight.
  - **Edema**: The drug itself is associated with causing edema (swelling), which can be general or localized to the face and tongue.
 

 2. **Other Reactions**:
  - **Alopecia**: The drug itself is associated with causing alopecia (hair loss).
 

 3. **Postmarketing Experience**:
  - **Angle-closure glaucoma**: Although primarily an eye disorder, angle-closure glaucoma can have dermatological implications such as redness and swelling around the eye. This condition has been reported during post-approval use of the drug.
 

 In summary, Nortriptyline Hydrochloride is associated with several dermatological risks and reactions, including skin rash, petechiae, urticaria, itching, photosensitization, edema, and alopecia. Additionally, angle-closure glaucoma, which can have cutaneous manifestations around the eye, has been reported postmarketing.",Most,Yes,2,1,,
OLANZAPINE,"Here is a summary of the parts of the drug label that discuss dermatological and cutaneous risks and reactions for ZYPREXA (olanzapine):
 

 1. **Drug Reaction with Eosinophilia and Systemic Symptoms (DRESS)**:
  - **Summary**: DRESS has been reported with olanzapine exposure. DRESS may present with a cutaneous reaction (such as rash or exfoliative dermatitis), eosinophilia, fever, and/or lymphadenopathy with systemic complications such as hepatitis, nephritis, pneumonitis, myocarditis, and/or pericarditis. DRESS is sometimes fatal.
  - **Association**: The drug itself (olanzapine) was associated with DRESS.
 

 2. **Warnings and Precautions (Section 5.4)**:
  - **Summary**: Patients should be advised to report to their healthcare provider at the earliest onset of any signs and symptoms that may be associated with DRESS.
  - **Association**: The drug itself (olanzapine) was associated with DRESS.
 

 3. **Adverse Reactions (Section 6.1)**:
  - **Summary**: Infrequent adverse reactions include photosensitivity reaction and alopecia.
  - **Association**: The drug itself (olanzapine) was associated with photosensitivity reaction and alopecia.
 

 4. **Postmarketing Experience (Section 6.2)**:
  - **Summary**: Adverse reactions reported since market introduction that were temporally (but not necessarily causally) related to ZYPREXA therapy include rash and pruritus or urticaria.
  - **Association**: The drug itself (olanzapine) was temporally associated with rash and pruritus or urticaria, but causality was not established.
 

 5. **Patient Counseling Information (Section 17)**:
  - **Summary**: Patients should be advised to report any signs and symptoms that may be associated with DRESS.
  - **Association**: The drug itself (olanzapine) was associated with DRESS.
 

 In summary, ZYPREXA (olanzapine) has been associated with several dermatological and cutaneous risks and reactions, including DRESS, photosensitivity reaction, alopecia, rash, and pruritus or urticaria. Some of these associations are based on postmarketing reports and may not establish a direct causal relationship.",Most,Yes,1,1,,
CORTISONE ACETATE,"### Summary of Dermatological and Cutaneous Risks and Reactions for Cortisone Acetate Tablets
 

 1. **Prolonged use of corticosteroids may produce posterior subcapsular cataracts, glaucoma with possible damage to the optic nerves, and may enhance the establishment of secondary ocular infections due to fungi or viruses.**
  - **Summary:** Prolonged use of the drug may enhance secondary ocular infections due to fungi or viruses.
 

 2. **Corticosteroids may mask some signs of infection, and new infections may appear during their use.**
  - **Summary:** The drug may mask signs of infection and allow new infections to appear.
 

 3. **Prolonged use of corticosteroids may produce posterior subcapsular cataracts, glaucoma with possible damage to the optic nerves, and may enhance the establishment of secondary ocular infections due to fungi or viruses.**
  - **Summary:** Prolonged use of the drug may enhance secondary ocular infections due to fungi or viruses.
 

 4. **Corticosteroids may activate latent amebiasis.**
  - **Summary:** The drug may activate latent amebiasis.
 

 5. **Prolonged use of corticosteroids may produce posterior subcapsular cataracts, glaucoma with possible damage to the optic nerves, and may enhance the establishment of secondary ocular infections due to fungi or viruses.**
  - **Summary:** Prolonged use of the drug may enhance secondary ocular infections due to fungi or viruses.
 

 6. **Corticosteroids should be used cautiously in patients with ocular herpes simplex because of possible corneal perforation.**
  - **Summary:** The drug should be used cautiously in patients with ocular herpes simplex due to the risk of corneal perforation.
 

 7. **Dermatologic:**
  - **Impaired wound healing**
  - **Summary:** The drug may cause impaired wound healing.
  - **Thin fragile skin**
  - **Summary:** The drug may cause thin, fragile skin.
  - **Petechiae and ecchymoses**
  - **Summary:** The drug may cause petechiae and ecchymoses.
  - **Erythema**
  - **Summary:** The drug may cause erythema.
  - **Increased sweating**
  - **Summary:** The drug may cause increased sweating.
  - **May suppress reactions to skin tests**
  - **Summary:** The drug may suppress reactions to skin tests.
  - **Other cutaneous reactions, such as allergic dermatitis, urticaria, angioneurotic edema**
  - **Summary:** The drug may cause other cutaneous reactions, including allergic dermatitis, urticaria, and angioneurotic edema.
 

 ### Conclusion
 Cortisone acetate tablets are associated with several dermatological and cutaneous risks and reactions, including impaired wound healing, thin fragile skin, petechiae, ecchymoses, erythema, increased sweating, suppression of skin test reactions, and other cutaneous reactions such as allergic dermatitis, urticaria, and angioneurotic edema. The drug should be used cautiously in patients with ocular herpes simplex due to the risk of corneal perforation.",Most,Yes,2,1,,
GALANTAMINE,"### Summary of Dermatological and Cutaneous Risks and Reactions for Galantamine Tablets
 

 1. **Warnings and Precautions (5.1 Serious Skin Reactions)**
  - **Summary:** Serious skin reactions such as Stevens-Johnson syndrome and acute generalized exanthematous pustulosis have been reported in patients receiving galantamine tablets.
  - **Association:** The drug itself was associated with these serious skin reactions.
 

 2. **Warnings and Precautions (5.1 Serious Skin Reactions)**
  - **Summary:** Patients and caregivers should be informed to discontinue the use of galantamine tablets at the first appearance of a skin rash unless the rash is clearly not drug-related.
  - **Association:** The drug itself was associated with the need to discontinue use upon the appearance of a skin rash.
 

 3. **Warnings and Precautions (5.1 Serious Skin Reactions)**
  - **Summary:** If signs or symptoms suggest a serious skin reaction, the use of galantamine should not be resumed, and alternative therapy should be considered.
  - **Association:** The drug itself was associated with the recommendation to not resume use if serious skin reactions are suspected.
 

 4. **Adverse Reactions (6.2 Postmarketing Experience)**
  - **Summary:** Post-approval use of galantamine tablets has identified additional adverse reactions, including Stevens-Johnson syndrome, acute generalized exanthematous pustulosis, and erythema multiforme.
  - **Association:** The drug itself was associated with these additional dermatological adverse reactions identified post-approval.
 

 5. **Patient Counseling Information (17 Serious Skin Reactions)**
  - **Summary:** Patients and caregivers should be advised to discontinue galantamine tablets and seek immediate medical attention at the first appearance of a skin rash.
  - **Association:** The drug itself was associated with the need for immediate medical attention upon the appearance of a skin rash.
 

 ### Conclusion
 Galantamine tablets have been associated with serious dermatological risks, including Stevens-Johnson syndrome, acute generalized exanthematous pustulosis, and erythema multiforme. Patients are advised to discontinue use and seek medical attention if a skin rash appears, indicating a direct association between the drug and these dermatological reactions.",Most,Yes,1,1,,
DABIGATRAN ETEXILATE,"The drug label for PRADAXA (dabigatran etexilate) mentions several dermatological and cutaneous risks and reactions. Here is a summary of those parts:
 

 1. **Section 6.1 Clinical Trials Experience:**
  - **Hypersensitivity Reactions in Adult PRADAXA Trials:**
  - ""In adult DVT/PE pivotal studies, drug hypersensitivity (including urticaria, rash, and pruritus), allergic edema, anaphylactic reaction, and anaphylactic shock were reported in 0.1% of patients receiving PRADAXA Capsules.""
  - **Summary:** PRADAXA was associated with hypersensitivity reactions, including urticaria (hives), rash, and pruritus (itching).
 

 2. **Section 6.2 Postmarketing Experience:**
  - ""The following adverse reactions have been identified during post approval use of PRADAXA. Because these reactions are reported voluntarily from a population of uncertain size, it is not always possible to reliably estimate their frequency or establish a causal relationship to drug exposure.""
  - **Skin and Subcutaneous Tissue Disorders:**
  - ""Alopecia""
  - **Summary:** Alopecia (hair loss) has been reported during post-approval use of PRADAXA, but a direct causal relationship to the drug cannot be definitively established.
 

 3. **Medication Guide:**
  - **Allergic Reactions:**
  - ""Some adults taking PRADAXA Capsules have developed symptoms of an allergic reaction.""
  - ""Call your healthcare provider if your child gets symptoms of an allergic reaction, such as: hives, rash, itching.""
  - **Summary:** PRADAXA has been associated with allergic reactions, including hives, rash, and itching.
 

 4. **Instructions for Use:**
  - **Allergic Reactions:**
  - ""Get medical help right away if your child gets any of the following symptoms of a serious allergic reaction with PRADAXA Oral Pellets: chest pain or chest tightness, swelling of the face or tongue, trouble breathing or wheezing, feeling dizzy or faint.""
  - **Summary:** While not specifically dermatological, swelling of the face or tongue can be part of a serious allergic reaction associated with PRADAXA.
 

 In summary, PRADAXA has been associated with dermatological risks such as urticaria, rash, pruritus, and alopecia. Additionally, allergic reactions that include dermatological symptoms like hives, rash, and itching have been reported.",Less,Yes,1,1,,
