generic_name,reasoning,less_determination,binary_determination,less_determination_score,binary_determination_score,issue_with_summaries,
IXABEPILONE,"The drug label for IXEMPRA discusses infertility risks in several sections. Here is a summary of those parts, clearly stating whether the drug itself was associated with or caused the infertility risk:
 

 1. **Section 8.3 Females and Males of Reproductive Potential:**
  - **Infertility:** ""Based on findings in animals, IXEMPRA may impair male and female fertility."" 
  - **Summary:** The drug itself was associated with infertility risk based on animal studies.
 

 2. **Section 17.7 Infertility:**
  - ""Advise males and females of reproductive potential that IXEMPRA may impair fertility.""
  - **Summary:** The drug itself was associated with infertility risk, and patients should be advised accordingly.
 

 3. **FDA-Approved Patient Labeling:**
  - ""IXEMPRA may cause fertility problems in females and males, which may affect your ability to have children.""
  - **Summary:** The drug itself was associated with infertility risk, potentially affecting the ability to have children.
 

 In all these sections, IXEMPRA itself is associated with or causes the infertility risk.",Most,Yes,2,1,,
GABAPENTIN ENACARBIL,"The drug label for HORIZANT (gabapentin enacarbil) discusses infertility risks in the section titled ""13 NONCLINICAL TOXICOLOGY"" under the subheading ""Impairment of Fertility."" Here is a summary of the relevant parts:
 

 1. **Sentence: ""Oral administration of gabapentin enacarbil (doses of 0, 200, 1,000, or 5,000 mg/kg/day) to male and female rats prior to and throughout mating and continuing in females up to day 7 of gestation resulted in no adverse effects on fertility.""**
  - **Summary:** The drug gabapentin enacarbil was not associated with infertility risks in male and female rats at the tested doses.
 

 2. **Sentence: ""The highest dose tested is approximately 39 times the MRHD on an AUC basis.""**
  - **Summary:** The highest dose of gabapentin enacarbil tested in the study, which is significantly higher than the maximum recommended human dose, did not cause infertility.
 

 In summary, the drug gabapentin enacarbil itself was not associated with or did not cause infertility risks in the animal studies conducted.",No,No,1,1,,
TIRZEPATIDE,"The drug label for ZEPBOUND (tirzepatide) includes information on infertility risks in the section titled ""13 NONCLINICAL TOXICOLOGY,"" specifically under ""13.1 Carcinogenesis, Mutagenesis, Impairment of Fertility."" Here is a summary of the relevant parts:
 

 1. **Sentence: ""In fertility and early embryonic development studies, male and female rats were administered twice weekly subcutaneous doses of 0.5, 1.5, or 3 mg/kg (0.3-, 1-, and 2-fold and 0.3-, 0.9-, and 2-fold, respectively, the MRHD of 15 mg once weekly based on AUC).""**
  - **Summary:** This sentence sets up the context for the study but does not discuss infertility risks directly.
 

 2. **Sentence: ""No effects of tirzepatide were observed on sperm morphology, mating, fertility, and conception.""**
  - **Summary:** The drug itself was not associated with or did not cause infertility risks in male rats.
 

 3. **Sentence: ""In female rats, an increase in the number of females with prolonged diestrus and a decrease in the mean number of corpora lutea resulting in a decrease in the mean number of implantation sites and viable embryos was observed at all dose levels.""**
  - **Summary:** The drug itself was associated with infertility risks in female rats, as it caused prolonged diestrus and reduced the number of implantation sites and viable embryos.
 

 4. **Sentence: ""These effects were considered secondary to the pharmacological effects of tirzepatide on food consumption and body weight.""**
  - **Summary:** The infertility risks observed in female rats were caused by the drug itself, specifically due to its pharmacological effects on food consumption and body weight.
 

 In summary, the drug label indicates that tirzepatide was not associated with infertility risks in male rats but was associated with infertility risks in female rats due to its effects on food consumption and body weight.",Most,Yes,2,1,,
ROMIPLOSTIM,"The drug label for Nplate (romiplostim) includes the following information related to infertility risks:
 

 1. **Section 13.1 Carcinogenesis, Mutagenesis, Impairment of Fertility:**
  - ""Romiplostim had no effect on the fertility of rats at doses up to 37 times the MHD based on systemic exposure.""
  - **Summary:** The drug itself was not associated with or did not cause infertility in rats at doses up to 37 times the maximum human dose (MHD).
 

 No other sections of the drug label discuss infertility risks. Therefore, based on the provided information, Nplate (romiplostim) has not been associated with or shown to cause infertility in the animal studies mentioned.",No,No,1,1,,
URSODIOL,"The drug label for URSO 250 and URSO Forte (ursodiol) includes a section on nonclinical toxicology that discusses the potential effects of the drug on fertility. Here is a summary of the relevant parts:
 

 1. **Section 13.1 Carcinogenesis, Mutagenesis, Impairment of Fertility:**
  - **Sentence:** ""Ursodiol at oral doses of up to 2,700 mg/kg/day (16,200 mg/m²/day, 29 times the recommended maximum human dose based on body surface area) was found to have no effect on fertility and reproductive performance of male and female rats.""
  - **Summary:** The drug itself was not associated with or did not cause infertility risks in male and female rats at doses significantly higher than the recommended maximum human dose.
 

 In conclusion, the drug label indicates that ursodiol was not associated with or did not cause infertility risks in the animal studies conducted.",No,No,1,1,,
LAMIVUDINE,"The drug label for EPIVIR-HBV (lamivudine) includes a section on nonclinical toxicology that discusses the potential impact of the drug on fertility. Here is a summary of the relevant parts:
 

 1. **Section 13.1 Carcinogenesis, Mutagenesis, Impairment of Fertility:**
  - **Impairment of Fertility:** 
  - ""Lamivudine did not affect male or female fertility in rats at oral doses up to 4,000 mg per kg per day, associated with concentrations approximately 70 times (male) or 104 times (females) higher than the concentrations (Cmax) in humans at the dose of 100 mg.""
  - **Summary:** The drug itself was not associated with or did not cause infertility in rats, even at doses significantly higher than those used in humans.
 

 In conclusion, the drug label indicates that lamivudine was not associated with or did not cause infertility in animal studies.",No,No,1,1,,
DARATUMUMAB,"The drug label for DARZALEX (daratumumab) does not explicitly discuss infertility risks directly associated with the drug itself. However, it does provide information on reproductive health and potential risks to fetal development. Here is a summary of the relevant sections:
 

 1. **Section 8.1 Pregnancy:**
  - **Risk Summary:** DARZALEX can cause fetal harm when administered to a pregnant woman. This is based on the mechanism of action and data from target antigen CD38 knockout animal models. There are no available data on the use of DARZALEX in pregnant women to evaluate drug-associated risk of major birth defects, miscarriage, or adverse maternal or fetal outcomes. Animal reproduction studies have not been conducted.
  - **Summary:** The drug itself is associated with potential fetal harm but does not explicitly mention infertility risks.
 

 2. **Section 8.3 Females and Males of Reproductive Potential:**
  - **Pregnancy Testing:** With the combination of DARZALEX with lenalidomide, pomalidomide, or thalidomide, refer to the lenalidomide, pomalidomide, or thalidomide labeling for pregnancy testing requirements prior to initiating treatment in females of reproductive potential.
  - **Summary:** The drug itself is not directly associated with infertility risks but emphasizes the need for pregnancy testing when combined with other drugs.
  - **Contraception:** Advise females of reproductive potential to use effective contraception during treatment with DARZALEX and for 3 months after the last dose. Additionally, refer to the lenalidomide, pomalidomide, or thalidomide labeling for additional recommendations for contraception.
  - **Summary:** The drug itself is not directly associated with infertility risks but advises on contraception to prevent fetal harm.
 

 3. **Section 17 Patient Counseling Information:**
  - **Embryo-Fetal Toxicity:** Advise pregnant women of the potential hazard to a fetus. Advise females of reproductive potential to inform their healthcare provider of a known or suspected pregnancy. Advise females of reproductive potential to avoid becoming pregnant during treatment with DARZALEX and for 3 months after the last dose.
  - **Summary:** The drug itself is associated with potential fetal harm but does not explicitly mention infertility risks.
 

 Overall, the drug label for DARZALEX focuses on the potential risks to fetal development and the importance of contraception and pregnancy testing but does not explicitly discuss infertility risks directly associated with the drug itself.",No,No,3,3,,harms fetus -> so thechnically can cause infertility
FLUCONAZOLE,"The drug label for DIFLUCAN (fluconazole) includes the following information related to infertility risks:
 

 1. **Carcinogenesis, Mutagenesis, and Impairment of Fertility Section:**
  - ""Fluconazole did not affect the fertility of male or female rats treated orally with daily doses of 5 mg/kg, 10 mg/kg, or 20 mg/kg or with parenteral doses of 5 mg/kg, 25 mg/kg, or 75 mg/kg, although the onset of parturition was slightly delayed at 20 mg/kg PO.""
  - **Summary:** The drug itself did not affect fertility in rats, but it did cause a slight delay in the onset of parturition at higher doses.
  - ""In an intravenous perinatal study in rats at 5 mg/kg, 20 mg/kg, and 40 mg/kg, dystocia and prolongation of parturition were observed in a few dams at 20 mg/kg (approximately 5 to 15 times the recommended human dose) and 40 mg/kg, but not at 5 mg/kg.""
  - **Summary:** The drug itself caused dystocia and prolongation of parturition at higher doses in rats.
  - ""The disturbances in parturition were reflected by a slight increase in the number of stillborn pups and decrease of neonatal survival at these dose levels.""
  - **Summary:** The drug itself caused a slight increase in stillborn pups and decreased neonatal survival at higher doses in rats.
  - ""The effects on parturition in rats are consistent with the species-specific estrogen-lowering property produced by high doses of fluconazole.""
  - **Summary:** The drug itself has an estrogen-lowering property at high doses, which is consistent with the observed effects on parturition in rats.
  - ""Such a hormone change has not been observed in women treated with fluconazole.""
  - **Summary:** The drug itself has not been observed to cause hormone changes in women.
 

 In summary, the drug label indicates that fluconazole did not affect fertility in rats at lower doses but did cause some reproductive issues at higher doses, such as delayed parturition, dystocia, increased stillborn pups, and decreased neonatal survival. However, these hormone changes and reproductive issues have not been observed in women treated with fluconazole. Therefore, the drug itself is associated with infertility risks in animal studies at high doses but not in human studies.",Less,No,1,2,,
TRILACICLIB,"The drug label for COSELA (trilaciclib) includes information about infertility risks in the following sections:
 

 1. **Section 8.3 Females and Males of Reproductive Potential:**
  - **Infertility:**
  - **Sentence:** ""No studies have been performed in humans to evaluate the effects of COSELA on fertility in either sex.""
  - **Summary:** This sentence states that no human studies have been conducted to evaluate whether COSELA itself is associated with or causes infertility.
  - **Sentence:** ""Based on animal toxicology studies, COSELA may impair fertility in females of reproductive potential [see Nonclinical Toxicology (13)].""
  - **Summary:** This sentence indicates that COSELA itself may impair fertility in females of reproductive potential, based on animal studies.
 

 2. **Section 13 Nonclinical Toxicology:**
  - **Sentence:** ""Fertility studies have not been performed to evaluate the effects of trilaciclib.""
  - **Summary:** This sentence states that no fertility studies have been performed to evaluate whether trilaciclib itself is associated with or causes infertility.
  - **Sentence:** ""Treatment with trilaciclib in female rats and dogs resulted in reductions in mean ovary and uterus weights at clinically relevant exposures, which were reversible after a two-week drug-free recovery period.""
  - **Summary:** This sentence indicates that trilaciclib itself caused reductions in ovary and uterus weights in female rats and dogs, suggesting a potential risk of impaired fertility, although these effects were reversible after a two-week recovery period.
 

 In summary, the drug label indicates that COSELA (trilaciclib) may impair fertility in females based on animal studies, but no human studies have been conducted to confirm this risk. The drug itself was associated with reductions in ovary and uterus weights in animal studies, suggesting a potential risk of infertility.",Most,Yes,2,2,,Less/no direct evidence in human
TRIENTINE,"The drug label for Trientine Hydrochloride Capsules, USP, includes a section on ""Carcinogenesis, Mutagenesis, Impairment of Fertility."" Here is a summary of the relevant parts discussing infertility risks:
 

 1. **Carcinogenesis, Mutagenesis, Impairment of Fertility**:
  - **Sentence**: ""Data on carcinogenesis, mutagenesis, and impairment of fertility are not available.""
  - **Summary**: There is no available data to determine whether the drug itself is associated with or causes infertility risks.
 

 In conclusion, the drug label does not provide specific information or evidence that Trientine Hydrochloride is associated with or causes infertility risks. The absence of data means that no conclusions can be drawn regarding its impact on fertility.",No,No,2,2,,"Technically no data, threfore cannot make any conclusion"
