,Trade Name,Generic/Proper Name(s),Active Ingredient(s),Cardiotoxicity,Label Section ,DICT _ Concern,Keywords,DIC Severity Level,split
0,Hyaluronic Acid,HYALURONIC ACID,HYALURONIC ACID,,no,no,,,train
1,ZYPREXA Relprevv,OLANZAPINE PAMOATE,Olanzapine pamoate,Arrhythmia,wp,less,"tachycardia, bradycardia",mild,test
2,Tigan,TRIMETHOBENZAMIDE HYDROCHLORIDE,Trimethobenzamide Hydrochloride,,no,no,,,test
3,BICILLIN L-A,PENICILLIN G BENZATHINE,PENICILLIN G BENZATHINE,Arrhythmia,ar,less,Cardiac arrest,severe,test
4,INVEGA HAFYERA,PALIPERIDONE PALMITATE,paliperidone palmitate,Arrhythmia,wp,most,QT Prolongation,moderate,train
5,Aveed,TESTOSTERONE UNDECANOATE,TESTOSTERONE UNDECANOATE,Heart Damage,wp,most,major adverse cardiovascular events (MACE),severe,train
6,ARISTADA,ARIPIPRAZOLE LAUROXIL,aripiprazole lauroxil,Mixed,wp,less,hypotension/ tachycardia,mild,test
7,Signifor LAR,PASIREOTIDE,PASIREOTIDE,Arrhythmia,wp,most,QT prolongation ,moderate,train
8,TRIPTODUR,TRIPTORELIN,triptorelin,Heart Damage,ar,less,Hypertension,mild,test
9,VIVITROL,NALTREXONE,naltrexone,Mixed,ar,less,cardiac failure,severe,test
10,Apretude,CABOTEGRAVIR,CABOTEGRAVIR SODIUM,,CLINICAL PHARMACOLOGY,no,QT interval is not prolonged ,,test
11,Fulvestrant,FULVESTRANT,Fulvestrant,,no,no,,,test
12,AQUASOL A,VITAMIN A PALMITATE,VITAMIN A PALMITATE,,sp,ambiguous,hypotension(Pediatric Use),mild,train
13,BAL,DIMERCAPROL,Dimercaprol,Mixed,ar,less,tachycardia/blood pressure,mild,train
14,Trelstar,TRIPTORELIN PAMOATE,TRIPTORELIN PAMOATE,Mixed,wp,most,sudden cardiac death/prolong the QT interval ,severe,test
15,carboprost tromethamine,CARBOPROST TROMETHAMINE,CARBOPROST TROMETHAMINE,Mixed,ar,less,Tachycardia/Hypertension,,train
16,Hydroxocobalamin,HYDROXOCOBALAMIN,HYDROXOCOBALAMIN ACETATE,,no,no,,,test
17,Cyanocobalamin,CYANOCOBALAMIN,Cyanocobalamin,Heart Damage,ar,less,congestive heart failure,severe,train
18,Estradiol Valerate,ESTRADIOL VALERATE,ESTRADIOL VALERATE,Heart Damage,bw,most,myocardial infarction,severe,test
19,Testosterone Cypionate,TESTOSTERONE CYPIONATE,TESTOSTERONE CYPIONATE,Heart Damage,wp,most,major adverse cardiovascular events,severe,test
20,Streptomycin,STREPTOMYCIN,STREPTOMYCIN SULFATE,,no,no,,,test
21,Medroxyprogesterone Acetate,MEDROXYPROGESTERONE ACETATE,MEDROXYPROGESTERONE ACETATE,Arrhythmia,ar,less,Tachycardia,mild,test
22,Haloperidol Decanoate,HALOPERIDOL DECANOATE,HALOPERIDOL DECANOATE,Mixed,bw,most,sudden death/Torsades de Pointes,severe,train
23,Depo-Estradiol,ESTRADIOL CYPIONATE,ESTRADIOL CYPIONATE,Heart Damage,bw,most,myocardial infarction,severe,test
24,Haloperidol,HALOPERIDOL LACTATE,Haloperidol Lactate,Mixed,bw,most,sudden death/Torsades de Pointes,severe,train
25,ziprasidone mesylate,ZIPRASIDONE MESYLATE,ZIPRASIDONE MESYLATE,Arrhythmia,wp,less,change in QTc from baseline,mild,test
26,PENICILLIN G PROCAINE,PENICILLIN G PROCAINE,PENICILLIN G PROCAINE,,no,no,,,test
27,Nandrolone Decanoate,NANDROLONE DECANOATE,Nandrolone Decanoate,,sp,ambiguous,Caution is required for patients with cardiac disease,,train
28,Bleomycin,BLEOMYCIN,BLEOMYCIN SULFATE,Heart Damage,wp,less,hypotension,mild,train
29,Polymyxin B,POLYMYXIN B,POLYMYXIN B SULFATE,,no,no,,,test
30,Magnesium Sulfate,MAGNESIUM SULFATE,MAGNESIUM SULFATE HEPTAHYDRATE,,sp,ambiguous,serious changes in cardiac conduction  in digitalized patients(Drug  Interactions),,train
31,Premarin,CONJUGATED ESTROGENS,"ESTROGENS, CONJUGATED",Heart Damage,ar,less,Myocardial infarction,severe,test
32,CAPASTAT SULFATE,CAPREOMYCIN,capreomycin sulfate,,no,no,,,test
33,INFED,IRON DEXTRAN,IRON DEXTRAN,Mixed,ar,less,patients with pre-existing cardiovascular disease/cardiac arrest,,test
34,Solu-Cortef,HYDROCORTISONE SODIUM SUCCINATE,HYDROCORTISONE SODIUM SUCCINATE,Heart Damage,wp,less,elevation of blood pressure,mild,train
35,Calcium Disodium Versenate,EDETATE CALCIUM DISODIUM,EDETATE CALCIUM DISODIUM,Mixed,wp,less,cardiac rhythm irregularities,mild,train
36,Oxytocin,OXYTOCIN,OXYTOCIN,Arrhythmia,ar,less,Premature ventricular contractions,mild,train
37,Penicillin G Sodium,PENICILLIN G SODIUM,PENICILLIN G SODIUM,Heart Damage,ar,less,congestive heart failure ,severe,test
38,Phentolamine Mesylate,PHENTOLAMINE MESYLATE,Phentolamine Mesylate,Mixed,wp,most,Myocardial infarction/cardiac arrhythmias,severe,test
39,Colistimethate Sodium,COLISTIMETHATE SODIUM,Colistimethate Sodium,,no,no,,,test
40,Orphenadrine Citrate,ORPHENADRINE CITRATE,Orphenadrine Citrate,Arrhythmia,ar,less,"tachycardia, palpitation",mild,train
41,Midazolam,MIDAZOLAM HYDROCHLORIDE,Midazolam Hydrochloride,Arrhythmia,wp,most,cardiac arrest,severe,test
42,Metoclopramide,METOCLOPRAMIDE HYDROCHLORIDE,METOCLOPRAMIDE HYDROCHLORIDE,Mixed,ar,less,cardiac arrhythmias,mild,test
43,Penicillin G Potassium,PENICILLIN G POTASSIUM,PENICILLIN G POTASSIUM,Mixed,ar,less,hypotension/tachycardia,mild,test
44,pentamidine isethionate,PENTAMIDINE ISETHIONATE,PENTAMIDINE ISETHIONATE,Mixed,wp,less,"cardiac
arrhythmias/hypotension",mild,test
45,Diphenhydramine Hydrochloride,DIPHENHYDRAMINE HYDROCHLORIDE,DIPHENHYDRAMINE HYDROCHLORIDE,Mixed,ar,less,tachycardia,mild,test
46,PROCAINAMIDE HYDROCHLORIDE,PROCAINAMIDE HYDROCHLORIDE,PROCAINAMIDE HYDROCHLORIDE,Arrhythmia,bw,most,cardiac arrest,severe,train
47,Leucovorin Calcium,LEUCOVORIN CALCIUM,LEUCOVORIN CALCIUM,,no,no,,,train
48,Cefuroxime sodium,CEFUROXIME SODIUM,cefuroxime sodium,,no,no,,,test
49,PROCHLORPERAZINE EDISYLATE,PROCHLORPERAZINE EDISYLATE,PROCHLORPERAZINE EDISYLATE,Arrhythmia,ar,less,tachycardia,mild,test
50,Cefazolin,CEFAZOLIN,CEFAZOLIN SODIUM,,no,no,,,test
51,Droperidol,DROPERIDOL,DROPERIDOL,Arrhythmia,bw,most,fatal QT prolongation,severe,test
52,Ketamine Hydrochloride,KETAMINE HYDROCHLORIDE,KETAMINE HYDROCHLORIDE,Mixed,ar,less,hypotension /bradycardia,mild,train
53,ONDANSETRON,ONDANSETRON,ONDANSETRON HYDROCHLORIDE,Arrhythmia,wp,most,Torsade de Pointes,moderate,train
54,Pentobarbital Sodium,PENTOBARBITAL SODIUM,Pentobarbital Sodium,Mixed,wp,less ,acute myocardial infarction/cardiac rhythm,mild,train
55,Amikacin Sulfate,AMIKACIN SULFATE,AMIKACIN SULFATE,,no,no,,,train
56,THIAMINE HYDROCHLORIDE,THIAMINE HYDROCHLORIDE,THIAMINE HYDROCHLORIDE,,no,no,,,test
57,Methylprednisolone Sodium Succinate,METHYLPREDNISOLONE SODIUM SUCCINATE,METHYLPREDNISOLONE SODIUM SUCCINATE,Heart Damage,wp,less,elevation of blood pressure,mild,test
58,Dimenhydrinate,DIMENHYDRINATE,DIMENHYDRINATE,Arrhythmia,ar,less,tachycardia,mild,train
59,Methylergonovine Maleate,METHYLERGONOVINE MALEATE,Methylergonovine Maleate,Mixed,ar,less,acute myocardial infarction/ventricular tachycardia,severe,test
60,SUCCINYLCHOLINE CHLORIDE,SUCCINYLCHOLINE CHLORIDE,SUCCINYLCHOLINE CHLORIDE,Arrhythmia,bw,most,"cardiac arrest, and death",severe,train
61,Tobramycin,TOBRAMYCIN SULFATE,Tobramycin Sulfate,,no,no,,,test
62,Aztreonam,AZTREONAM,AZTREONAM,Mixed,ar,less,transient ECG changes (ventricular bigeminy and PVC)/hypotension,mild,test
63,Oxacillin,OXACILLIN,OXACILLIN SODIUM,Heart Damage,ar,less," hypotension, vascular collapse",mild,test
64,Hydralazine Hydrochloride,HYDRALAZINE HYDROCHLORIDE,Hydralazine Hydrochloride,Heart Damage,wp,most,myocardial infarction,severe,train
65,Colistimethate,COLISTIMETHATE SODIUM,colistimethate,,no,no,,,train
66,Succinylcholine Chloride,SUCCINYLCHOLINE CHLORIDE,SUCCINYLCHOLINE CHLORIDE DIHYDRATE,Arrhythmia,bw,most,"cardiac arrest, and death",severe,test
67,Fosphenytoin,FOSPHENYTOIN SODIUM,FOSPHENYTOIN SODIUM,Mixed,bw,most,severe hypotension and cardiac arrhythmias,moderate,test
68,PYRIDOXINE HCI,PYRIDOXINE HCI,PYRIDOXINE HYDROCHLORIDE,,no,no,,,train
69,Nafcillin,NAFCILLIN,NAFCILLIN SODIUM,,sp,ambiguous,Allergic reactions: hypotension,mild,test
70,Cefotetan,CEFOTETAN,CEFOTETAN,,no,no,,,test
71,Ertapenem,ERTAPENEM SODIUM,ERTAPENEM SODIUM,Mixed,ar,less,heart failure/ tachycardia,severe,train
72,Bumetanide,BUMETANIDE,bumetanide,Arrhythmia,ar,less,electrocardiogram changes,mild,test
73,Cefotetan,CEFOTETAN DISODIUM,CEFOTETAN DISODIUM,,no,no,,,test
74,ENLON,EDROPHONIUM CHLORIDE,edrophonium chloride,Arrhythmia,wp,most,cardiac and respiratory arrest ,severe,train
75,Pipracil,PIPERACILLIN SODIUM,Piperacillin Sodium,,no,no,,,test
76,Cefizox,CEFTIZOXIME SODIUM,ceftizoxime sodium,,no,no,,,test
77,Cortrosyn,CORTROSYN,Cosyntropin,Mixed,ar,less ,tachycardia/hypertension,mild,train
78,Brevital Sodium,METHOHEXITAL SODIUM,METHOHEXITAL SODIUM,Mixed,ar,less,tachycardia/peripheral vascular collapse,mild,test
79,LINCOMYCIN,LINCOMYCIN HYDROCHLORIDE,LINCOMYCIN HYDROCHLORIDE,,sp,ambiguous,cardio-respiratory arrest,severe,train
80,DEMEROL,MEPERIDINE HYDROCHLORIDE,MEPERIDINE HYDROCHLORIDE,Heart Damage,wp,less,hypotension,mild,test
81,Glucagon,GLUCAGON,glucagon,,sp,ambiguous,"increase blood pressure, and
pulse rate in patients with cardiac disease",,train
82,Protopam Chloride,PRALIDOXIME CHLORIDE,PRALIDOXIME CHLORIDE,Mixed,ar,less,tachycardia/ increased systolic and diastolic blood pressure,mild,train
83,GlucaGen,GLUCAGON HYDROCHLORIDE,GLUCAGON HYDROCHLORIDE,,sp,ambiguous,"increase blood pressure, and
pulse rate in patients with cardiac disease",,test
84,Nalbuphine Hydrochloride,NALBUPHINE HYDROCHLORIDE,Nalbuphine Hydrochloride,Mixed,wp,less,severe hypotension/ bradycardia,mild,test
85,Deferoxamine mesylate,DEFEROXAMINE MESYLATE,DEFEROXAMINE MESYLATE,Mixed,ar,less,tachycardia/hypotension,mild,test
86,Hydromorphone Hydrochloride,HYDROMORPHONE HYDROCHLORIDE,Hydromorphone Hydrochloride,Mixed,wp,less,hypotension /Tachycardia,mild,test
87,Sterile Water,STERILE WATER FOR INJECTION,WATER,,no,no,,,train
88,Revex,NALMEFENE HYDROCHLORIDE,nalmefene hydrochloride,Mixed,ar,less,Tachycardia/Hypertension,mild,train
