Labeling Type,Dosage Form(s),Route(s) of Administration,Marketing Category,Application Number(s),Trade Name,Generic/Proper Name(s),SPL Effective Date (Month/Day/Year),Established Pharmacologic Class(es),Initial U.S. Approval,Company,Marketing Date(s) (YYYY/MM/DD),NDC(s),Active Ingredient UNII(s),Active Ingredient(s),Active Moiety Name(s),Active Moiety UNII(s),FDALabel Link,DailyMed SPL Link,DailyMed PDF Link,SET ID,Query Link for Entire Search Output,Result Link for Entire Search Output,Export Date (YYYY/MM/DD) and Time for Entire Search Output
HUMAN PRESCRIPTION DRUG LABEL,SOLUTION,ORAL,NDA,212690,XYWAV,"(CALCIUM, MAGNESIUM, POTASSIUM, AND SODIUM OXYBATES)",2023/04/25,Central Nervous System Depressant,2002,JAZZ PHARMACEUTICALS INC,2020/11/02-,68727-150,7G33012534; 8W24SYD6ZI; G983HLV265; S8NKF3H3KT,Calcium Oxybate; Magnesium Oxybate; Potassium Oxybate; SODIUM OXYBATE,OXYBATE,30IW36W5B2,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/1e0ae43a-037f-42af-8e23-a0e51d75abe8/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1e0ae43a-037f-42af-8e23-a0e51d75abe8,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=1e0ae43a-037f-42af-8e23-a0e51d75abe8,1e0ae43a-037f-42af-8e23-a0e51d75abe8,https://fdalabel.fda.gov:8443/fdalabel/ui/search/spl-summaries/criteria/109276,https://fdalabel.fda.gov:8443/fdalabel/ui/spl-summaries/criteria/109276,2024/05/27 20:02:18 (US/Eastern)
HUMAN PRESCRIPTION DRUG LABEL,SOLUTION,AURICULAR (OTIC),NDA,208251,OTOVEL,(CIPROFLOXACIN AND FLUOCINOLONE ACETONIDE),2019/09/12,Corticosteroid; Fluoroquinolone Antibacterial,2016,ARBOR PHARMACEUTICALS,2016/04/29-,24338-080,0CD5FD6S2M; 5E8K9I0O4U,CIPROFLOXACIN; FLUOCINOLONE ACETONIDE,CIPROFLOXACIN; FLUOCINOLONE ACETONIDE,0CD5FD6S2M; 5E8K9I0O4U,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/1a7e4806-3138-4b7a-b798-a99e163ee846/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1a7e4806-3138-4b7a-b798-a99e163ee846,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=1a7e4806-3138-4b7a-b798-a99e163ee846,1a7e4806-3138-4b7a-b798-a99e163ee846,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, POWDER, LYOPHILIZED, FOR SUSPENSION",INTRAVENOUS,NDA,209401,VYXEOS,(DAUNORUBICIN AND CYTARABINE) LIPOSOME,2022/09/27,Anthracycline Topoisomerase Inhibitor; Nucleoside Metabolic Inhibitor,2017,JAZZ PHARMACEUTICALS INC,2017/08/03-,68727-745,04079A1RDZ; ZS7284E0ZP,CYTARABINE; DAUNORUBICIN,CYTARABINE; DAUNORUBICIN,04079A1RDZ; ZS7284E0ZP,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/7ea701ce-e7d3-4349-a9c2-642a501d45c8/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=7ea701ce-e7d3-4349-a9c2-642a501d45c8,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=7ea701ce-e7d3-4349-a9c2-642a501d45c8,7ea701ce-e7d3-4349-a9c2-642a501d45c8,,,
HUMAN PRESCRIPTION DRUG LABEL,KIT,INTRAVENOUS,NDA,208547,NETSPOT,68GA-DOTATATE,2024/05/13,Radioactive Diagnostic Agent,2016,ADVANCED ACCELERATOR APPLICATIONS USA INC,2016/06/01-,69488-001,MRL3739G66,DOTATATE,DOTATATE GALLIUM GA-68,9L17Y0H71P,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/b2b3be70-17d8-4093-896c-f1c54a2cf242/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=b2b3be70-17d8-4093-896c-f1c54a2cf242,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=b2b3be70-17d8-4093-896c-f1c54a2cf242,b2b3be70-17d8-4093-896c-f1c54a2cf242,,,
HUMAN PRESCRIPTION DRUG LABEL,"SOLUTION; TABLET, FILM COATED",ORAL,NDA,020977;020978,ZIAGEN,ABACAVIR SULFATE,2023/09/29,Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,1998,VIIV HEALTHCARE COMPANY,1998/12/29-; 1999/01/28-,49702-221; 49702-222,J220T4J9Q2,ABACAVIR SULFATE,ABACAVIR,WR2TIP26VS,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/ca73b519-015a-436d-aa3c-af53492825a1/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=ca73b519-015a-436d-aa3c-af53492825a1,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=ca73b519-015a-436d-aa3c-af53492825a1,ca73b519-015a-436d-aa3c-af53492825a1,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,NDA,021652,EPZICOM,ABACAVIR SULFATE AND LAMIVUDINE,2022/12/14,Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor; Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,2004,VIIV HEALTHCARE COMPANY,2010/10/12-,49702-206,2T8Q726O95; J220T4J9Q2,ABACAVIR SULFATE; LAMIVUDINE,ABACAVIR; LAMIVUDINE,2T8Q726O95; WR2TIP26VS,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/f1139e7f-2db9-4961-9da3-9b7f2088736f/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f1139e7f-2db9-4961-9da3-9b7f2088736f,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=f1139e7f-2db9-4961-9da3-9b7f2088736f,f1139e7f-2db9-4961-9da3-9b7f2088736f,,,
HUMAN PRESCRIPTION DRUG LABEL,"KIT; TABLET, FILM COATED",ORAL,NDA,205551;215413,Triumeq; Triumeq PD,"ABACAVIR SULFATE, DOLUTEGRAVIR SODIUM, LAMIVUDINE",2024/04/18,Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor; Human Immunodeficiency Virus Integrase Strand Transfer Inhibitor; Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,2014,VIIV HEALTHCARE COMPANY,2014/08/22-; 2022/03/30-,49702-231; 49702-258,1Q1V9V5WYQ; 2T8Q726O95; J220T4J9Q2,ABACAVIR SULFATE; DOLUTEGRAVIR SODIUM; LAMIVUDINE,ABACAVIR; DOLUTEGRAVIR; LAMIVUDINE,2T8Q726O95; DKO1W9H7M1; WR2TIP26VS,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/2997739a-aa91-42aa-a206-a70e2db7b84f/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2997739a-aa91-42aa-a206-a70e2db7b84f,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=2997739a-aa91-42aa-a206-a70e2db7b84f,2997739a-aa91-42aa-a206-a70e2db7b84f,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,NDA,021205,TRIZIVIR,"ABACAVIR SULFATE, LAMIVUDINE, AND ZIDOVUDINE",2021/02/17,Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor; Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor,2000,VIIV HEALTHCARE COMPANY,2010/11/02-,49702-217,2T8Q726O95; 4B9XT59T7S; J220T4J9Q2,ABACAVIR SULFATE; LAMIVUDINE; ZIDOVUDINE,ABACAVIR; LAMIVUDINE; ZIDOVUDINE,2T8Q726O95; 4B9XT59T7S; WR2TIP26VS,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/9b32f5a4-d0f7-486b-b699-8dc9202b6869/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=9b32f5a4-d0f7-486b-b699-8dc9202b6869,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=9b32f5a4-d0f7-486b-b699-8dc9202b6869,9b32f5a4-d0f7-486b-b699-8dc9202b6869,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",SUBCUTANEOUS,NDA,208743,Tymlos,ABALOPARATIDE,2024/02/08,Parathyroid Hormone-Related Peptide Analog,2017,RADIUS HEALTH INC,2017/05/01-,70539-001,AVK0I6HY2U,ABALOPARATIDE,ABALOPARATIDE,AVK0I6HY2U,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/712143d9-e21e-4013-bb3b-3426a21060a8/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=712143d9-e21e-4013-bb3b-3426a21060a8,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=712143d9-e21e-4013-bb3b-3426a21060a8,712143d9-e21e-4013-bb3b-3426a21060a8,,,
HUMAN PRESCRIPTION DRUG LABEL,LOTION,TOPICAL,NDA,206966,Xeglyze,ABAMETAPIR,2023/12/29,,2020,DR REDDY S LABORATORIES INC,2021/01/29-,43598-921,6UO390AMFB,Abametapir,Abametapir,6UO390AMFB,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/4fe38e95-8738-a28f-4079-43eff7318cb9/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=4fe38e95-8738-a28f-4079-43eff7318cb9,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=4fe38e95-8738-a28f-4079-43eff7318cb9,4fe38e95-8738-a28f-4079-43eff7318cb9,,,
